title,company,location,link,search_keyword
Flutter Developer,Nawy,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/flutter-developer-at-nawy-4303587527?position=1&pageNum=4&refId=ext0zZXMup%2FjgQo1zy0n1w%3D%3D&trackingId=4xu9NrSxXcouYAuRVmqv6Q%3D%3D,Bioinformatics Software Engineer
Junior Performance Testing,geidea,"Cairo, Egypt",https://www.linkedin.com/jobs/view/junior-performance-testing-at-geidea-4339066928?position=2&pageNum=4&refId=ext0zZXMup%2FjgQo1zy0n1w%3D%3D&trackingId=%2BZQD0y%2BVy6J9jjGlCaTIQQ%3D%3D,Bioinformatics Software Engineer
Software Engineer II,Microsoft,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/software-engineer-ii-at-microsoft-4342908087?position=3&pageNum=4&refId=ext0zZXMup%2FjgQo1zy0n1w%3D%3D&trackingId=71FS27gzXIv7a%2BEl8MHMaQ%3D%3D,Bioinformatics Software Engineer
"ServiceNow Developer "" Fresh Graduates """,DXC Technology,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/servicenow-developer-fresh-graduates-at-dxc-technology-4325690930?position=4&pageNum=4&refId=ext0zZXMup%2FjgQo1zy0n1w%3D%3D&trackingId=S%2FQYmsaP5%2BWxCm%2Bl6%2F5VOQ%3D%3D,Bioinformatics Software Engineer
Junior Chatbot Developer,Advansys,"6th of October, Cairo, Egypt",https://www.linkedin.com/jobs/view/junior-chatbot-developer-at-advansys-4283460392?position=5&pageNum=4&refId=ext0zZXMup%2FjgQo1zy0n1w%3D%3D&trackingId=I5t7G4Dp7ZtLMRkjqgLGDQ%3D%3D,Bioinformatics Software Engineer
Junior HPC Software Engineer,Brightskies,"Alexandria, Egypt",https://www.linkedin.com/jobs/view/junior-hpc-software-engineer-at-brightskies-4326651349?position=6&pageNum=4&refId=ext0zZXMup%2FjgQo1zy0n1w%3D%3D&trackingId=qLIwQ0GXH0smpSCKnDHAJA%3D%3D,Bioinformatics Software Engineer
No Code and AI Agencies,ShaeWellness,Egypt,https://www.linkedin.com/jobs/view/no-code-and-ai-agencies-at-shaewellness-4309390952?position=7&pageNum=4&refId=ext0zZXMup%2FjgQo1zy0n1w%3D%3D&trackingId=hZB%2B1YATLhhApCmvIqDjxw%3D%3D,Bioinformatics Software Engineer
Apprentice Program (AI & Software Applications),Valeo,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/apprentice-program-ai-software-applications-at-valeo-4294128799?position=8&pageNum=4&refId=ext0zZXMup%2FjgQo1zy0n1w%3D%3D&trackingId=ek85n%2F6mRIGxyVRjNZbMUQ%3D%3D,Bioinformatics Software Engineer
Software Development Engineer,Siemens,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/software-development-engineer-at-siemens-4323540177?position=9&pageNum=4&refId=ext0zZXMup%2FjgQo1zy0n1w%3D%3D&trackingId=DbO2XRhJER2xDUY8vJoxdg%3D%3D,Bioinformatics Software Engineer
Software Engineer,eSpace,"Alexandria, Alexandria, Egypt",https://www.linkedin.com/jobs/view/software-engineer-at-espace-4263149323?position=10&pageNum=4&refId=ext0zZXMup%2FjgQo1zy0n1w%3D%3D&trackingId=qzRD4bS70ApFYur%2F0WFX1Q%3D%3D,Bioinformatics Software Engineer
Software Engineer - Integrations,Sahl,"6th of October, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/software-engineer-integrations-at-sahl-4344606951?position=1&pageNum=11&refId=YFJ8AGaTeOTw1cLCuzYhjQ%3D%3D&trackingId=2T1PRyGIQ2P0RXJOwpB93A%3D%3D,Bioinformatics Software Engineer
AI Engineer,Easygenerator,"Alexandria, Alexandria, Egypt",https://www.linkedin.com/jobs/view/ai-engineer-at-easygenerator-4334125092?position=2&pageNum=11&refId=YFJ8AGaTeOTw1cLCuzYhjQ%3D%3D&trackingId=9fZWuiBnz96pUC0efRrNEA%3D%3D,Bioinformatics Software Engineer
"Senior Backend Engineer, ML Indexing Platform (Go/Python/Kubernetes)",Gramian Consulting,Egypt,https://www.linkedin.com/jobs/view/senior-backend-engineer-ml-indexing-platform-go-python-kubernetes-at-gramian-consulting-4346074419?position=3&pageNum=11&refId=YFJ8AGaTeOTw1cLCuzYhjQ%3D%3D&trackingId=ezpe1VrbHOI7TSMgU7ii9Q%3D%3D,Bioinformatics Software Engineer
Odoo Software Developer,ACS Logistics Co.,Egypt,https://www.linkedin.com/jobs/view/odoo-software-developer-at-acs-logistics-co-4335048601?position=4&pageNum=11&refId=YFJ8AGaTeOTw1cLCuzYhjQ%3D%3D&trackingId=SSDQG05KLatumHDU8KD5kg%3D%3D,Bioinformatics Software Engineer
General Applications,Hassan Allam Holding,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/general-applications-at-hassan-allam-holding-4347344094?position=5&pageNum=11&refId=YFJ8AGaTeOTw1cLCuzYhjQ%3D%3D&trackingId=1sRXJ0IbQVFNnsmyhyqS4w%3D%3D,Bioinformatics Software Engineer
Test Engineer,e& CX Solutions Egypt,"Qesm El Maadi, Cairo, Egypt",https://www.linkedin.com/jobs/view/test-engineer-at-e-cx-solutions-egypt-4345677428?position=6&pageNum=11&refId=YFJ8AGaTeOTw1cLCuzYhjQ%3D%3D&trackingId=NsgYMdJN2L0A4Rca7ehomQ%3D%3D,Bioinformatics Software Engineer
Senior Software Engineer,Finaira,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-software-engineer-at-finaira-4345897965?position=7&pageNum=11&refId=YFJ8AGaTeOTw1cLCuzYhjQ%3D%3D&trackingId=eEktWZ3oZVjJeiR5IV06pg%3D%3D,Bioinformatics Software Engineer
Data Engineer,Master Works,"Nasr City, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-engineer-at-master-works-4283712452?position=8&pageNum=11&refId=YFJ8AGaTeOTw1cLCuzYhjQ%3D%3D&trackingId=Ogt9ouhGBDBTTSNywgF74w%3D%3D,Bioinformatics Software Engineer
Senior AI Engineer,PaxeraHealth,"6th of October, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/senior-ai-engineer-at-paxerahealth-3913560240?position=9&pageNum=11&refId=YFJ8AGaTeOTw1cLCuzYhjQ%3D%3D&trackingId=ahxad5%2FyRtAqueyy47vakA%3D%3D,Bioinformatics Software Engineer
Senior Python Developer,Trufla,"Heliopolis, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-python-developer-at-trufla-4317831933?position=10&pageNum=11&refId=YFJ8AGaTeOTw1cLCuzYhjQ%3D%3D&trackingId=vGGvd%2B76PX%2Fdx0gPPwPnCg%3D%3D,Bioinformatics Software Engineer
Automation Testing,geidea,"Cairo, Egypt",https://www.linkedin.com/jobs/view/automation-testing-at-geidea-4344982572?position=1&pageNum=10&refId=EvpyAVsdjVx5g%2Bj5L3%2Fy4g%3D%3D&trackingId=HXj%2BsEU5QyXW%2BW9DuohCgQ%3D%3D,Bioinformatics Software Engineer
Senior Data Engineer,Halan - حالا,"Giza, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/senior-data-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-4266164080?position=2&pageNum=10&refId=EvpyAVsdjVx5g%2Bj5L3%2Fy4g%3D%3D&trackingId=PwHqDa%2FDShVTazFx8EpB2A%3D%3D,Bioinformatics Software Engineer
Backend Developer,ZIWO,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/backend-developer-at-ziwo-4260787553?position=3&pageNum=10&refId=EvpyAVsdjVx5g%2Bj5L3%2Fy4g%3D%3D&trackingId=F9thBCJpkVd5Tc9YIUhj5A%3D%3D,Bioinformatics Software Engineer
Semi Senior Python Developer - Remote Work,BairesDev,Egypt,https://www.linkedin.com/jobs/view/semi-senior-python-developer-remote-work-at-bairesdev-4328747984?position=4&pageNum=10&refId=EvpyAVsdjVx5g%2Bj5L3%2Fy4g%3D%3D&trackingId=ciT9M2q8GKjXiLj%2BsKwFgQ%3D%3D,Bioinformatics Software Engineer
Software Development Engineer,Siemens Digital Industries Software,"Cairo, Egypt",https://www.linkedin.com/jobs/view/software-development-engineer-at-siemens-digital-industries-software-4327923309?position=5&pageNum=10&refId=EvpyAVsdjVx5g%2Bj5L3%2Fy4g%3D%3D&trackingId=uP0NUR8kFMX9aotPdtQKMA%3D%3D,Bioinformatics Software Engineer
Performance Testing,geidea,"Cairo, Egypt",https://www.linkedin.com/jobs/view/performance-testing-at-geidea-4342023156?position=6&pageNum=10&refId=EvpyAVsdjVx5g%2Bj5L3%2Fy4g%3D%3D&trackingId=Im2xjUk7TIEixA1T2MxW4w%3D%3D,Bioinformatics Software Engineer
Data Engineer,blnk,"Giza, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/data-engineer-at-blnk-4309239336?position=7&pageNum=10&refId=EvpyAVsdjVx5g%2Bj5L3%2Fy4g%3D%3D&trackingId=ICLBajjfHXNh0URm2uh9wA%3D%3D,Bioinformatics Software Engineer
