title,company,location,link,search_keyword
DevOps Engineer,Siemens,"Qesm 2nd New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-siemens-4344950637?position=1&pageNum=0&refId=lBE53WX9rf6Q4ReRH%2BM1jA%3D%3D&trackingId=x6%2FfrRPSm8C%2FAiFAj%2FMhoQ%3D%3D,Cloud Engineer
DevOps Engineer,Siemens,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-siemens-4344910846?position=2&pageNum=0&refId=lBE53WX9rf6Q4ReRH%2BM1jA%3D%3D&trackingId=VZ7Jdfruw2paoQJhOsbNOw%3D%3D,Cloud Engineer
DevOps Engineer 1,noon,"New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-1-at-noon-4341241255?position=3&pageNum=0&refId=lBE53WX9rf6Q4ReRH%2BM1jA%3D%3D&trackingId=r5HDDyR6yohNv%2Fi9kUdkYg%3D%3D,Cloud Engineer
DevOps Engineer,Halan - حالا,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-4317174808?position=4&pageNum=0&refId=lBE53WX9rf6Q4ReRH%2BM1jA%3D%3D&trackingId=TQ4uMTLV7mD%2B%2FdkrPgiQMQ%3D%3D,Cloud Engineer
Devops Engineer II,Finaira,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-ii-at-finaira-4345440468?position=5&pageNum=0&refId=lBE53WX9rf6Q4ReRH%2BM1jA%3D%3D&trackingId=xjxB8L1LmcHNNI6aKkZqIg%3D%3D,Cloud Engineer
DevOps Senior Engineer,Al Ahly Momkn,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-senior-engineer-at-al-ahly-momkn-4326601542?position=6&pageNum=0&refId=lBE53WX9rf6Q4ReRH%2BM1jA%3D%3D&trackingId=NnkaPB6z1gMjhW4v0MGKXA%3D%3D,Cloud Engineer
DevOps Engineer,Nawy,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-nawy-4283405159?position=7&pageNum=0&refId=lBE53WX9rf6Q4ReRH%2BM1jA%3D%3D&trackingId=Kq1V0oDKqLqynFktSO4QJA%3D%3D,Cloud Engineer
DevOps Engineer,Digital Zone,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-digital-zone-4350120310?position=8&pageNum=0&refId=lBE53WX9rf6Q4ReRH%2BM1jA%3D%3D&trackingId=FtWn9JYxKN5lFCGRIq0Zfw%3D%3D,Cloud Engineer
Azure DevOps Engineer (Adminstration),Coca-Cola HBC,"New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/azure-devops-engineer-adminstration-at-coca-cola-hbc-4317894578?position=9&pageNum=0&refId=lBE53WX9rf6Q4ReRH%2BM1jA%3D%3D&trackingId=beCrexubCIzgj8tBqGgSHw%3D%3D,Cloud Engineer
Senior DevOps Engineer,AMAN Holding,"Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-devops-engineer-at-aman-holding-4350130936?position=10&pageNum=0&refId=lBE53WX9rf6Q4ReRH%2BM1jA%3D%3D&trackingId=NzXvc5FL4pdf1prMI%2FXPgw%3D%3D,Cloud Engineer
DevOps Engineer,blnk,"Giza, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-blnk-4282593945?position=1&pageNum=2&refId=PLbJkpvZgwBV9S%2Fg9KW2zg%3D%3D&trackingId=3fvL9bjLAFljwafdKD59MQ%3D%3D,Cloud Engineer
DevOps Engineer,SSC HR Solutions,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-ssc-hr-solutions-4279454901?position=2&pageNum=2&refId=PLbJkpvZgwBV9S%2Fg9KW2zg%3D%3D&trackingId=oygpKsD220d7xi3pEq6Few%3D%3D,Cloud Engineer
DevOps Engineer,BlackStone eIT,Egypt,https://www.linkedin.com/jobs/view/devops-engineer-at-blackstone-eit-4281996217?position=3&pageNum=2&refId=PLbJkpvZgwBV9S%2Fg9KW2zg%3D%3D&trackingId=3QlTuKhk3Lpt4cGN5dFjAg%3D%3D,Cloud Engineer
DevOps Engineer,Qara Digital Solutions,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-qara-digital-solutions-4339963523?position=4&pageNum=2&refId=PLbJkpvZgwBV9S%2Fg9KW2zg%3D%3D&trackingId=16K528Kf9a1bMUMDbSKa%2Bw%3D%3D,Cloud Engineer
DevOps Engineer,intella,"Qesm El Maadi, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-intella-4350204460?position=5&pageNum=2&refId=PLbJkpvZgwBV9S%2Fg9KW2zg%3D%3D&trackingId=JiA1p8hYGxgc7TouRhu3pw%3D%3D,Cloud Engineer
DevOps & Cloud Engineer,Talent 360 ME,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-cloud-engineer-at-talent-360-me-4322600140?position=6&pageNum=2&refId=PLbJkpvZgwBV9S%2Fg9KW2zg%3D%3D&trackingId=fY%2FWKI45AQcOi1r6f1BYGw%3D%3D,Cloud Engineer
DevOps Engineer,Goodie AI,Egypt,https://www.linkedin.com/jobs/view/devops-engineer-at-goodie-ai-4343115465?position=7&pageNum=2&refId=PLbJkpvZgwBV9S%2Fg9KW2zg%3D%3D&trackingId=bht1K66LEAaMnF%2BV0XSCiQ%3D%3D,Cloud Engineer
Senior Cloud Infrastructure Engineer,Foodics,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-cloud-infrastructure-engineer-at-foodics-4281972905?position=8&pageNum=2&refId=PLbJkpvZgwBV9S%2Fg9KW2zg%3D%3D&trackingId=TiNpT1Kzuhv%2BdldPZ1w1OA%3D%3D,Cloud Engineer
Systems Engineer - Egypt,Azeus Systems Limited,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/systems-engineer-egypt-at-azeus-systems-limited-4343780807?position=9&pageNum=2&refId=PLbJkpvZgwBV9S%2Fg9KW2zg%3D%3D&trackingId=HZXScWkwAqLHOgvAnR83MA%3D%3D,Cloud Engineer
DevOps Engineer (Mid-Level),BlackStone eIT,Egypt,https://www.linkedin.com/jobs/view/devops-engineer-mid-level-at-blackstone-eit-4283764513?position=10&pageNum=2&refId=PLbJkpvZgwBV9S%2Fg9KW2zg%3D%3D&trackingId=sBtMVH8qGcB6a2YTRJZ8aw%3D%3D,Cloud Engineer
DevOps Engineer,Dsquares,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-dsquares-4317397439?position=1&pageNum=1&refId=OPXTTAd0KYRyjm1eas8ojw%3D%3D&trackingId=LS%2BHhFWIgRJROZkVGOaQiQ%3D%3D,Cloud Engineer
DevOps Engineer (Hybrid),Bayantech,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-hybrid-at-bayantech-4320138796?position=2&pageNum=1&refId=OPXTTAd0KYRyjm1eas8ojw%3D%3D&trackingId=RoHmDCn9LvvJem2dXBcXkg%3D%3D,Cloud Engineer
DevOps Engineer,Advansys,"Nasr City, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-advansys-4342613476?position=3&pageNum=1&refId=OPXTTAd0KYRyjm1eas8ojw%3D%3D&trackingId=bbtYLRvSG4AsCMb0EiuX4A%3D%3D,Cloud Engineer
Junior Software Engineer,Halan - حالا,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/junior-software-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-4300290745?position=4&pageNum=1&refId=OPXTTAd0KYRyjm1eas8ojw%3D%3D&trackingId=iJGH%2BCIuHY5gWpLq6xW9AA%3D%3D,Cloud Engineer
DevOps Engineer (Mid level),Soum,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-mid-level-at-soum-4288753085?position=5&pageNum=1&refId=OPXTTAd0KYRyjm1eas8ojw%3D%3D&trackingId=uBOov6yJ%2F56IT0azu8nm7g%3D%3D,Cloud Engineer
DevOps Engineer (AWS),Systems Limited - Egypt,"New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-aws-at-systems-limited-egypt-4342712027?position=6&pageNum=1&refId=OPXTTAd0KYRyjm1eas8ojw%3D%3D&trackingId=WkbCed97FRHSqgI66J2VMQ%3D%3D,Cloud Engineer
DevOps Engineer,LXT,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-lxt-4338898293?position=7&pageNum=1&refId=OPXTTAd0KYRyjm1eas8ojw%3D%3D&trackingId=Eyq9Oe1Kk7gihPWitY1Yyg%3D%3D,Cloud Engineer
DevOps Engineer (3 Months)-(Contract),BlackStone eIT,Egypt,https://www.linkedin.com/jobs/view/devops-engineer-3-months-contract-at-blackstone-eit-4283199864?position=8&pageNum=1&refId=OPXTTAd0KYRyjm1eas8ojw%3D%3D&trackingId=L5oK2vNrcKeLALMVmgoSWQ%3D%3D,Cloud Engineer
Senior DevOps Engineer - Azure,Systems Limited - Egypt,"Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-devops-engineer-azure-at-systems-limited-egypt-4343704651?position=9&pageNum=1&refId=OPXTTAd0KYRyjm1eas8ojw%3D%3D&trackingId=wpWvP%2BlQh3IWkzJ0vFxo2w%3D%3D,Cloud Engineer
DevOps Engineer (Egypt),Citylogix,Egypt,https://www.linkedin.com/jobs/view/devops-engineer-egypt-at-citylogix-4345008515?position=10&pageNum=1&refId=OPXTTAd0KYRyjm1eas8ojw%3D%3D&trackingId=6VpZXKD3njhoGGNAkyBcIQ%3D%3D,Cloud Engineer
Practicing Cloud Infrastructure Architect,Capgemini,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/practicing-cloud-infrastructure-architect-at-capgemini-4335433007?position=1&pageNum=4&refId=aM1sUcVzVuppqtG%2B4zYcVQ%3D%3D&trackingId=S0KYQwgHqp1BDTkiBQE90Q%3D%3D,Cloud Engineer
Staff DevOps Engineer,b_labs,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/staff-devops-engineer-at-b-labs-4344493215?position=2&pageNum=4&refId=aM1sUcVzVuppqtG%2B4zYcVQ%3D%3D&trackingId=AmK47XIRs3Oz%2FRAyccm8Ag%3D%3D,Cloud Engineer
Senior Cloud Operation Engineer,Advansys,"Nasr City, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-cloud-operation-engineer-at-advansys-4339012046?position=3&pageNum=4&refId=aM1sUcVzVuppqtG%2B4zYcVQ%3D%3D&trackingId=dl3GVu1%2BfK%2BF68nHhXL9lA%3D%3D,Cloud Engineer
Software Technical Support Engineer,Halan - حالا,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/software-technical-support-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-4309782241?position=4&pageNum=4&refId=aM1sUcVzVuppqtG%2B4zYcVQ%3D%3D&trackingId=IIu38K%2FiKRL4STVCP0HZVA%3D%3D,Cloud Engineer
"Senior Engineer, DevOps",Egyptian Banks Company,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-engineer-devops-at-egyptian-banks-company-4331132463?position=5&pageNum=4&refId=aM1sUcVzVuppqtG%2B4zYcVQ%3D%3D&trackingId=qyRZqV5RT7og7egX3snc%2FA%3D%3D,Cloud Engineer
Senior Infrastructure & Site Reliability Engineer,ZIWO,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-infrastructure-site-reliability-engineer-at-ziwo-4350000370?position=6&pageNum=4&refId=aM1sUcVzVuppqtG%2B4zYcVQ%3D%3D&trackingId=kYN%2FZ2A9n659%2FMoBY%2FFlaQ%3D%3D,Cloud Engineer
Junior Software Engineer - Egypt (Remote),MixRank,Egypt,https://www.linkedin.com/jobs/view/junior-software-engineer-egypt-remote-at-mixrank-4324677693?position=7&pageNum=4&refId=aM1sUcVzVuppqtG%2B4zYcVQ%3D%3D&trackingId=HgaCmzmfDSdeWXBUcuz1rA%3D%3D,Cloud Engineer
Cloud Software Engineer (Python + AWS),Capgemini,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/cloud-software-engineer-python-%2B-aws-at-capgemini-4340371691?position=8&pageNum=4&refId=aM1sUcVzVuppqtG%2B4zYcVQ%3D%3D&trackingId=KrCVBCkF8zRZ9%2BwiacBEQQ%3D%3D,Cloud Engineer
Senior DevOps Engineer,Atos,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-devops-engineer-at-atos-4349896644?position=9&pageNum=4&refId=aM1sUcVzVuppqtG%2B4zYcVQ%3D%3D&trackingId=qBX2SHyTbjyUfw%2FRk%2F1UkQ%3D%3D,Cloud Engineer
ServiceNow ITOM Engineer,Coca-Cola HBC,"New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/servicenow-itom-engineer-at-coca-cola-hbc-4335552525?position=10&pageNum=4&refId=aM1sUcVzVuppqtG%2B4zYcVQ%3D%3D&trackingId=SirwTHdHhYDjdXN2AMubxg%3D%3D,Cloud Engineer
Cloud Solution Architect,Sarmad,"Giza, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/cloud-solution-architect-at-sarmad-4281250457?position=1&pageNum=3&refId=Hw7Gbyetg0RM%2Fhzp%2FD%2FxYQ%3D%3D&trackingId=T8vZh2zpgzW5zHJFuMxVjg%3D%3D,Cloud Engineer
DevOps  Engineer,Talent 360 ME,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-talent-360-me-4322883840?position=2&pageNum=3&refId=Hw7Gbyetg0RM%2Fhzp%2FD%2FxYQ%3D%3D&trackingId=pWNJ6JQ6xMfuR9nDSX2OXQ%3D%3D,Cloud Engineer
Senior Cloud DevOps Engineer,Coca-Cola HBC,"Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-cloud-devops-engineer-at-coca-cola-hbc-4335502202?position=3&pageNum=3&refId=Hw7Gbyetg0RM%2Fhzp%2FD%2FxYQ%3D%3D&trackingId=i0VANwvNhUFjax%2FM6aC7%2BA%3D%3D,Cloud Engineer
"ETIC, DevOps Engineer- Associate",PwC,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/etic-devops-engineer-associate-at-pwc-4344727547?position=4&pageNum=3&refId=Hw7Gbyetg0RM%2Fhzp%2FD%2FxYQ%3D%3D&trackingId=n%2BeKYl2EP5PYkKrMjZdL6g%3D%3D,Cloud Engineer
Software Engineer 1 (Frontend),noon,"New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/software-engineer-1-frontend-at-noon-4343234747?position=5&pageNum=3&refId=Hw7Gbyetg0RM%2Fhzp%2FD%2FxYQ%3D%3D&trackingId=mZvMB2myCFeD6xQmpSMI0Q%3D%3D,Cloud Engineer
Senior DevOps/Infrastructure Engineer,Thndr,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-devops-infrastructure-engineer-at-thndr-4337042383?position=6&pageNum=3&refId=Hw7Gbyetg0RM%2Fhzp%2FD%2FxYQ%3D%3D&trackingId=2lnWs557pPbi%2FA87QETFmA%3D%3D,Cloud Engineer
DevOps Engineer,Sumerge,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-sumerge-4324177830?position=7&pageNum=3&refId=Hw7Gbyetg0RM%2Fhzp%2FD%2FxYQ%3D%3D&trackingId=1Y0fKrLUzGs9WvmccSuZqg%3D%3D,Cloud Engineer
DevOps Monitoring Engineer,All for One Egypt,"Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-monitoring-engineer-at-all-for-one-egypt-4308418181?position=8&pageNum=3&refId=Hw7Gbyetg0RM%2Fhzp%2FD%2FxYQ%3D%3D&trackingId=ivaqR4hQc69m98m20yImsQ%3D%3D,Cloud Engineer
Staff DevOps Engineer,Sumerge,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/staff-devops-engineer-at-sumerge-4324605164?position=9&pageNum=3&refId=Hw7Gbyetg0RM%2Fhzp%2FD%2FxYQ%3D%3D&trackingId=0MNKpHlDfNUmXPqi2O6g%2FQ%3D%3D,Cloud Engineer
Azure Platform Engineer,Capgemini,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/azure-platform-engineer-at-capgemini-4344073498?position=10&pageNum=3&refId=Hw7Gbyetg0RM%2Fhzp%2FD%2FxYQ%3D%3D&trackingId=c85yfb%2BCWpBDHb14GbF9cg%3D%3D,Cloud Engineer
Senior Site Reliability Engineer I,Careem,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-site-reliability-engineer-i-at-careem-4233063551?position=1&pageNum=7&refId=zY7lGppxVUBaoDk0mLl9JQ%3D%3D&trackingId=u8GGWjQQ4zXiMX6q9yiMQQ%3D%3D,Cloud Engineer
Software Engineer 1 (Backend),noon,"Cairo, Egypt",https://www.linkedin.com/jobs/view/software-engineer-1-backend-at-noon-4344530561?position=2&pageNum=7&refId=zY7lGppxVUBaoDk0mLl9JQ%3D%3D&trackingId=EhOphTDrfKsu61NCb5Kbbw%3D%3D,Cloud Engineer
Systems Engineer (Egypt),Azeus Systems Limited,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/systems-engineer-egypt-at-azeus-systems-limited-4327112875?position=3&pageNum=7&refId=zY7lGppxVUBaoDk0mLl9JQ%3D%3D&trackingId=IwJDlfeulvwELjw2RVAXiA%3D%3D,Cloud Engineer
Software Quality Assurance Engineer (Remote),Lucidya | لوسيديا,Egypt,https://www.linkedin.com/jobs/view/software-quality-assurance-engineer-remote-at-lucidya-%D9%84%D9%88%D8%B3%D9%8A%D8%AF%D9%8A%D8%A7-4339157070?position=4&pageNum=7&refId=zY7lGppxVUBaoDk0mLl9JQ%3D%3D&trackingId=3nBaLBVxIL7KRdu62UhOGg%3D%3D,Cloud Engineer
Cloud Security Architect (GCP),Rackspace Technology,Egypt,https://www.linkedin.com/jobs/view/cloud-security-architect-gcp-at-rackspace-technology-4312829873?position=5&pageNum=7&refId=zY7lGppxVUBaoDk0mLl9JQ%3D%3D&trackingId=QiM6g%2FP1pvDhx9xeK5cU9w%3D%3D,Cloud Engineer
IAM Engineer,Capgemini,"Cairo, Egypt",https://www.linkedin.com/jobs/view/iam-engineer-at-capgemini-4324549964?position=6&pageNum=7&refId=zY7lGppxVUBaoDk0mLl9JQ%3D%3D&trackingId=9KDeqLIwGrfm68S6LKU6fg%3D%3D,Cloud Engineer
Senior DevOps Engineer,Trufla,"Heliopolis, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-devops-engineer-at-trufla-4094917433?position=7&pageNum=7&refId=zY7lGppxVUBaoDk0mLl9JQ%3D%3D&trackingId=X6%2FDd0nAPZpq9acmqA4%2BOQ%3D%3D,Cloud Engineer
Senior Cloud Ops Engineer,Yassir,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-cloud-ops-engineer-at-yassir-4030470515?position=8&pageNum=7&refId=zY7lGppxVUBaoDk0mLl9JQ%3D%3D&trackingId=y7CXyZN1ARkU2Hi4ILXUKQ%3D%3D,Cloud Engineer
Senior DevOps Engineer,Beetleware,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-devops-engineer-at-beetleware-4200282430?position=9&pageNum=7&refId=zY7lGppxVUBaoDk0mLl9JQ%3D%3D&trackingId=fPHk%2FUfeoKW0rgXkDQZBdg%3D%3D,Cloud Engineer
