title,company,location,link,search_keyword
Network Security Engineer,Orange Business,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/network-security-engineer-at-orange-business-4315097362?position=1&pageNum=4&refId=b2lsXyBg52RtExPA0MqVAQ%3D%3D&trackingId=eS5xvj%2FHUP2f1jLVWytoog%3D%3D,Security Analyst
Senior Penetration Tester,e-finance,"6th of October, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/senior-penetration-tester-at-e-finance-4345955008?position=2&pageNum=4&refId=b2lsXyBg52RtExPA0MqVAQ%3D%3D&trackingId=XjoyUpMUqyCBBsACMri0Zw%3D%3D,Security Analyst
Security Engineer,Accenture,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/security-engineer-at-accenture-4327939760?position=3&pageNum=4&refId=b2lsXyBg52RtExPA0MqVAQ%3D%3D&trackingId=vdOOAcEzbcaD%2BMXpK4pQ3w%3D%3D,Security Analyst
"Deloitte Innovation Hub I Cyber Security I Incident Response Senior Engineer, Cairo, Egypt.",Deloitte,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/deloitte-innovation-hub-i-cyber-security-i-incident-response-senior-engineer-cairo-egypt-at-deloitte-4301501793?position=4&pageNum=4&refId=b2lsXyBg52RtExPA0MqVAQ%3D%3D&trackingId=bmXwUUiPsGdpuzIJ6iapLQ%3D%3D,Security Analyst
"Deloitte Innovation Hub I Cyber Security I GRC Senior Engineer, Cairo, Egypt",Deloitte,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/deloitte-innovation-hub-i-cyber-security-i-grc-senior-engineer-cairo-egypt-at-deloitte-4188877751?position=5&pageNum=4&refId=b2lsXyBg52RtExPA0MqVAQ%3D%3D&trackingId=cumDVcQ9RuK7lXHZ8q7u0Q%3D%3D,Security Analyst
Security Engineer/DevSecOps,Gathern | جاذر إن,Egypt,https://www.linkedin.com/jobs/view/security-engineer-devsecops-at-gathern-%D8%AC%D8%A7%D8%B0%D8%B1-%D8%A5%D9%86-4312086996?position=6&pageNum=4&refId=b2lsXyBg52RtExPA0MqVAQ%3D%3D&trackingId=Du2vH1wMEZ8S7SdNmfsYjQ%3D%3D,Security Analyst
ICT/Security/Telecommunications/ELV Engineer,Dar,"Cairo, Egypt",https://www.linkedin.com/jobs/view/ict-security-telecommunications-elv-engineer-at-dar-4340194763?position=7&pageNum=4&refId=b2lsXyBg52RtExPA0MqVAQ%3D%3D&trackingId=mHCHhHSRv2BftloZT7gAYg%3D%3D,Security Analyst
"Deloitte Innovation Hub I Cyber Security I Data Protection Engineer, Cairo, Egypt",Deloitte,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/deloitte-innovation-hub-i-cyber-security-i-data-protection-engineer-cairo-egypt-at-deloitte-4263614534?position=8&pageNum=4&refId=b2lsXyBg52RtExPA0MqVAQ%3D%3D&trackingId=rnDpRtaTFLj7FH3oSn1iKg%3D%3D,Security Analyst
Solution Engineer / Network Security Specialist - Cloudflare Focused,Brixio,Egypt,https://www.linkedin.com/jobs/view/solution-engineer-network-security-specialist-cloudflare-focused-at-brixio-4306471497?position=9&pageNum=4&refId=b2lsXyBg52RtExPA0MqVAQ%3D%3D&trackingId=OhevI52sCnckBh1xIl6vig%3D%3D,Security Analyst
"Deloitte Innovation Hub I Cyber Security I Technology Resilience Senior Engineer, Cairo. Egypt",Deloitte,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/deloitte-innovation-hub-i-cyber-security-i-technology-resilience-senior-engineer-cairo-egypt-at-deloitte-4287732152?position=10&pageNum=4&refId=b2lsXyBg52RtExPA0MqVAQ%3D%3D&trackingId=dlNLKd4VBU7c0IVH2ZCjxg%3D%3D,Security Analyst
Senior Cloud Security Engineer,Brightly Software,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-cloud-security-engineer-at-brightly-software-4324819393?position=1&pageNum=1&refId=c3l0AYFvekB1hrcP9x67Tg%3D%3D&trackingId=q9kpYmxCIhFBp5p1zwE9FQ%3D%3D,Security Analyst
Senior Security Solutions Engineer - Firewall and SASE,Orange Business,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-security-solutions-engineer-firewall-and-sase-at-orange-business-4315212111?position=2&pageNum=1&refId=c3l0AYFvekB1hrcP9x67Tg%3D%3D&trackingId=LJwDrP359OvbmTTXuWEMdA%3D%3D,Security Analyst
Senior Security Solutions Engineer - Firewall and SASE,Orange Business,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-security-solutions-engineer-firewall-and-sase-at-orange-business-4325494308?position=3&pageNum=1&refId=c3l0AYFvekB1hrcP9x67Tg%3D%3D&trackingId=C6sgxTM5%2FN7mCY8ow6Dmtw%3D%3D,Security Analyst
"Business Intelligence Analyst, BI",Valeo,"Cairo, Egypt",https://www.linkedin.com/jobs/view/business-intelligence-analyst-bi-at-valeo-4342852046?position=4&pageNum=1&refId=c3l0AYFvekB1hrcP9x67Tg%3D%3D&trackingId=M0gD8lc2SAT1YR2xLeiN%2Bw%3D%3D,Security Analyst
"Business Intelligence Analyst, BI",Valeo,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/business-intelligence-analyst-bi-at-valeo-4342791700?position=5&pageNum=1&refId=c3l0AYFvekB1hrcP9x67Tg%3D%3D&trackingId=j41ekzCbesAyChDxMtKV%2FA%3D%3D,Security Analyst
Market Intelligence Analyst,Henkel,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/market-intelligence-analyst-at-henkel-4248032210?position=6&pageNum=1&refId=c3l0AYFvekB1hrcP9x67Tg%3D%3D&trackingId=dTHQ6Nffc3SFbnbl97q%2F7g%3D%3D,Security Analyst
Analyst Consumer Market Intelligence,Henkel,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/analyst-consumer-market-intelligence-at-henkel-4307827443?position=7&pageNum=1&refId=c3l0AYFvekB1hrcP9x67Tg%3D%3D&trackingId=GDSLAh4aEBsEP7CrHX6otg%3D%3D,Security Analyst
Senior Security Solutions Engineer - OT & Threat Detection Security,Orange Business,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-security-solutions-engineer-ot-threat-detection-security-at-orange-business-4315098389?position=8&pageNum=1&refId=c3l0AYFvekB1hrcP9x67Tg%3D%3D&trackingId=QhXQB2T01YqJfGCchDcOng%3D%3D,Security Analyst
"Senior Business Intelligence Analyst, BI",Valeo,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-business-intelligence-analyst-bi-at-valeo-4342903797?position=9&pageNum=1&refId=c3l0AYFvekB1hrcP9x67Tg%3D%3D&trackingId=DkU8XPIpA%2F8K%2FR2pN5Folg%3D%3D,Security Analyst
Senior Business Analyst,Xenon Seven,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-business-analyst-at-xenon-seven-4314498002?position=10&pageNum=1&refId=c3l0AYFvekB1hrcP9x67Tg%3D%3D&trackingId=z3ajm2knX0PY2b4B8UGnig%3D%3D,Security Analyst
Information Security SME - Octopus by RTG,Robusta Studio,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/information-security-sme-octopus-by-rtg-at-robusta-studio-4345699479?position=1&pageNum=3&refId=ZpTj%2BkockhcXJSn6%2B80jkA%3D%3D&trackingId=wWLFl3iFaQ%2FdHMe647ZB7Q%3D%3D,Security Analyst
L1 Network Security Engineer,Orange Business,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/l1-network-security-engineer-at-orange-business-4325821289?position=2&pageNum=3&refId=ZpTj%2BkockhcXJSn6%2B80jkA%3D%3D&trackingId=3MGD3%2B%2Bug1540xNhdm5ZHg%3D%3D,Security Analyst
Information Security Engineer,NowPay,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/information-security-engineer-at-nowpay-4301378418?position=3&pageNum=3&refId=ZpTj%2BkockhcXJSn6%2B80jkA%3D%3D&trackingId=L%2FmkT1hTOyPye%2Bt%2Bw1maZA%3D%3D,Security Analyst
