title,company,location,link,search_keyword
Automation & AI Engineer,Orange Business,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/automation-ai-engineer-at-orange-business-4319470209?position=1&pageNum=4&refId=or7OKTmilS9i1nTX7yYb9Q%3D%3D&trackingId=lKHcHZY7NiqrqSHS0Bz1bw%3D%3D,Robotics Engineer
Electrical Power Engineer,Electro Tharwat For Trading and Contracting,"Cairo, Egypt",https://www.linkedin.com/jobs/view/electrical-power-engineer-at-electro-tharwat-for-trading-and-contracting-4338139795?position=2&pageNum=4&refId=or7OKTmilS9i1nTX7yYb9Q%3D%3D&trackingId=%2FZNcCV7NrNvmTMcEYpMBtw%3D%3D,Robotics Engineer
Automation Software Developer (VOIS,VOIS,"Giza, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/automation-software-developer-vois-at-vois-4309266378?position=3&pageNum=4&refId=or7OKTmilS9i1nTX7yYb9Q%3D%3D&trackingId=pAvO2%2B6UE883ISnegEI6rQ%3D%3D,Robotics Engineer
Senior Electrical Engineer,MFM Mansour For Filters Manufacturing,"10th of Ramadan, Sharkia, Egypt",https://www.linkedin.com/jobs/view/senior-electrical-engineer-at-mfm-mansour-for-filters-manufacturing-4347416979?position=4&pageNum=4&refId=or7OKTmilS9i1nTX7yYb9Q%3D%3D&trackingId=GO0etaTzq8Txi3O0Gqrd5w%3D%3D,Robotics Engineer
Site Electrical Engineer,ELSEWEDY ELECTRIC,"North Sinai, Egypt",https://www.linkedin.com/jobs/view/site-electrical-engineer-at-elsewedy-electric-4314287189?position=5&pageNum=4&refId=or7OKTmilS9i1nTX7yYb9Q%3D%3D&trackingId=AoYcBkw3Fq7Zzf8IpJCvHA%3D%3D,Robotics Engineer
Software QC Engineer,Halan - حالا,"Giza, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/software-qc-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-4320470892?position=6&pageNum=4&refId=or7OKTmilS9i1nTX7yYb9Q%3D%3D&trackingId=UJnw5la9PTPOrZ3cs0%2BoJQ%3D%3D,Robotics Engineer
"Test Engineer (Egypt, Automotive)",Intellias,"Cairo, Egypt",https://www.linkedin.com/jobs/view/test-engineer-egypt-automotive-at-intellias-4342261314?position=7&pageNum=4&refId=or7OKTmilS9i1nTX7yYb9Q%3D%3D&trackingId=QUuphkQWSJJzWiApSo9WVA%3D%3D,Robotics Engineer
Tech Innovation - R&D Software Engineer - Cairo,Infomineo,"Qesm El Maadi, Cairo, Egypt",https://www.linkedin.com/jobs/view/tech-innovation-r-d-software-engineer-cairo-at-infomineo-4342639887?position=8&pageNum=4&refId=or7OKTmilS9i1nTX7yYb9Q%3D%3D&trackingId=AK4pQdMiR%2F5JWGFM1JKlpQ%3D%3D,Robotics Engineer
Software Engineer,Mashreq,Egypt,https://www.linkedin.com/jobs/view/software-engineer-at-mashreq-4253054010?position=9&pageNum=4&refId=or7OKTmilS9i1nTX7yYb9Q%3D%3D&trackingId=HG8rDMW%2BfACF95dw04pzfg%3D%3D,Robotics Engineer
Senior Electrical Site Engineer,SID I Sultans For Investment & Development,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-electrical-site-engineer-at-sid-i-sultans-for-investment-development-4282443547?position=10&pageNum=4&refId=or7OKTmilS9i1nTX7yYb9Q%3D%3D&trackingId=4wBTofZNJjoXBf00hUnhOg%3D%3D,Robotics Engineer
Mechatronics Engineer,Capgemini,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/mechatronics-engineer-at-capgemini-4342580101?position=1&pageNum=0&refId=OnEfzBiRoOdJKiRiHESssA%3D%3D&trackingId=r9lmrpfAZimws89h20NUzw%3D%3D,Robotics Engineer
