title,company,location,link,search_keyword
RESPONSABLE POLE APPLICATIF,TALYS Group,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/responsable-pole-applicatif-at-talys-group-4343972016?position=1&pageNum=0&refId=j1HJdt%2BCf%2BDasRy7dv%2FEsQ%3D%3D&trackingId=GyEMv3xk6eThLe94N6Dz1w%3D%3D,Cryptographer
Bilingual Expert,FreshTalent,Madagascar,https://www.linkedin.com/jobs/view/bilingual-expert-at-freshtalent-4333891452?position=2&pageNum=0&refId=j1HJdt%2BCf%2BDasRy7dv%2FEsQ%3D%3D&trackingId=0DalsN0p7Oi1ZP70oUmN0Q%3D%3D,Cryptographer
"Développeur C++ / Linux embarqué - Antananarivo, Madagascar  (H/F)",Astek,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-c%2B%2B-linux-embarqu%C3%A9-antananarivo-madagascar-h-f-at-astek-4163540234?position=3&pageNum=0&refId=j1HJdt%2BCf%2BDasRy7dv%2FEsQ%3D%3D&trackingId=FSc0%2BIgy%2FUHl88YcUpTjEQ%3D%3D,Cryptographer
Développeur Go (Golang),Novity Madagascar,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-go-golang-at-novity-madagascar-4325776127?position=5&pageNum=0&refId=j1HJdt%2BCf%2BDasRy7dv%2FEsQ%3D%3D&trackingId=l4Mb83GrnlvzLngHRf3Qrg%3D%3D,Cryptographer
DevSecOps Senior (Freelance/Part-Time),fluentech,Madagascar,https://www.linkedin.com/jobs/view/devsecops-senior-freelance-part-time-at-fluentech-4344616101?position=6&pageNum=0&refId=j1HJdt%2BCf%2BDasRy7dv%2FEsQ%3D%3D&trackingId=xYOtuEvvYxTcDeOBvojb1A%3D%3D,Cryptographer
Zoho Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/zoho-developer-at-odixcity-consulting-4345646385?position=7&pageNum=0&refId=j1HJdt%2BCf%2BDasRy7dv%2FEsQ%3D%3D&trackingId=Bgf%2BFeaahar98HS5E45HbA%3D%3D,Cryptographer
Cloud Engineer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/cloud-engineer-at-odixcity-consulting-4336235167?position=8&pageNum=0&refId=j1HJdt%2BCf%2BDasRy7dv%2FEsQ%3D%3D&trackingId=DOTWLmhtZHDPDdv2eMQgfA%3D%3D,Cryptographer
3 DÉVELOPPEURS BACK-END EXPERTS (H/F),OFFSHORE VALUE,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/3-d%C3%A9veloppeurs-back-end-experts-h-f-at-offshore-value-4345725713?position=9&pageNum=0&refId=j1HJdt%2BCf%2BDasRy7dv%2FEsQ%3D%3D&trackingId=LBfUaxYsiGguVppwoR7Lkw%3D%3D,Cryptographer
DÉVELOPPEUR SENIOR FULL STACK (DSFS0125),Publika Group,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-senior-full-stack-dsfs0125-at-publika-group-4134267834?position=1&pageNum=2&refId=Z4uj39NAvKpgHP6mC4qu%2FA%3D%3D&trackingId=dnmAecxU7woJCrYXWXfHzw%3D%3D,Cryptographer
JavaScript Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/javascript-developer-at-odixcity-consulting-4289806779?position=2&pageNum=2&refId=Z4uj39NAvKpgHP6mC4qu%2FA%3D%3D&trackingId=%2Fd2BBKnWbaZLsAz%2BevrDqQ%3D%3D,Cryptographer
