title,company,location,link,search_keyword
Computer Vision Engineer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/computer-vision-engineer-at-odixcity-consulting-4345569188?position=1&pageNum=0&refId=SefDTn00Gswt0huqgEldZQ%3D%3D&trackingId=g%2FNl5AQnk9ZGxVZb20Dnag%3D%3D,Computer Vision Engineer
Software Engineer,Flourish Health,Madagascar,https://www.linkedin.com/jobs/view/software-engineer-at-flourish-health-4264213349?position=2&pageNum=0&refId=SefDTn00Gswt0huqgEldZQ%3D%3D&trackingId=UJmPLDSGLyywrY6pSQFj%2Fg%3D%3D,Computer Vision Engineer
Full-Stack Software Engineer,The Flex,Madagascar,https://www.linkedin.com/jobs/view/full-stack-software-engineer-at-the-flex-4342459346?position=3&pageNum=0&refId=SefDTn00Gswt0huqgEldZQ%3D%3D&trackingId=c7vr4XCRHpTX6j9QMis1Bw%3D%3D,Computer Vision Engineer
DevSecOps Senior (Freelance/Part-Time),fluentech,Madagascar,https://www.linkedin.com/jobs/view/devsecops-senior-freelance-part-time-at-fluentech-4344616101?position=1&pageNum=1&refId=EOB2Jsp%2Fp5WqLy7bRAuVUw%3D%3D&trackingId=bafgiIQnKOT%2F181iOb%2ByxA%3D%3D,Applied Scientist
RESPONSABLE POLE APPLICATIF,TALYS Group,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/responsable-pole-applicatif-at-talys-group-4343972016?position=2&pageNum=1&refId=EOB2Jsp%2Fp5WqLy7bRAuVUw%3D%3D&trackingId=4hPh3TWrm6cU%2FH9DuLT1nQ%3D%3D,Applied Scientist
"Développeur C++ / Linux embarqué - Antananarivo, Madagascar  (H/F)",Astek,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-c%2B%2B-linux-embarqu%C3%A9-antananarivo-madagascar-h-f-at-astek-4163540234?position=3&pageNum=1&refId=EOB2Jsp%2Fp5WqLy7bRAuVUw%3D%3D&trackingId=u2Ny8vF%2B0dOg26XMb1YJJg%3D%3D,Applied Scientist
3 DÉVELOPPEURS BACK-END EXPERTS (H/F),OFFSHORE VALUE,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/3-d%C3%A9veloppeurs-back-end-experts-h-f-at-offshore-value-4345725713?position=4&pageNum=1&refId=EOB2Jsp%2Fp5WqLy7bRAuVUw%3D%3D&trackingId=gRkrQhFpNhBSgE8%2FOXFe6A%3D%3D,Applied Scientist
"Back-End Developer, Course Design",Onja,"Toamasina, Atsinanana, Madagascar",https://www.linkedin.com/jobs/view/back-end-developer-course-design-at-onja-4335383476?position=5&pageNum=1&refId=EOB2Jsp%2Fp5WqLy7bRAuVUw%3D%3D&trackingId=mZE6zcNNdzk5lv%2FFzQEkUw%3D%3D,Applied Scientist
Software Engineer,Flourish Health,Madagascar,https://www.linkedin.com/jobs/view/software-engineer-at-flourish-health-4264213349?position=6&pageNum=1&refId=EOB2Jsp%2Fp5WqLy7bRAuVUw%3D%3D&trackingId=80kf90N7i2kTGB8YhuUHaA%3D%3D,Applied Scientist
"Ingénieur DevOps - Antananarivo, Madagascar  (H/F)",Astek,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/ing%C3%A9nieur-devops-antananarivo-madagascar-h-f-at-astek-4313078898?position=7&pageNum=1&refId=EOB2Jsp%2Fp5WqLy7bRAuVUw%3D%3D&trackingId=P2OCSvwDILhx1ncXfUYL4w%3D%3D,Applied Scientist
JavaScript Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/javascript-developer-at-odixcity-consulting-4289806779?position=8&pageNum=1&refId=EOB2Jsp%2Fp5WqLy7bRAuVUw%3D%3D&trackingId=%2BRybAYrFWBJd%2FFO93Mwh%2Bw%3D%3D,Applied Scientist
Full-Stack Software Engineer,The Flex,Madagascar,https://www.linkedin.com/jobs/view/full-stack-software-engineer-at-the-flex-4342459346?position=9&pageNum=1&refId=EOB2Jsp%2Fp5WqLy7bRAuVUw%3D%3D&trackingId=0tbA4fid7NcrzvGr%2BiCXcQ%3D%3D,Applied Scientist
Cloud Engineer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/cloud-engineer-at-odixcity-consulting-4336235167?position=10&pageNum=1&refId=EOB2Jsp%2Fp5WqLy7bRAuVUw%3D%3D&trackingId=qF0wCl%2FFZhsgAzLclrFLEQ%3D%3D,Applied Scientist
3 DÉVELOPPEURS BACK-END EXPERTS (H/F),OFFSHORE VALUE,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/3-d%C3%A9veloppeurs-back-end-experts-h-f-at-offshore-value-4345725713?position=1&pageNum=2&refId=I73CREUE2jwPx4Tq9T%2FnFA%3D%3D&trackingId=VDaGnAaGJ7GCKh95fH147w%3D%3D,Bioinformatics Data Scientist
DevOps Engineer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/devops-engineer-at-odixcity-consulting-4336075537?position=2&pageNum=2&refId=I73CREUE2jwPx4Tq9T%2FnFA%3D%3D&trackingId=urTGbUa%2BOE%2FqG4wUYC92Sg%3D%3D,Bioinformatics Data Scientist
