title,company,location,link,search_keyword
Software Engineer,Flourish Health,Madagascar,https://www.linkedin.com/jobs/view/software-engineer-at-flourish-health-4264213349?position=1&pageNum=0&refId=zkiG8zQPqOj2t%2F7ZCLYCmA%3D%3D&trackingId=D0ji4nnsGPwHhbDFvn12nw%3D%3D,Automation Engineer
Python Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/python-developer-at-odixcity-consulting-4335906997?position=2&pageNum=0&refId=zkiG8zQPqOj2t%2F7ZCLYCmA%3D%3D&trackingId=cr5ChRn%2BBv0ei7TVSHenbA%3D%3D,Automation Engineer
Swift Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/swift-developer-at-odixcity-consulting-4335867134?position=3&pageNum=0&refId=zkiG8zQPqOj2t%2F7ZCLYCmA%3D%3D&trackingId=vlEDWkb0%2FAo%2BTC%2FoVHCo5w%3D%3D,Automation Engineer
Full-Stack Software Engineer,The Flex,Madagascar,https://www.linkedin.com/jobs/view/full-stack-software-engineer-at-the-flex-4342459346?position=4&pageNum=0&refId=zkiG8zQPqOj2t%2F7ZCLYCmA%3D%3D&trackingId=GzMMgfI%2BJM6paJMQxzS4eQ%3D%3D,Automation Engineer
Machine Learning Expert,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/machine-learning-expert-at-odixcity-consulting-4335867130?position=6&pageNum=0&refId=zkiG8zQPqOj2t%2F7ZCLYCmA%3D%3D&trackingId=Vziw7ikCn%2BUVKjXmIIy4MQ%3D%3D,Automation Engineer
"Ingénieur DevOps - Antananarivo, Madagascar  (H/F)",Astek,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/ing%C3%A9nieur-devops-antananarivo-madagascar-h-f-at-astek-4313078898?position=7&pageNum=0&refId=zkiG8zQPqOj2t%2F7ZCLYCmA%3D%3D&trackingId=XeHiaiAMF3SFqeaW%2FRJFSg%3D%3D,Automation Engineer
Backend & Frontend Developer,The Flex,Madagascar,https://www.linkedin.com/jobs/view/backend-frontend-developer-at-the-flex-4342439376?position=8&pageNum=0&refId=zkiG8zQPqOj2t%2F7ZCLYCmA%3D%3D&trackingId=QQ64qlAXoRu%2FMDrfFKviNA%3D%3D,Automation Engineer
NLP Engineer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/nlp-engineer-at-odixcity-consulting-4336066438?position=9&pageNum=0&refId=zkiG8zQPqOj2t%2F7ZCLYCmA%3D%3D&trackingId=DmvCONN84jfQHd0i3ZkXgA%3D%3D,Automation Engineer
"Full Stack Developer, Course Design",Onja,"Toamasina, Atsinanana, Madagascar",https://www.linkedin.com/jobs/view/full-stack-developer-course-design-at-onja-4335553200?position=10&pageNum=0&refId=zkiG8zQPqOj2t%2F7ZCLYCmA%3D%3D&trackingId=FsOgc575E2sv7NVTboJ7lQ%3D%3D,Automation Engineer
"Full Stack Developer, Course Design",Onja,"Toamasina, Atsinanana, Madagascar",https://www.linkedin.com/jobs/view/full-stack-developer-course-design-at-onja-4335553200?position=1&pageNum=1&refId=vD%2FTH6Sp48zbqWxgD43bYw%3D%3D&trackingId=PWb67uFtJeE3RuFgomhYNQ%3D%3D,Automation Engineer
