title,company,location,link,search_keyword
Security Analyst,TELUS Digital,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/security-analyst-at-telus-digital-4340783591?position=1&pageNum=0&refId=86pC5onVBZSVNUmACz15yA%3D%3D&trackingId=q3pVGPm1%2F1ym9LesrRJW1A%3D%3D,Security Analyst
Business Intelligence Analyst (H/F),ALTEN MAROC,"Rabat, Rabat-Salé-Kénitra, Morocco",https://www.linkedin.com/jobs/view/business-intelligence-analyst-h-f-at-alten-maroc-4350071741?position=2&pageNum=0&refId=86pC5onVBZSVNUmACz15yA%3D%3D&trackingId=hESBTUcXPMVnyq9nrUZtTw%3D%3D,Security Analyst
Service Operations Center (SOC) Analyst,Alpha Networks,"Mohammedia, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/service-operations-center-soc-analyst-at-alpha-networks-4324539149?position=3&pageNum=0&refId=86pC5onVBZSVNUmACz15yA%3D%3D&trackingId=scjvaPHqy25fL4p4w%2BhRRg%3D%3D,Security Analyst
Senior Security Engineer,Orange Business,"Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/senior-security-engineer-at-orange-business-4349587072?position=4&pageNum=0&refId=86pC5onVBZSVNUmACz15yA%3D%3D&trackingId=PTRy8ZA1lParzvrAir0Oiw%3D%3D,Security Analyst
Senior Software Engineer (Security) (Remote from Morocco),Jobgether,Morocco,https://www.linkedin.com/jobs/view/senior-software-engineer-security-remote-from-morocco-at-jobgether-4328797588?position=5&pageNum=0&refId=86pC5onVBZSVNUmACz15yA%3D%3D&trackingId=sT72gatT8dFTgv%2FymKGKSg%3D%3D,Security Analyst
Business Intelligence Analyst (H/F),ALTEN,"Rabat, Rabat-Salé-Kénitra, Morocco",https://www.linkedin.com/jobs/view/business-intelligence-analyst-h-f-at-alten-4348062266?position=6&pageNum=0&refId=86pC5onVBZSVNUmACz15yA%3D%3D&trackingId=SpkkmsSF8SP4YY7SJL4oxQ%3D%3D,Security Analyst
SOC Analyst (H/F),LabelVie,"Prefecture of Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/soc-analyst-h-f-at-labelvie-4349423689?position=7&pageNum=0&refId=86pC5onVBZSVNUmACz15yA%3D%3D&trackingId=OHYxSSvABT6%2F0W82B8J%2Fvw%3D%3D,Security Analyst
Senior Network & Security Engineer (H/F),SC Consulting Morocco,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/senior-network-security-engineer-h-f-at-sc-consulting-morocco-4321644646?position=8&pageNum=0&refId=86pC5onVBZSVNUmACz15yA%3D%3D&trackingId=JfgUE18RGV%2Bi8s49XNT3wQ%3D%3D,Security Analyst
Solution Engineer / Network Security Specialist - Cloudflare Focused,Brixio,Morocco,https://www.linkedin.com/jobs/view/solution-engineer-network-security-specialist-cloudflare-focused-at-brixio-4306471494?position=9&pageNum=0&refId=86pC5onVBZSVNUmACz15yA%3D%3D&trackingId=i%2B3IiAgEvVpZJhAUT07XZQ%3D%3D,Security Analyst
T&DS - Network Cloud Security Engineer,Forvis Mazars Group,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/t-ds-network-cloud-security-engineer-at-forvis-mazars-group-4348742221?position=10&pageNum=0&refId=86pC5onVBZSVNUmACz15yA%3D%3D&trackingId=DbqcId%2BWTqCScg%2BcPwJl3w%3D%3D,Security Analyst
Senior Software Engineer - McKinsey Digital,McKinsey & Company,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/senior-software-engineer-mckinsey-digital-at-mckinsey-company-4342584181?position=1&pageNum=6&refId=KjDKhxQX9jMcHxTkuoLIvQ%3D%3D&trackingId=tK8eXrmMJ%2BhLYnIrw%2BP8aw%3D%3D,Security Engineer
