title,company,location,link,search_keyword
"Expert en  Intelligence Artificielle, Big Data, Data Science",BROME Consulting & Technology,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/expert-en-intelligence-artificielle-big-data-data-science-at-brome-consulting-technology-4200185538?position=1&pageNum=4&refId=m7SwJI7eITm6xUfoNgkeKQ%3D%3D&trackingId=JCl47OqEpthk9RPfJNT0Lw%3D%3D,Data Scientist
Ingénieur software,Attijariwafa bank,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/ing%C3%A9nieur-software-at-attijariwafa-bank-4344471157?position=2&pageNum=4&refId=m7SwJI7eITm6xUfoNgkeKQ%3D%3D&trackingId=0CbLduYaqKkvY1ocrb4fEw%3D%3D,Data Scientist
Développeur Full Stack,Deloitte,"Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-full-stack-at-deloitte-4342969156?position=3&pageNum=4&refId=m7SwJI7eITm6xUfoNgkeKQ%3D%3D&trackingId=9oKB5GAlcQqz%2FnDu1R7o%2Bg%3D%3D,Data Scientist
GTI - Postdoctoral Researchers in Artificial Intelligence (AI) – Focus on Large Language Models,UM6P - University Mohammed VI Polytechnic,Morocco,https://www.linkedin.com/jobs/view/gti-postdoctoral-researchers-in-artificial-intelligence-ai-%E2%80%93-focus-on-large-language-models-at-um6p-university-mohammed-vi-polytechnic-4342056245?position=4&pageNum=4&refId=m7SwJI7eITm6xUfoNgkeKQ%3D%3D&trackingId=bssqiBkTXA3mKZSK2L829Q%3D%3D,Data Scientist
Development Engineer,Faurecia,Rabat Metropolitan Area,https://www.linkedin.com/jobs/view/development-engineer-at-faurecia-4343177746?position=5&pageNum=4&refId=m7SwJI7eITm6xUfoNgkeKQ%3D%3D&trackingId=ZVNonVrZ4iu0kHbz8%2Bm5Cw%3D%3D,Data Scientist
Junior Data Engineer (Relocation to Poland),Talan,"Tangier, Tanger-Tetouan-Al Hoceima, Morocco",https://www.linkedin.com/jobs/view/junior-data-engineer-relocation-to-poland-at-talan-4325698132?position=6&pageNum=4&refId=m7SwJI7eITm6xUfoNgkeKQ%3D%3D&trackingId=tJRPPi3NvA%2FkylF0s1iJVA%3D%3D,Data Scientist
SIL,SEGULA Technologies,"Mechouar, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/sil-at-segula-technologies-4310767994?position=7&pageNum=4&refId=m7SwJI7eITm6xUfoNgkeKQ%3D%3D&trackingId=lY97frhNmU8Lt3IgXVc%2BVA%3D%3D,Data Scientist
"Applied AI,  Senior/Staff Forward Deployed Machine Learning Engineer - Morocco",Mistral AI,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/applied-ai-senior-staff-forward-deployed-machine-learning-engineer-morocco-at-mistral-ai-4334350032?position=8&pageNum=4&refId=m7SwJI7eITm6xUfoNgkeKQ%3D%3D&trackingId=uF%2FCaACOJj%2BjktwwXVRDdQ%3D%3D,Data Scientist
Development engineer focuse...,FabLab Agadir,"Agadir, Souss-Massa, Morocco",https://www.linkedin.com/jobs/view/development-engineer-focuse-at-fablab-agadir-4349019697?position=9&pageNum=4&refId=m7SwJI7eITm6xUfoNgkeKQ%3D%3D&trackingId=ksY%2BnBzgji%2FHe2QkF%2FUSqg%3D%3D,Data Scientist
Stagiaire Datalab - Offre de pré-embauche,Coface,"Mechouar, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/stagiaire-datalab-offre-de-pr%C3%A9-embauche-at-coface-4350225940?position=10&pageNum=4&refId=m7SwJI7eITm6xUfoNgkeKQ%3D%3D&trackingId=4Yy3urTqJc5xSey4DgfPRQ%3D%3D,Data Scientist
