title,company,location,link,search_keyword
Analista de Segurança da Informação Jr. (SOC),PagBank,"São Paulo, São Paulo, Brazil",https://www.linkedin.com/jobs/view/analista-de-seguran%C3%A7a-da-informa%C3%A7%C3%A3o-jr-soc-at-pagbank-4325715488?position=1&pageNum=0&refId=smgAMxJYb18rthn6RJpAdg%3D%3D&trackingId=g%2Be081TzZ3B5k%2FX4AnaqYA%3D%3D,Security Analyst
Analista de Segurança da Informação (Cyber Security) PL  | Belo Horizonte,Sicoob Central Crediminas,"Belo Horizonte, Minas Gerais, Brazil",https://www.linkedin.com/jobs/view/analista-de-seguran%C3%A7a-da-informa%C3%A7%C3%A3o-cyber-security-pl-belo-horizonte-at-sicoob-central-crediminas-4345030562?position=2&pageNum=0&refId=smgAMxJYb18rthn6RJpAdg%3D%3D&trackingId=pETf8c%2BfTCc0tKvttTf3Bg%3D%3D,Security Analyst
Analista de Segurança - Rio de Janeiro/RJ,Shopee,"São Paulo, São Paulo, Brazil",https://www.linkedin.com/jobs/view/analista-de-seguran%C3%A7a-rio-de-janeiro-rj-at-shopee-4308549463?position=3&pageNum=0&refId=smgAMxJYb18rthn6RJpAdg%3D%3D&trackingId=IsDAH6ESHfo3Xrk5xrIzfQ%3D%3D,Security Analyst
Analista de Segurança da Informação Júnior,Apdata do Brasil,"São Paulo, São Paulo, Brazil",https://www.linkedin.com/jobs/view/analista-de-seguran%C3%A7a-da-informa%C3%A7%C3%A3o-j%C3%BAnior-at-apdata-do-brasil-4344689613?position=4&pageNum=0&refId=smgAMxJYb18rthn6RJpAdg%3D%3D&trackingId=JI2h0BrxmbrycAbg4MLo3A%3D%3D,Security Analyst
Analista de Segurança da Informação Pleno,Unimed Vale do Sinos,Brazil,https://www.linkedin.com/jobs/view/analista-de-seguran%C3%A7a-da-informa%C3%A7%C3%A3o-pleno-at-unimed-vale-do-sinos-4344242922?position=5&pageNum=0&refId=smgAMxJYb18rthn6RJpAdg%3D%3D&trackingId=gzErIWsdJIOU7FPhDCUdQQ%3D%3D,Security Analyst
18654-Analista de Segurança da Informação JR,Hitss Brasil,"São Paulo, São Paulo, Brazil",https://www.linkedin.com/jobs/view/18654-analista-de-seguran%C3%A7a-da-informa%C3%A7%C3%A3o-jr-at-hitss-brasil-4328698676?position=6&pageNum=0&refId=smgAMxJYb18rthn6RJpAdg%3D%3D&trackingId=LPlH2gtP7nAf6nYxk0cCSA%3D%3D,Security Analyst
Analista de Segurança da Informação,Tecmaster Informática - Consultoria,Greater São Paulo Area,https://www.linkedin.com/jobs/view/analista-de-seguran%C3%A7a-da-informa%C3%A7%C3%A3o-at-tecmaster-inform%C3%A1tica-consultoria-4344287791?position=7&pageNum=0&refId=smgAMxJYb18rthn6RJpAdg%3D%3D&trackingId=WUxyy4gPdRzFPg3oRZeYNg%3D%3D,Security Analyst
Assistente de Segurança da Informação- LGPD (SEDE),Unimed Maceió,"Maceió, Alagoas, Brazil",https://www.linkedin.com/jobs/view/assistente-de-seguran%C3%A7a-da-informa%C3%A7%C3%A3o-lgpd-sede-at-unimed-macei%C3%B3-4348259682?position=8&pageNum=0&refId=smgAMxJYb18rthn6RJpAdg%3D%3D&trackingId=YjcRfkFD5UjLaGr4oAmqlg%3D%3D,Security Analyst
"Analista SGI Pleno - Saúde, Segurança, Saúde Ocupacional",Nissin Foods do Brasil,"Ibiúna, São Paulo, Brazil",https://www.linkedin.com/jobs/view/analista-sgi-pleno-sa%C3%BAde-seguran%C3%A7a-sa%C3%BAde-ocupacional-at-nissin-foods-do-brasil-4325555498?position=9&pageNum=0&refId=smgAMxJYb18rthn6RJpAdg%3D%3D&trackingId=CkiA%2FIp6AlBxpqLT73KGxQ%3D%3D,Security Analyst
Analista de Segurança da Informação JR,New Way,"Bauru, São Paulo, Brazil",https://www.linkedin.com/jobs/view/analista-de-seguran%C3%A7a-da-informa%C3%A7%C3%A3o-jr-at-new-way-4347560433?position=10&pageNum=0&refId=smgAMxJYb18rthn6RJpAdg%3D%3D&trackingId=q2oS7qS01k5QHovBLx9pIA%3D%3D,Security Analyst
