title,company,location,link,search_keyword
Cientista de Dados Jr. (Finanças),Banco PAN,"São Paulo, São Paulo, Brazil",https://www.linkedin.com/jobs/view/cientista-de-dados-jr-finan%C3%A7as-at-banco-pan-4328719995?position=1&pageNum=0&refId=LRgLzSgYgFBX4oAuSGA8Lg%3D%3D&trackingId=Im9Yq%2FoLxgFeR2pzTZNRCg%3D%3D,Data Scientist
Cientista de Dados/Bioinformática,dti digital,Brazil,https://www.linkedin.com/jobs/view/cientista-de-dados-bioinform%C3%A1tica-at-dti-digital-4328954257?position=2&pageNum=0&refId=LRgLzSgYgFBX4oAuSGA8Lg%3D%3D&trackingId=33qeBbUZNJ6091t7yVfo2g%3D%3D,Data Scientist
Cientista de Dados Sênior (foco em IA Generativa),Itaú Unibanco,"São Paulo, São Paulo, Brazil",https://www.linkedin.com/jobs/view/cientista-de-dados-s%C3%AAnior-foco-em-ia-generativa-at-ita%C3%BA-unibanco-4348500631?position=3&pageNum=0&refId=LRgLzSgYgFBX4oAuSGA8Lg%3D%3D&trackingId=WyqHR6N9hwpSQuO%2B7rSJ%2Bg%3D%3D,Data Scientist
Cientista de Dados Jr l Remoto,DHARMA-AI,Brazil,https://www.linkedin.com/jobs/view/cientista-de-dados-jr-l-remoto-at-dharma-ai-4295430709?position=4&pageNum=0&refId=LRgLzSgYgFBX4oAuSGA8Lg%3D%3D&trackingId=cbzWZRiLNpEi3O%2FOYToMSQ%3D%3D,Data Scientist
Jr Data Scientist,NielsenIQ,"Cotia, São Paulo, Brazil",https://www.linkedin.com/jobs/view/jr-data-scientist-at-nielseniq-4343929758?position=5&pageNum=0&refId=LRgLzSgYgFBX4oAuSGA8Lg%3D%3D&trackingId=VhwO1geSZgkEFZyimtd9fg%3D%3D,Data Scientist
Junior Data Scientist,NielsenIQ,"Cotia, São Paulo, Brazil",https://www.linkedin.com/jobs/view/junior-data-scientist-at-nielseniq-4339066405?position=6&pageNum=0&refId=LRgLzSgYgFBX4oAuSGA8Lg%3D%3D&trackingId=P7MKqPzfW%2BTg87WOtd6wpg%3D%3D,Data Scientist
Cientista de dados - Sênior,SoftDesign,Brazil,https://www.linkedin.com/jobs/view/cientista-de-dados-s%C3%AAnior-at-softdesign-4328877940?position=7&pageNum=0&refId=LRgLzSgYgFBX4oAuSGA8Lg%3D%3D&trackingId=DdcBN7gtGbLCgIBERy8w0w%3D%3D,Data Scientist
Cientista de Dados - Remoto,Getronics,Brazil,https://www.linkedin.com/jobs/view/cientista-de-dados-remoto-at-getronics-4348795970?position=8&pageNum=0&refId=LRgLzSgYgFBX4oAuSGA8Lg%3D%3D&trackingId=W9n1FYY8o%2FYeFafvOqbKxA%3D%3D,Data Scientist
Cientista de dados Especialista - Banco de talentos,Serasa Experian,"São Paulo, São Paulo, Brazil",https://www.linkedin.com/jobs/view/cientista-de-dados-especialista-banco-de-talentos-at-serasa-experian-3957740011?position=9&pageNum=0&refId=LRgLzSgYgFBX4oAuSGA8Lg%3D%3D&trackingId=Bkyf899V6YuevCA1ifvF7w%3D%3D,Data Scientist
Cientista de Dados Sr. - (Atuação na Mobiauto),Banco PAN,"São Paulo, São Paulo, Brazil",https://www.linkedin.com/jobs/view/cientista-de-dados-sr-atua%C3%A7%C3%A3o-na-mobiauto-at-banco-pan-4292801863?position=10&pageNum=0&refId=LRgLzSgYgFBX4oAuSGA8Lg%3D%3D&trackingId=J71Q59Y9sPDkb34Bq%2BKXYg%3D%3D,Data Scientist
Cientista de Dados I (Júnior),Unimed Porto Alegre,Greater Porto Alegre,https://www.linkedin.com/jobs/view/cientista-de-dados-i-j%C3%BAnior-at-unimed-porto-alegre-4344500752?position=1&pageNum=1&refId=AXZin7JzSbwLkSUq%2FRSMJA%3D%3D&trackingId=FVSGIWK16ToVu9IWCq6COQ%3D%3D,Data Scientist
Data Scientist III,Banco Bradesco,"Osasco, São Paulo, Brazil",https://www.linkedin.com/jobs/view/data-scientist-iii-at-banco-bradesco-4328750668?position=2&pageNum=1&refId=AXZin7JzSbwLkSUq%2FRSMJA%3D%3D&trackingId=1dQoNTtMrp6D6Yg7vE9QSQ%3D%3D,Data Scientist
Cientista de Dados (Machine Learning),Digiage,"Campinas, São Paulo, Brazil",https://www.linkedin.com/jobs/view/cientista-de-dados-machine-learning-at-digiage-4328718880?position=3&pageNum=1&refId=AXZin7JzSbwLkSUq%2FRSMJA%3D%3D&trackingId=AZPLx2H6Blyw0y3%2FlDrmPA%3D%3D,Data Scientist
Data Scientist,DYWIDAG,"São Paulo, Brazil",https://www.linkedin.com/jobs/view/data-scientist-at-dywidag-4342101291?position=4&pageNum=1&refId=AXZin7JzSbwLkSUq%2FRSMJA%3D%3D&trackingId=RtBwUv%2BUrciRbrf8sB%2FHbg%3D%3D,Data Scientist
