title,company,location,link,search_keyword
Técnico de Suporte em TI,Centro Universitário FMU | FIAM-FAAM,"São Paulo, São Paulo, Brazil",https://www.linkedin.com/jobs/view/t%C3%A9cnico-de-suporte-em-ti-at-centro-universit%C3%A1rio-fmu-fiam-faam-4348204963?position=1&pageNum=0&refId=b4ZL%2FEVfWskAZBcMsFbbyw%3D%3D&trackingId=4Fb3Tjoi3dugMF6quCV8sg%3D%3D,IT Support Specialist
Information Technology Support Specialist,TECEZE,"Guarulhos, São Paulo, Brazil",https://www.linkedin.com/jobs/view/information-technology-support-specialist-at-teceze-4324816696?position=2&pageNum=0&refId=b4ZL%2FEVfWskAZBcMsFbbyw%3D%3D&trackingId=%2FfJtvfk6ceLioJzc29%2FKxA%3D%3D,IT Support Specialist
Auxiliar Tecnologia Informação,Urbitec Construções,"Jundiaí, São Paulo, Brazil",https://www.linkedin.com/jobs/view/auxiliar-tecnologia-informa%C3%A7%C3%A3o-at-urbitec-constru%C3%A7%C3%B5es-4344369847?position=3&pageNum=0&refId=b4ZL%2FEVfWskAZBcMsFbbyw%3D%3D&trackingId=YJBhM8sjTtPZ1p53%2Bz26Gw%3D%3D,IT Support Specialist
Técnico de Suporte / Suporte Técnico de TI,Clinfec - Clínica de Infectologia e Centro de Infusão,"Brasília, Federal District, Brazil",https://www.linkedin.com/jobs/view/t%C3%A9cnico-de-suporte-suporte-t%C3%A9cnico-de-ti-at-clinfec-cl%C3%ADnica-de-infectologia-e-centro-de-infus%C3%A3o-4343319026?position=4&pageNum=0&refId=b4ZL%2FEVfWskAZBcMsFbbyw%3D%3D&trackingId=ZM1YwD%2FD29IDPYY6%2FwiFFw%3D%3D,IT Support Specialist
Information Technology Support Specialist,TECEZE,"Mogi das Cruzes, São Paulo, Brazil",https://www.linkedin.com/jobs/view/information-technology-support-specialist-at-teceze-4327844626?position=5&pageNum=0&refId=b4ZL%2FEVfWskAZBcMsFbbyw%3D%3D&trackingId=kl1duOZ4t4fPvDRiWeR9sg%3D%3D,IT Support Specialist
Técnico/Analista de Suporte de TI,CRD Medicina Diagnóstica,"Goiânia, Goiás, Brazil",https://www.linkedin.com/jobs/view/t%C3%A9cnico-analista-de-suporte-de-ti-at-crd-medicina-diagn%C3%B3stica-4346205087?position=6&pageNum=0&refId=b4ZL%2FEVfWskAZBcMsFbbyw%3D%3D&trackingId=Ox3wQwdPKiiUBOnftoBpwA%3D%3D,IT Support Specialist
IT Support Specialist - Especialista em Suporte de TI,Joinrs,Brazil,https://www.linkedin.com/jobs/view/it-support-specialist-especialista-em-suporte-de-ti-at-joinrs-4345598393?position=7&pageNum=0&refId=b4ZL%2FEVfWskAZBcMsFbbyw%3D%3D&trackingId=4iBwHwb7FmtXP8lY8d56Ew%3D%3D,IT Support Specialist
TECNICO DE SUPORTE DE TI,Alvoar Lácteos,"Nossa Senhora da Glória, Sergipe, Brazil",https://www.linkedin.com/jobs/view/tecnico-de-suporte-de-ti-at-alvoar-l%C3%A1cteos-4344596783?position=8&pageNum=0&refId=b4ZL%2FEVfWskAZBcMsFbbyw%3D%3D&trackingId=tb%2FU9DmeS%2BGpXIDdrs0sZQ%3D%3D,IT Support Specialist
Técnico em Tecnologia da Informação,SACYR,"Rio Grande do Sul, Brazil",https://www.linkedin.com/jobs/view/t%C3%A9cnico-em-tecnologia-da-informa%C3%A7%C3%A3o-at-sacyr-4267318088?position=9&pageNum=0&refId=b4ZL%2FEVfWskAZBcMsFbbyw%3D%3D&trackingId=rqlVtA3GhtegKkW6Gx1oWg%3D%3D,IT Support Specialist
IT Support,Pantheon Inc,"Curitiba, Paraná, Brazil",https://www.linkedin.com/jobs/view/it-support-at-pantheon-inc-4178720657?position=10&pageNum=0&refId=b4ZL%2FEVfWskAZBcMsFbbyw%3D%3D&trackingId=C%2FSyvTmzAg%2FEJd%2F%2FN%2B3GZQ%3D%3D,IT Support Specialist
SU - IT Support Specialist,Somewhere,Brazil,https://www.linkedin.com/jobs/view/su-it-support-specialist-at-somewhere-4328962721?position=1&pageNum=1&refId=MmlIOl4%2ByaLcwWF7J2HE4w%3D%3D&trackingId=Z8MpuOpu%2FW3v61UiHK9vhA%3D%3D,IT Support Specialist
Information Technology Support Specialist,TECEZE,"Canoas, Rio Grande do Sul, Brazil",https://www.linkedin.com/jobs/view/information-technology-support-specialist-at-teceze-4327863061?position=2&pageNum=1&refId=MmlIOl4%2ByaLcwWF7J2HE4w%3D%3D&trackingId=nqOKVPGJKqhgR5p1P455lQ%3D%3D,IT Support Specialist
Office IT Support Specialist,Lalamove,"São Paulo, São Paulo, Brazil",https://www.linkedin.com/jobs/view/office-it-support-specialist-at-lalamove-4345492837?position=3&pageNum=1&refId=MmlIOl4%2ByaLcwWF7J2HE4w%3D%3D&trackingId=D996OWZKxE4G1sP1QpCMFQ%3D%3D,IT Support Specialist
IT Support Jr.,ENG,Brazil,https://www.linkedin.com/jobs/view/it-support-jr-at-eng-4343120296?position=4&pageNum=1&refId=MmlIOl4%2ByaLcwWF7J2HE4w%3D%3D&trackingId=9pUJ0zneUAiGOETgomaO8Q%3D%3D,IT Support Specialist
