title,company,location,link,search_keyword
Security Analyst,J&M Group,"Mississauga, Ontario, Canada",https://www.linkedin.com/jobs/view/security-analyst-at-j-m-group-4249482328?position=1&pageNum=0&refId=BBByTLSKhfix5s2YuFaHUg%3D%3D&trackingId=6PrwmM8p8FLxT2gZkTkudg%3D%3D,Security Analyst
"Cybersecurity Investigator, Enterprise Cybersecurity & Data Investigations",Scotiabank,"Toronto, Ontario, Canada",https://www.linkedin.com/jobs/view/cybersecurity-investigator-enterprise-cybersecurity-data-investigations-at-scotiabank-4346146038?position=2&pageNum=0&refId=BBByTLSKhfix5s2YuFaHUg%3D%3D&trackingId=a0o28PWKFAMsg3guXI039Q%3D%3D,Security Analyst
IT Cyber Security Analyst,City of Niagara Falls,"Niagara Falls, Ontario, Canada",https://www.linkedin.com/jobs/view/it-cyber-security-analyst-at-city-of-niagara-falls-4326776082?position=3&pageNum=0&refId=BBByTLSKhfix5s2YuFaHUg%3D%3D&trackingId=0g%2BHhcEQ7GMhiR7KOwkl%2Bw%3D%3D,Security Analyst
Information Security Analyst,J&M Group,"Toronto, Ontario, Canada",https://www.linkedin.com/jobs/view/information-security-analyst-at-j-m-group-4279441212?position=4&pageNum=0&refId=BBByTLSKhfix5s2YuFaHUg%3D%3D&trackingId=%2BSD0%2Fz74hix8d44Pkobg8w%3D%3D,Security Analyst
IT Security Analyst - Canada Based,"Canadian Bank Note Company, Limited","Ottawa, Ontario, Canada",https://www.linkedin.com/jobs/view/it-security-analyst-canada-based-at-canadian-bank-note-company-limited-4349504524?position=5&pageNum=0&refId=BBByTLSKhfix5s2YuFaHUg%3D%3D&trackingId=eFgyqzgYP4%2FY5VQ3F2l2Rw%3D%3D,Security Analyst
Senior Security Analyst,OpTalent | Recruitment,"Mississauga, Ontario, Canada",https://www.linkedin.com/jobs/view/senior-security-analyst-at-optalent-recruitment-4346160392?position=6&pageNum=0&refId=BBByTLSKhfix5s2YuFaHUg%3D%3D&trackingId=foBAiJ0GvUP5cmd8vsrCsw%3D%3D,Security Analyst
Junior Security Analyst- AI,emergiTEL,"Toronto, Ontario, Canada",https://www.linkedin.com/jobs/view/junior-security-analyst-ai-at-emergitel-4325060261?position=7&pageNum=0&refId=BBByTLSKhfix5s2YuFaHUg%3D%3D&trackingId=BDsat3JtEA11K53Tgk6GtA%3D%3D,Security Analyst
Security Analyst,Ubisoft,"Montreal, Quebec, Canada",https://www.linkedin.com/jobs/view/security-analyst-at-ubisoft-4344478210?position=8&pageNum=0&refId=BBByTLSKhfix5s2YuFaHUg%3D%3D&trackingId=il2RJJnT%2B6k7pnKBVpVxIA%3D%3D,Security Analyst
Information Security Analyst,FPS Food Process Solutions Corporation,"Richmond, British Columbia, Canada",https://www.linkedin.com/jobs/view/information-security-analyst-at-fps-food-process-solutions-corporation-4324992864?position=9&pageNum=0&refId=BBByTLSKhfix5s2YuFaHUg%3D%3D&trackingId=tBQvx6tU7ngdFh0w%2F54j%2Fw%3D%3D,Security Analyst
Security Analyst (H/F),Advens,"Montreal, Quebec, Canada",https://www.linkedin.com/jobs/view/security-analyst-h-f-at-advens-4230006362?position=10&pageNum=0&refId=BBByTLSKhfix5s2YuFaHUg%3D%3D&trackingId=qegATxgQsdS4a3dtPn1V1g%3D%3D,Security Analyst
