title,company,location,link,search_keyword
Software Engineer,Mashreq,Egypt,https://www.linkedin.com/jobs/view/software-engineer-at-mashreq-4253054010?position=1&pageNum=0&refId=%2Bqk70EjCdGAs0nfZeHXr8Q%3D%3D&trackingId=zrZ2IJcpkLMwK4728g6MIQ%3D%3D,Bioinformatics Software Engineer
Junior Software Engineer,Halan - حالا,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/junior-software-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-4300290745?position=2&pageNum=0&refId=%2Bqk70EjCdGAs0nfZeHXr8Q%3D%3D&trackingId=MnPVCnVoY6fbsLPVmuy%2B5Q%3D%3D,Bioinformatics Software Engineer
Software Engineer 1 (Backend),noon,"Cairo, Egypt",https://www.linkedin.com/jobs/view/software-engineer-1-backend-at-noon-4344530561?position=3&pageNum=0&refId=%2Bqk70EjCdGAs0nfZeHXr8Q%3D%3D&trackingId=%2FkDGLxF8Ubqm76p0ceuJMg%3D%3D,Bioinformatics Software Engineer
Junior Software Engineer - Egypt (Remote),MixRank,Egypt,https://www.linkedin.com/jobs/view/junior-software-engineer-egypt-remote-at-mixrank-4324677693?position=4&pageNum=0&refId=%2Bqk70EjCdGAs0nfZeHXr8Q%3D%3D&trackingId=LUPx1OonnDI6YRwBJtnOpg%3D%3D,Bioinformatics Software Engineer
"Deloitte Innovation Hub I AI / ML Engineering Tech Lead, Cairo, Egypt",Deloitte,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/deloitte-innovation-hub-i-ai-ml-engineering-tech-lead-cairo-egypt-at-deloitte-4132278801?position=5&pageNum=0&refId=%2Bqk70EjCdGAs0nfZeHXr8Q%3D%3D&trackingId=AkTKmVsghhapPoyqdf%2FP%2BA%3D%3D,Bioinformatics Software Engineer
Junior Test Engineer,Banque Misr,"Cairo, Egypt",https://www.linkedin.com/jobs/view/junior-test-engineer-at-banque-misr-4348230432?position=6&pageNum=0&refId=%2Bqk70EjCdGAs0nfZeHXr8Q%3D%3D&trackingId=xDRjOu10S7%2FkNKzfW2OOXw%3D%3D,Bioinformatics Software Engineer
Senior Software Engineer,Finaira,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-software-engineer-at-finaira-4345897965?position=7&pageNum=0&refId=%2Bqk70EjCdGAs0nfZeHXr8Q%3D%3D&trackingId=%2B5e2dyN%2FM4ji4ZVx4Rpm9g%3D%3D,Bioinformatics Software Engineer
"Deloitte Innovation Hub I Senior AI/ ML Engineer, Cairo, Egypt",Deloitte,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/deloitte-innovation-hub-i-senior-ai-ml-engineer-cairo-egypt-at-deloitte-4131912218?position=8&pageNum=0&refId=%2Bqk70EjCdGAs0nfZeHXr8Q%3D%3D&trackingId=4iz0dL5dux%2FpxwOihMvMcQ%3D%3D,Bioinformatics Software Engineer
Software Engineer - Python - Ubuntu Pro client - graduate level,Canonical,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/software-engineer-python-ubuntu-pro-client-graduate-level-at-canonical-4233275268?position=9&pageNum=0&refId=%2Bqk70EjCdGAs0nfZeHXr8Q%3D%3D&trackingId=y9SuA9h6Ha6lq8sfRMIYBg%3D%3D,Bioinformatics Software Engineer
Junior AEC Software Developer,ECG Engineering Consultants Group S.A.,"Nasr City, Cairo, Egypt",https://www.linkedin.com/jobs/view/junior-aec-software-developer-at-ecg-engineering-consultants-group-s-a-4304497955?position=10&pageNum=0&refId=%2Bqk70EjCdGAs0nfZeHXr8Q%3D%3D&trackingId=JqaBFyXy1CqtyO%2BlVloV1A%3D%3D,Bioinformatics Software Engineer
