title,company,location,link,search_keyword
DevOps Engineer,Siemens,"Qesm 2nd New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-siemens-4344950637?position=1&pageNum=0&refId=4L%2BKUJHBQyXYCfSUNGrYEw%3D%3D&trackingId=qW6PIYywXemIcQezwWmNNQ%3D%3D,Cloud Engineer
DevOps Engineer,Siemens,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-siemens-4344910846?position=2&pageNum=0&refId=4L%2BKUJHBQyXYCfSUNGrYEw%3D%3D&trackingId=zbbVQzvAOCIOIqznkL2%2B8g%3D%3D,Cloud Engineer
DevOps Engineer 1,noon,"New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-1-at-noon-4341241255?position=3&pageNum=0&refId=4L%2BKUJHBQyXYCfSUNGrYEw%3D%3D&trackingId=UJvDm%2BMLfT8Zz%2B2abuqv6g%3D%3D,Cloud Engineer
DevOps Engineer,Halan - حالا,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-4317174808?position=4&pageNum=0&refId=4L%2BKUJHBQyXYCfSUNGrYEw%3D%3D&trackingId=A0e4vn1xfxFg5v9adeoTpA%3D%3D,Cloud Engineer
Devops Engineer II,Finaira,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-ii-at-finaira-4345440468?position=5&pageNum=0&refId=4L%2BKUJHBQyXYCfSUNGrYEw%3D%3D&trackingId=DJF8IlaBYlvwFZuVfuv81g%3D%3D,Cloud Engineer
DevOps Senior Engineer,Al Ahly Momkn,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-senior-engineer-at-al-ahly-momkn-4326601542?position=6&pageNum=0&refId=4L%2BKUJHBQyXYCfSUNGrYEw%3D%3D&trackingId=NUeL6lpRYzf83AX1zqApdw%3D%3D,Cloud Engineer
DevOps Engineer,Nawy,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-nawy-4283405159?position=7&pageNum=0&refId=4L%2BKUJHBQyXYCfSUNGrYEw%3D%3D&trackingId=zsSMkNM%2F8odhZcSulRvnxg%3D%3D,Cloud Engineer
Azure DevOps Engineer (Adminstration),Coca-Cola HBC,"New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/azure-devops-engineer-adminstration-at-coca-cola-hbc-4317894578?position=8&pageNum=0&refId=4L%2BKUJHBQyXYCfSUNGrYEw%3D%3D&trackingId=aWhqp1T5vsUamPSYAXA46A%3D%3D,Cloud Engineer
DevOps Engineer,Digital Zone,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-digital-zone-4350120310?position=9&pageNum=0&refId=4L%2BKUJHBQyXYCfSUNGrYEw%3D%3D&trackingId=o3Ff%2B9shd8PhzyLlSI%2FqFQ%3D%3D,Cloud Engineer
DevOps Engineer,b_labs,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-b-labs-4346126131?position=10&pageNum=0&refId=4L%2BKUJHBQyXYCfSUNGrYEw%3D%3D&trackingId=5c3j8MOWxZBxiqVJD03YUQ%3D%3D,Cloud Engineer
DevOps Engineer,Dsquares,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-dsquares-4317397439?position=1&pageNum=1&refId=6La8%2FB2R1ok8v3VdhRdjug%3D%3D&trackingId=8tg1TyKbNk3dhU7HAB0spQ%3D%3D,Cloud Engineer
DevOps Engineer (Hybrid),Bayantech,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-hybrid-at-bayantech-4320138796?position=2&pageNum=1&refId=6La8%2FB2R1ok8v3VdhRdjug%3D%3D&trackingId=ez9wmJRoGoSz6%2F9cZ%2FdXWw%3D%3D,Cloud Engineer
Junior Software Engineer,Halan - حالا,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/junior-software-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-4300290745?position=3&pageNum=1&refId=6La8%2FB2R1ok8v3VdhRdjug%3D%3D&trackingId=UiDHo5zDYpmcTvebedEtwg%3D%3D,Cloud Engineer
DevOps Engineer,Advansys,"Nasr City, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-advansys-4342613476?position=4&pageNum=1&refId=6La8%2FB2R1ok8v3VdhRdjug%3D%3D&trackingId=8K0W9Yajw%2F%2B75%2FyIvOBI8A%3D%3D,Cloud Engineer
DevOps Engineer,Axis,"Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-axis-4346192718?position=5&pageNum=1&refId=6La8%2FB2R1ok8v3VdhRdjug%3D%3D&trackingId=%2BzEpIsMqGluNu%2BPrbB7MKw%3D%3D,Cloud Engineer
DevOps Engineer (Mid level),Soum,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-mid-level-at-soum-4288753085?position=6&pageNum=1&refId=6La8%2FB2R1ok8v3VdhRdjug%3D%3D&trackingId=g%2FONRz76W0YEZX9OeJkDFw%3D%3D,Cloud Engineer
DevOps Engineer (AWS),Systems Limited - Egypt,"New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-aws-at-systems-limited-egypt-4342712027?position=7&pageNum=1&refId=6La8%2FB2R1ok8v3VdhRdjug%3D%3D&trackingId=a3aSQCWAEuewRLyCC%2Fba%2Fg%3D%3D,Cloud Engineer
DevOps Engineer,LXT,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-lxt-4338898293?position=8&pageNum=1&refId=6La8%2FB2R1ok8v3VdhRdjug%3D%3D&trackingId=b1Gsj2qbcUbjbl24JW4LlQ%3D%3D,Cloud Engineer
Senior Software Engineer,Finaira,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-software-engineer-at-finaira-4345897965?position=9&pageNum=1&refId=6La8%2FB2R1ok8v3VdhRdjug%3D%3D&trackingId=qyuXnUXKzsfg5sz5AAwo8g%3D%3D,Cloud Engineer
DevOps Engineer (3 Months)-(Contract),BlackStone eIT,Egypt,https://www.linkedin.com/jobs/view/devops-engineer-3-months-contract-at-blackstone-eit-4283199864?position=10&pageNum=1&refId=6La8%2FB2R1ok8v3VdhRdjug%3D%3D&trackingId=GtzjkWQ2z5oFH4i5RxxxEA%3D%3D,Cloud Engineer
DevOps Engineer (Egypt),Citylogix,Egypt,https://www.linkedin.com/jobs/view/devops-engineer-egypt-at-citylogix-4345008515?position=1&pageNum=2&refId=%2B%2Bbz%2BzZFo9%2FzD7GkRpARxg%3D%3D&trackingId=WKa97A6KolQexQLUd77IzQ%3D%3D,Cloud Engineer
DevOps Engineer,blnk,"Giza, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-blnk-4282593945?position=2&pageNum=2&refId=%2B%2Bbz%2BzZFo9%2FzD7GkRpARxg%3D%3D&trackingId=hNWIwAZu9QLm%2BEleKvntHw%3D%3D,Cloud Engineer
DevOps Engineer,BlackStone eIT,Egypt,https://www.linkedin.com/jobs/view/devops-engineer-at-blackstone-eit-4281996217?position=3&pageNum=2&refId=%2B%2Bbz%2BzZFo9%2FzD7GkRpARxg%3D%3D&trackingId=hbMJMaAskyxN6RBhASTTxg%3D%3D,Cloud Engineer
DevOps Engineer,SSC HR Solutions,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-ssc-hr-solutions-4279454901?position=4&pageNum=2&refId=%2B%2Bbz%2BzZFo9%2FzD7GkRpARxg%3D%3D&trackingId=84tmgY4p3cBxutLCB4rf%2Bg%3D%3D,Cloud Engineer
DevOps Engineer,Qara Digital Solutions,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-qara-digital-solutions-4339963523?position=5&pageNum=2&refId=%2B%2Bbz%2BzZFo9%2FzD7GkRpARxg%3D%3D&trackingId=615%2BnPJC4eC1cjM31oYjiQ%3D%3D,Cloud Engineer
DevOps Engineer,Goodie AI,Egypt,https://www.linkedin.com/jobs/view/devops-engineer-at-goodie-ai-4343115465?position=6&pageNum=2&refId=%2B%2Bbz%2BzZFo9%2FzD7GkRpARxg%3D%3D&trackingId=XBjba5gDA%2FCq%2BsAWdiHwbg%3D%3D,Cloud Engineer
DevOps Engineer,intella,"Qesm El Maadi, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-intella-4350204460?position=7&pageNum=2&refId=%2B%2Bbz%2BzZFo9%2FzD7GkRpARxg%3D%3D&trackingId=KOvBemYJsnNu0O6sMTdV%2FA%3D%3D,Cloud Engineer
DevOps & Cloud Engineer,Talent 360 ME,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-cloud-engineer-at-talent-360-me-4322600140?position=8&pageNum=2&refId=%2B%2Bbz%2BzZFo9%2FzD7GkRpARxg%3D%3D&trackingId=ip%2B21Cltzumgrj1kDciDwQ%3D%3D,Cloud Engineer
Senior Cloud Infrastructure Engineer,Foodics,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-cloud-infrastructure-engineer-at-foodics-4281972905?position=9&pageNum=2&refId=%2B%2Bbz%2BzZFo9%2FzD7GkRpARxg%3D%3D&trackingId=%2BGjeml6RXIxiyqe9L%2F1JCA%3D%3D,Cloud Engineer
Systems Engineer - Egypt,Azeus Systems Limited,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/systems-engineer-egypt-at-azeus-systems-limited-4343780807?position=10&pageNum=2&refId=%2B%2Bbz%2BzZFo9%2FzD7GkRpARxg%3D%3D&trackingId=jLxF3LTAUt%2BwuAa%2BrS%2FGSA%3D%3D,Cloud Engineer
DevOps Engineer (Mid-Level),BlackStone eIT,Egypt,https://www.linkedin.com/jobs/view/devops-engineer-mid-level-at-blackstone-eit-4283764513?position=1&pageNum=3&refId=Bb8hUCYBhbx3PEIN6NZLoA%3D%3D&trackingId=bwS8Tt%2FGGb%2FJFhuMYJGxcQ%3D%3D,Cloud Engineer
Cloud Solution Architect,Sarmad,"Giza, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/cloud-solution-architect-at-sarmad-4281250457?position=2&pageNum=3&refId=Bb8hUCYBhbx3PEIN6NZLoA%3D%3D&trackingId=ZW1opLM6r%2B7KXmi1LMjK2g%3D%3D,Cloud Engineer
Software Quality Assurance Engineer,International Turnkey Systems - ITS,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/software-quality-assurance-engineer-at-international-turnkey-systems-its-4345993413?position=3&pageNum=3&refId=Bb8hUCYBhbx3PEIN6NZLoA%3D%3D&trackingId=1f1sNN4y3FPE%2FzYrVnLkPw%3D%3D,Cloud Engineer
DevOps  Engineer,Talent 360 ME,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-talent-360-me-4322883840?position=4&pageNum=3&refId=Bb8hUCYBhbx3PEIN6NZLoA%3D%3D&trackingId=k15sPnUjzyWJ3Lj9nYzPoA%3D%3D,Cloud Engineer
Senior Cloud DevOps Engineer,Coca-Cola HBC,"Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-cloud-devops-engineer-at-coca-cola-hbc-4335502202?position=5&pageNum=3&refId=Bb8hUCYBhbx3PEIN6NZLoA%3D%3D&trackingId=V9qLVv75TLWVipy3qgl8zw%3D%3D,Cloud Engineer
Software Engineer 1 (Frontend),noon,"New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/software-engineer-1-frontend-at-noon-4343234747?position=6&pageNum=3&refId=Bb8hUCYBhbx3PEIN6NZLoA%3D%3D&trackingId=PFfDjv8y1vEJU5DCfBUQwQ%3D%3D,Cloud Engineer
Senior DevOps/Infrastructure Engineer,Thndr,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-devops-infrastructure-engineer-at-thndr-4337042383?position=7&pageNum=3&refId=Bb8hUCYBhbx3PEIN6NZLoA%3D%3D&trackingId=qQeU8B1X8xoqXci2HsM%2FTA%3D%3D,Cloud Engineer
DevOps Engineer,Sumerge,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-sumerge-4324177830?position=8&pageNum=3&refId=Bb8hUCYBhbx3PEIN6NZLoA%3D%3D&trackingId=NeMyXQKgrUs9UJECeMdTxA%3D%3D,Cloud Engineer
