title,company,location,link,search_keyword
Senior Network Security Engineer,Talaat Moustafa Group,"Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-network-security-engineer-at-talaat-moustafa-group-4342151014?position=1&pageNum=0&refId=%2FHWcc0Le%2BcIwXHjyD%2B1p5g%3D%3D&trackingId=rJKS%2FyqiGVHBJ%2Bz3i%2BwSYQ%3D%3D,Security Analyst
Manager - Threat Hunting.MGN Egy - Information Security Governance.Risk Management-MEGPCOE,Mashreq,Egypt,https://www.linkedin.com/jobs/view/manager-threat-hunting-mgn-egy-information-security-governance-risk-management-megpcoe-at-mashreq-4253051276?position=2&pageNum=0&refId=%2FHWcc0Le%2BcIwXHjyD%2B1p5g%3D%3D&trackingId=WyV%2BpVnYbshj57n7q5kl3A%3D%3D,Security Analyst
"Deloitte Innovation Hub I Cyber Security I Compliance and Assessment Senior Engineer, Cairo, Egypt",Deloitte,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/deloitte-innovation-hub-i-cyber-security-i-compliance-and-assessment-senior-engineer-cairo-egypt-at-deloitte-4135138715?position=3&pageNum=0&refId=%2FHWcc0Le%2BcIwXHjyD%2B1p5g%3D%3D&trackingId=tJEsIZ80urM89ncUm5Yclg%3D%3D,Security Analyst
Senior Network Security Engineer,Klivvr,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-network-security-engineer-at-klivvr-4343027025?position=4&pageNum=0&refId=%2FHWcc0Le%2BcIwXHjyD%2B1p5g%3D%3D&trackingId=iKyLDdu60OkShCyqvcd4Dw%3D%3D,Security Analyst
Cyber Intelligence Analyst,Group-IB,"Cairo, Egypt",https://www.linkedin.com/jobs/view/cyber-intelligence-analyst-at-group-ib-4347793851?position=5&pageNum=0&refId=%2FHWcc0Le%2BcIwXHjyD%2B1p5g%3D%3D&trackingId=U1B1Bh7Xz6mZSGnHQ60d0Q%3D%3D,Security Analyst
Senior Network Security Engineer,Interact Technology Solutions,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-network-security-engineer-at-interact-technology-solutions-4326267009?position=6&pageNum=0&refId=%2FHWcc0Le%2BcIwXHjyD%2B1p5g%3D%3D&trackingId=0QHu8Zry1ao%2FVinabkH%2BCQ%3D%3D,Security Analyst
Business Intelligence Analyst,TP,"Qesm El Maadi, Cairo, Egypt",https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-tp-4345879230?position=7&pageNum=0&refId=%2FHWcc0Le%2BcIwXHjyD%2B1p5g%3D%3D&trackingId=BBH3SlIKAKui7O9BfMWnSw%3D%3D,Security Analyst
Senior Manager - IS - Risk Management.MGN EGY - ISG - Information Security Program.Risk Management-MEGPCOE,Mashreq,Egypt,https://www.linkedin.com/jobs/view/senior-manager-is-risk-management-mgn-egy-isg-information-security-program-risk-management-megpcoe-at-mashreq-4253049466?position=8&pageNum=0&refId=%2FHWcc0Le%2BcIwXHjyD%2B1p5g%3D%3D&trackingId=8WPSdeeH57QNqnNIu0sQmA%3D%3D,Security Analyst
"Senior Manager, IS Governance.MGN Egy - Information Security Governance.Risk Management-MEGPCOE",Mashreq,Egypt,https://www.linkedin.com/jobs/view/senior-manager-is-governance-mgn-egy-information-security-governance-risk-management-megpcoe-at-mashreq-4312065265?position=9&pageNum=0&refId=%2FHWcc0Le%2BcIwXHjyD%2B1p5g%3D%3D&trackingId=Lo%2Fn3ZI8FrK%2Bvu2rOddHVQ%3D%3D,Security Analyst
Senior Cloud Security Engineer,Brightly Software,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-cloud-security-engineer-at-brightly-software-4324819393?position=10&pageNum=0&refId=%2FHWcc0Le%2BcIwXHjyD%2B1p5g%3D%3D&trackingId=PwZ2aWqLDnIoxHFZZEVDvg%3D%3D,Security Analyst
Senior Security Solutions Engineer - Firewall and SASE,Orange Business,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-security-solutions-engineer-firewall-and-sase-at-orange-business-4315212111?position=1&pageNum=1&refId=uVDZg3NwtELufwq2192tHA%3D%3D&trackingId=XDwL%2FALIo61gKSdli2UIaw%3D%3D,Security Analyst
Senior Security Solutions Engineer - Firewall and SASE,Orange Business,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-security-solutions-engineer-firewall-and-sase-at-orange-business-4325494308?position=2&pageNum=1&refId=uVDZg3NwtELufwq2192tHA%3D%3D&trackingId=9N%2B4bqeuDGd3Y1M8e7Em6w%3D%3D,Security Analyst
"Business Intelligence Analyst, BI",Valeo,"Cairo, Egypt",https://www.linkedin.com/jobs/view/business-intelligence-analyst-bi-at-valeo-4342852046?position=3&pageNum=1&refId=uVDZg3NwtELufwq2192tHA%3D%3D&trackingId=jPapYvorDV4oP54YnOUroQ%3D%3D,Security Analyst
"Business Intelligence Analyst, BI",Valeo,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/business-intelligence-analyst-bi-at-valeo-4342791700?position=4&pageNum=1&refId=uVDZg3NwtELufwq2192tHA%3D%3D&trackingId=bTVfl7iD24oG1xn05aDI6Q%3D%3D,Security Analyst
Market Intelligence Analyst,Henkel,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/market-intelligence-analyst-at-henkel-4248032210?position=5&pageNum=1&refId=uVDZg3NwtELufwq2192tHA%3D%3D&trackingId=Cit46iWDl7TevrGa9L%2FSAg%3D%3D,Security Analyst
Analyst Consumer Market Intelligence,Henkel,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/analyst-consumer-market-intelligence-at-henkel-4307827443?position=6&pageNum=1&refId=uVDZg3NwtELufwq2192tHA%3D%3D&trackingId=qgEHR5TEDGG9%2BDQ%2BIOcRNw%3D%3D,Security Analyst
Senior Security Solutions Engineer - OT & Threat Detection Security,Orange Business,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-security-solutions-engineer-ot-threat-detection-security-at-orange-business-4315098389?position=7&pageNum=1&refId=uVDZg3NwtELufwq2192tHA%3D%3D&trackingId=ZfM9iHCa9aBQmedkAaUtqQ%3D%3D,Security Analyst
"Senior Business Intelligence Analyst, BI",Valeo,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-business-intelligence-analyst-bi-at-valeo-4342903797?position=8&pageNum=1&refId=uVDZg3NwtELufwq2192tHA%3D%3D&trackingId=95fhyMODz1djW9a%2FwbxLcQ%3D%3D,Security Analyst
Senior Business Analyst,Xenon Seven,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-business-analyst-at-xenon-seven-4314498002?position=9&pageNum=1&refId=uVDZg3NwtELufwq2192tHA%3D%3D&trackingId=6URthdeSB2aZq6Gd9SPYLA%3D%3D,Security Analyst
"Senior Business Intelligence Analyst, BI",Valeo,"Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-business-intelligence-analyst-bi-at-valeo-4342852045?position=10&pageNum=1&refId=uVDZg3NwtELufwq2192tHA%3D%3D&trackingId=YnBEZVsxgM7cyTtMCUFyEQ%3D%3D,Security Analyst
Senior/Junior Data Visualization Engineer,SDG Group Middle East,"Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-junior-data-visualization-engineer-at-sdg-group-middle-east-4347614974?position=1&pageNum=2&refId=FYh74oEUhoN4HzOIVGi7Yw%3D%3D&trackingId=H4LyVOSIEUGQnc4E9hZm2g%3D%3D,Security Analyst
SOC Analyst L1,Inovasys,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/soc-analyst-l1-at-inovasys-4256673606?position=2&pageNum=2&refId=FYh74oEUhoN4HzOIVGi7Yw%3D%3D&trackingId=nES0b2z6eDxCmtivIQefxw%3D%3D,Security Analyst
Senior Penetration Tester,e-finance,"6th of October, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/senior-penetration-tester-at-e-finance-4345955008?position=3&pageNum=2&refId=FYh74oEUhoN4HzOIVGi7Yw%3D%3D&trackingId=PpgQ12w6ZOVDjUMGajrpxQ%3D%3D,Security Analyst
Information Security Engineer I,noon,"New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/information-security-engineer-i-at-noon-4342251474?position=4&pageNum=2&refId=FYh74oEUhoN4HzOIVGi7Yw%3D%3D&trackingId=5fuNWktLSDs16%2FBRpTZl9g%3D%3D,Security Analyst
Cyber Security Analyst,Group-IB,"Cairo, Egypt",https://www.linkedin.com/jobs/view/cyber-security-analyst-at-group-ib-4349138087?position=5&pageNum=2&refId=FYh74oEUhoN4HzOIVGi7Yw%3D%3D&trackingId=XxgPeSB3i6drihyZeyW3PQ%3D%3D,Security Analyst
Cyber Security Engineer (SOC Analyst),Axis,"Cairo, Egypt",https://www.linkedin.com/jobs/view/cyber-security-engineer-soc-analyst-at-axis-4346290612?position=6&pageNum=2&refId=FYh74oEUhoN4HzOIVGi7Yw%3D%3D&trackingId=75mAm7BfYeoeKvd6uFOfKA%3D%3D,Security Analyst
L1 Network Security Engineer,Orange Business,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/l1-network-security-engineer-at-orange-business-4329196565?position=7&pageNum=2&refId=FYh74oEUhoN4HzOIVGi7Yw%3D%3D&trackingId=1PQWsQLuH797Bykxm%2FfTYA%3D%3D,Security Analyst
Cyber Security Engineer (Penetration),Axis,"Cairo, Egypt",https://www.linkedin.com/jobs/view/cyber-security-engineer-penetration-at-axis-4346154345?position=8&pageNum=2&refId=FYh74oEUhoN4HzOIVGi7Yw%3D%3D&trackingId=0fjgwxw4ovxy8%2F8SruyFmQ%3D%3D,Security Analyst
Network Security Engineer,Axis,"Cairo, Egypt",https://www.linkedin.com/jobs/view/network-security-engineer-at-axis-4346300402?position=9&pageNum=2&refId=FYh74oEUhoN4HzOIVGi7Yw%3D%3D&trackingId=R18TYI%2F%2BJ8ydxeSmm%2BzaeA%3D%3D,Security Analyst
Network & Security Engineer,Nile University - NU,"Giza, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/network-security-engineer-at-nile-university-nu-4343717501?position=10&pageNum=2&refId=FYh74oEUhoN4HzOIVGi7Yw%3D%3D&trackingId=WOCMQWJxjiU7yFtcfbWuTA%3D%3D,Security Analyst
Network & Security Engineer,Nile University,"Giza, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/network-security-engineer-at-nile-university-4350193293?position=1&pageNum=3&refId=gj15UjJms4IJQkFujfCKaw%3D%3D&trackingId=w02nwpOxwrGlcP3GyWA8%2Fg%3D%3D,Security Analyst
Information Security Analyst,IntouchCX,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/information-security-analyst-at-intouchcx-4108936494?position=2&pageNum=3&refId=gj15UjJms4IJQkFujfCKaw%3D%3D&trackingId=L9zxFB7jpdkPKI9jSOVFGw%3D%3D,Security Analyst
Senior Network Security Engineer,Halan - حالا,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-network-security-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-4319227647?position=3&pageNum=3&refId=gj15UjJms4IJQkFujfCKaw%3D%3D&trackingId=39U%2BiKOhTfO%2FBxoY2nOjxw%3D%3D,Security Analyst
L1 Network Security Engineer,Orange Business,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/l1-network-security-engineer-at-orange-business-4325811295?position=4&pageNum=3&refId=gj15UjJms4IJQkFujfCKaw%3D%3D&trackingId=mYNTzWx4tZh8YfzU0fdUOQ%3D%3D,Security Analyst
Information Security SME - Octopus by RTG,Robusta Studio,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/information-security-sme-octopus-by-rtg-at-robusta-studio-4345699479?position=5&pageNum=3&refId=gj15UjJms4IJQkFujfCKaw%3D%3D&trackingId=RYbh5mmNb1WvH%2FQuY%2BIG%2Bg%3D%3D,Security Analyst
Information Security Engineer,NowPay,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/information-security-engineer-at-nowpay-4301378418?position=6&pageNum=3&refId=gj15UjJms4IJQkFujfCKaw%3D%3D&trackingId=zHKvYlrwkiyYNtANlpdOQQ%3D%3D,Security Analyst
L1 Network Security Engineer,Orange Business,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/l1-network-security-engineer-at-orange-business-4325821289?position=7&pageNum=3&refId=gj15UjJms4IJQkFujfCKaw%3D%3D&trackingId=AyleAmxaDkhofwF%2BjamxNA%3D%3D,Security Analyst
