title,company,location,link,search_keyword
Applied Scientist,Microsoft,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/applied-scientist-at-microsoft-4343854808?position=1&pageNum=0&refId=J4SHUibHzSN%2B9kwKMT4GMw%3D%3D&trackingId=FV4TjP9i2AMAlduwzosK4A%3D%3D,Data Scientist
Data Science Specialist,Banque Misr,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-science-specialist-at-banque-misr-4281680681?position=2&pageNum=0&refId=J4SHUibHzSN%2B9kwKMT4GMw%3D%3D&trackingId=7XQXN2MBria5YCaz5lgjuA%3D%3D,Data Scientist
"Senior Machine Learning Engineer, Moderation Automation (Remote)",Gramian Consulting,Egypt,https://www.linkedin.com/jobs/view/senior-machine-learning-engineer-moderation-automation-remote-at-gramian-consulting-4346093120?position=3&pageNum=0&refId=J4SHUibHzSN%2B9kwKMT4GMw%3D%3D&trackingId=H0J8cPDuIeBEv0j3lrtjeA%3D%3D,Data Scientist
Data Scientist,Banque Misr,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-scientist-at-banque-misr-4281944321?position=4&pageNum=0&refId=J4SHUibHzSN%2B9kwKMT4GMw%3D%3D&trackingId=xKQCboBKXjfbaG7cGoM7tA%3D%3D,Data Scientist
AI Developer,Coca-Cola HBC,"New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/ai-developer-at-coca-cola-hbc-4302023020?position=5&pageNum=0&refId=J4SHUibHzSN%2B9kwKMT4GMw%3D%3D&trackingId=Bw2NGHmzXXpUpAl6vacb9Q%3D%3D,Data Scientist
Data Scientist,Nawy,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-scientist-at-nawy-4284088753?position=6&pageNum=0&refId=J4SHUibHzSN%2B9kwKMT4GMw%3D%3D&trackingId=OY2nRvaFjv9T2llLPDpRMw%3D%3D,Data Scientist
Data Scientist,IBM,"Giza, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/data-scientist-at-ibm-4346183511?position=7&pageNum=0&refId=J4SHUibHzSN%2B9kwKMT4GMw%3D%3D&trackingId=zryLkedL9x2LukBP6orgrQ%3D%3D,Data Scientist
"Data Scientist - QuantumBlack, AI by McKinsey","QuantumBlack, AI by McKinsey","Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-scientist-quantumblack-ai-by-mckinsey-at-quantumblack-ai-by-mckinsey-4228415314?position=8&pageNum=0&refId=J4SHUibHzSN%2B9kwKMT4GMw%3D%3D&trackingId=85TEuy21w9XyjPAZir6zcg%3D%3D,Data Scientist
Data Scientist,Henkel,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-scientist-at-henkel-4266018689?position=9&pageNum=0&refId=J4SHUibHzSN%2B9kwKMT4GMw%3D%3D&trackingId=QGZ%2BdFBU742yB4BUoqYGpA%3D%3D,Data Scientist
Junior Data Scientist,Envision Employment Solutions,"New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/junior-data-scientist-at-envision-employment-solutions-4343741222?position=10&pageNum=0&refId=J4SHUibHzSN%2B9kwKMT4GMw%3D%3D&trackingId=2vzq%2BGjYDv8EL2HUTRx6Ng%3D%3D,Data Scientist
Applied Scientist,Ampstek,"Cairo, Egypt",https://www.linkedin.com/jobs/view/applied-scientist-at-ampstek-4327623836?position=1&pageNum=1&refId=tPsYFR4uHbozZrdC6%2B05SQ%3D%3D&trackingId=poXRjUSMtk%2FM61qTN77suQ%3D%3D,Data Scientist
Machine Learning Engineer,BlackStone eIT,Egypt,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-blackstone-eit-4281484347?position=2&pageNum=1&refId=tPsYFR4uHbozZrdC6%2B05SQ%3D%3D&trackingId=0UIeNaJ36b8Lmb08TJazmQ%3D%3D,Data Scientist
AI/ML Engineer,AKWAD,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-akwad-4224451917?position=3&pageNum=1&refId=tPsYFR4uHbozZrdC6%2B05SQ%3D%3D&trackingId=xogpqpQvGBMq3qCd%2FPH3iw%3D%3D,Data Scientist
"Data Scientist ""Senior/Lead""",Banque Misr,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-scientist-senior-lead-at-banque-misr-4285385586?position=4&pageNum=1&refId=tPsYFR4uHbozZrdC6%2B05SQ%3D%3D&trackingId=3y8dqygsROggdJDg2agMNA%3D%3D,Data Scientist
Data Scientist,Siemens EDA (Siemens Digital Industries Software),"Qesm 2nd New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-scientist-at-siemens-eda-siemens-digital-industries-software-4325544294?position=5&pageNum=1&refId=tPsYFR4uHbozZrdC6%2B05SQ%3D%3D&trackingId=j4Yo5%2BMlnHVifPhSKCDR%2FA%3D%3D,Data Scientist
Senior Data Scientist,Banque Misr,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-data-scientist-at-banque-misr-4281948061?position=6&pageNum=1&refId=tPsYFR4uHbozZrdC6%2B05SQ%3D%3D&trackingId=QNqdedvuErRQnQ%2BsX1C2KQ%3D%3D,Data Scientist
Data Scientist,e& CX Solutions Egypt,"Qesm El Maadi, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-scientist-at-e-cx-solutions-egypt-4346185116?position=7&pageNum=1&refId=tPsYFR4uHbozZrdC6%2B05SQ%3D%3D&trackingId=CiBlp52pmY7C6en0sYB5oA%3D%3D,Data Scientist
Semi Senior React Developer - Remote Work,BairesDev,Egypt,https://www.linkedin.com/jobs/view/semi-senior-react-developer-remote-work-at-bairesdev-4328961358?position=8&pageNum=1&refId=tPsYFR4uHbozZrdC6%2B05SQ%3D%3D&trackingId=pFT5%2F298We3i%2BIJn66J1jA%3D%3D,Data Scientist
Applied Scientist,Ampstek,"Cairo, Egypt",https://www.linkedin.com/jobs/view/applied-scientist-at-ampstek-4327823152?position=9&pageNum=1&refId=tPsYFR4uHbozZrdC6%2B05SQ%3D%3D&trackingId=eIVT4xPFrQVJ9d5HZ195TQ%3D%3D,Data Scientist
"Data Scientist II - QuantumBlack, AI by McKinsey","QuantumBlack, AI by McKinsey","Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-scientist-ii-quantumblack-ai-by-mckinsey-at-quantumblack-ai-by-mckinsey-4285675154?position=10&pageNum=1&refId=tPsYFR4uHbozZrdC6%2B05SQ%3D%3D&trackingId=b5bWC2Kn1bgFswjqHg2tLA%3D%3D,Data Scientist
"Data Scientist II - QuantumBlack, AI by McKinsey","QuantumBlack, AI by McKinsey","Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-scientist-ii-quantumblack-ai-by-mckinsey-at-quantumblack-ai-by-mckinsey-4285675154?position=1&pageNum=2&refId=EVjOmX6LFAXgqwtRuXXqiA%3D%3D&trackingId=wbLR3Gug0xsEgTgTYunc%2Bg%3D%3D,Data Scientist
Data Science & Engineering Lead,Soum,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-science-engineering-lead-at-soum-4261401767?position=2&pageNum=2&refId=EVjOmX6LFAXgqwtRuXXqiA%3D%3D&trackingId=Cn4jzqxSbzUdwbXSs2niPw%3D%3D,Data Scientist
Senior Data Scientist - EMEA,NOK Human Capital,"Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-data-scientist-emea-at-nok-human-capital-4345887064?position=3&pageNum=2&refId=EVjOmX6LFAXgqwtRuXXqiA%3D%3D&trackingId=WgTnXOnMxnTLHTfPd74etA%3D%3D,Data Scientist
Semi Senior Python Developer - Remote Work,BairesDev,Egypt,https://www.linkedin.com/jobs/view/semi-senior-python-developer-remote-work-at-bairesdev-4328747984?position=4&pageNum=2&refId=EVjOmX6LFAXgqwtRuXXqiA%3D%3D&trackingId=O6%2Fgl2RPmiJy0Y%2FoTde9eA%3D%3D,Data Scientist
Data Science & AI Engineer,Nawy,"Qesm El Maadi, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-science-ai-engineer-at-nawy-4278090184?position=5&pageNum=2&refId=EVjOmX6LFAXgqwtRuXXqiA%3D%3D&trackingId=ubRGmptKA%2FtqdGJmM%2FEhog%3D%3D,Data Scientist
Data Scientist,SSC HR Solutions,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-scientist-at-ssc-hr-solutions-4283492765?position=6&pageNum=2&refId=EVjOmX6LFAXgqwtRuXXqiA%3D%3D&trackingId=x5CqZQ8d2P7wUrnlN%2B8p3w%3D%3D,Data Scientist
Data Science Manager,TP,"Qesm El Maadi, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-science-manager-at-tp-4342742935?position=7&pageNum=2&refId=EVjOmX6LFAXgqwtRuXXqiA%3D%3D&trackingId=Aela90U%2FTKBb%2B4UxDerOIA%3D%3D,Data Scientist
Lead Data Scientist,Banque Misr,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/lead-data-scientist-at-banque-misr-4281686038?position=8&pageNum=2&refId=EVjOmX6LFAXgqwtRuXXqiA%3D%3D&trackingId=lZMk4oabbYej5vQtNeD6ig%3D%3D,Data Scientist
Machine Learning Engineer,Ampstek,"Cairo, Egypt",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-ampstek-4327783160?position=9&pageNum=2&refId=EVjOmX6LFAXgqwtRuXXqiA%3D%3D&trackingId=v1ZiG0OMwjGAwX3bMv6HAA%3D%3D,Data Scientist
Semi Senior Python Developer - Remote Work,BairesDev,"Cairo, Egypt",https://www.linkedin.com/jobs/view/semi-senior-python-developer-remote-work-at-bairesdev-4328718029?position=10&pageNum=2&refId=EVjOmX6LFAXgqwtRuXXqiA%3D%3D&trackingId=T6fYIf3e%2B5mUtdZlGUe79A%3D%3D,Data Scientist
Data Scientist,Ampstek,"Cairo, Egypt",https://www.linkedin.com/jobs/view/data-scientist-at-ampstek-4327643235?position=1&pageNum=3&refId=ggmyBFCxHhbavcR0RY8ZlQ%3D%3D&trackingId=V46i7Jmk3%2FihqNe8QYHn2g%3D%3D,Data Scientist
MLOps Lead Data Scientist,Banque Misr,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/mlops-lead-data-scientist-at-banque-misr-4281977669?position=2&pageNum=3&refId=ggmyBFCxHhbavcR0RY8ZlQ%3D%3D&trackingId=XW%2BOMDJnS38pSuL%2BnK1m3A%3D%3D,Data Scientist
Junior Perception Engineer,Brightskies,"Cairo, Egypt",https://www.linkedin.com/jobs/view/junior-perception-engineer-at-brightskies-4329189340?position=3&pageNum=3&refId=ggmyBFCxHhbavcR0RY8ZlQ%3D%3D&trackingId=PwF3kF7cfMmQAvg14ToTMw%3D%3D,Data Scientist
Lead AI & Data Science,Dar,"Cairo, Egypt",https://www.linkedin.com/jobs/view/lead-ai-data-science-at-dar-4338946101?position=4&pageNum=3&refId=ggmyBFCxHhbavcR0RY8ZlQ%3D%3D&trackingId=Gap9F1Jt98q4oSmfT6ubDQ%3D%3D,Data Scientist
Data Scientist Specialist ( Banking ),SSC HR Solutions,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-scientist-specialist-banking-at-ssc-hr-solutions-4284506381?position=5&pageNum=3&refId=ggmyBFCxHhbavcR0RY8ZlQ%3D%3D&trackingId=5Zo0Sd3igcZii1dJiWIU7A%3D%3D,Data Scientist
"Staff Machine Learning Engineer (India based, relocation provided)",Agoda,"Alexandria, Alexandria, Egypt",https://www.linkedin.com/jobs/view/staff-machine-learning-engineer-india-based-relocation-provided-at-agoda-4302804208?position=6&pageNum=3&refId=ggmyBFCxHhbavcR0RY8ZlQ%3D%3D&trackingId=WVfj7LRoZ1guf9ecvBF9RA%3D%3D,Data Scientist
"Staff Machine Learning Engineer (India based, relocation provided)",Agoda,"Giza, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/staff-machine-learning-engineer-india-based-relocation-provided-at-agoda-4302586898?position=7&pageNum=3&refId=ggmyBFCxHhbavcR0RY8ZlQ%3D%3D&trackingId=TQYLJR3CzmqfSkNu8Yjo0Q%3D%3D,Data Scientist
Data Scientist - Octopus - Immediate hire,Robusta Studio,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/data-scientist-octopus-immediate-hire-at-robusta-studio-4311557677?position=8&pageNum=3&refId=ggmyBFCxHhbavcR0RY8ZlQ%3D%3D&trackingId=xbkLrVMjQqqykUZoliDkCw%3D%3D,Data Scientist
"Staff Machine Learning Engineer (India based, relocation provided)",Agoda,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/staff-machine-learning-engineer-india-based-relocation-provided-at-agoda-4302807037?position=9&pageNum=3&refId=ggmyBFCxHhbavcR0RY8ZlQ%3D%3D&trackingId=ZmWt2NkfyPyjCLDYtsz9vQ%3D%3D,Data Scientist
Senior Data Scientist,Finaira,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-data-scientist-at-finaira-4345480389?position=10&pageNum=3&refId=ggmyBFCxHhbavcR0RY8ZlQ%3D%3D&trackingId=3DQRFmOJ1uWn%2Ff%2Buv%2FvpiA%3D%3D,Data Scientist
Senior Data Scientist,Coca-Cola HBC,"New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-data-scientist-at-coca-cola-hbc-4341590423?position=1&pageNum=4&refId=RKWGKdrYwJRcG6ninRqmTA%3D%3D&trackingId=nBE785ddZ4MsUc3ZWf%2BuYQ%3D%3D,Data Scientist
