title,company,location,link,search_keyword
DevOps Engineer,Siemens,"Qesm 2nd New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-siemens-4344950637?position=1&pageNum=0&refId=4NekjS4lJlzGOd%2FWZ%2FrHFg%3D%3D&trackingId=ty47glz48ZgUyW0jDOAhSg%3D%3D,DevOps Engineer
DevOps Engineer 1,noon,"New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-1-at-noon-4341241255?position=2&pageNum=0&refId=4NekjS4lJlzGOd%2FWZ%2FrHFg%3D%3D&trackingId=OzqAXUl5I0q%2BC8%2F2glWMMg%3D%3D,DevOps Engineer
DevOps Engineer,Siemens,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-siemens-4344910846?position=3&pageNum=0&refId=4NekjS4lJlzGOd%2FWZ%2FrHFg%3D%3D&trackingId=PJoQxwIQ5RCS7KhANZuVqg%3D%3D,DevOps Engineer
DevOps Engineer,Halan - حالا,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-4317174808?position=4&pageNum=0&refId=4NekjS4lJlzGOd%2FWZ%2FrHFg%3D%3D&trackingId=u8CCWfqLF0%2BAEf9wvQoT0Q%3D%3D,DevOps Engineer
Devops Engineer II,Finaira,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-ii-at-finaira-4345440468?position=5&pageNum=0&refId=4NekjS4lJlzGOd%2FWZ%2FrHFg%3D%3D&trackingId=xiJ8dEpCmhhorDM4Hpl6IA%3D%3D,DevOps Engineer
DevOps Engineer,Digital Zone,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-digital-zone-4350120310?position=6&pageNum=0&refId=4NekjS4lJlzGOd%2FWZ%2FrHFg%3D%3D&trackingId=gpjY6n0c%2F5BUOE7HDTHjUg%3D%3D,DevOps Engineer
DevOps Engineer,b_labs,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-b-labs-4346126131?position=7&pageNum=0&refId=4NekjS4lJlzGOd%2FWZ%2FrHFg%3D%3D&trackingId=EwbWqblp%2BQ3YhWxX1Hn%2FYg%3D%3D,DevOps Engineer
DevOps Senior Engineer,Al Ahly Momkn,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-senior-engineer-at-al-ahly-momkn-4326601542?position=8&pageNum=0&refId=4NekjS4lJlzGOd%2FWZ%2FrHFg%3D%3D&trackingId=Ika3YyfiS2la%2BhDGUccuxg%3D%3D,DevOps Engineer
DevOps Engineer,LXT,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-lxt-4338898293?position=9&pageNum=0&refId=4NekjS4lJlzGOd%2FWZ%2FrHFg%3D%3D&trackingId=aX0gsk55ygsRoK5GNLOJmg%3D%3D,DevOps Engineer
DevOps Engineer,Nawy,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/devops-engineer-at-nawy-4283405159?position=10&pageNum=0&refId=4NekjS4lJlzGOd%2FWZ%2FrHFg%3D%3D&trackingId=3jOePHmx5oINilgK%2FkI%2F9w%3D%3D,DevOps Engineer
