title,company,location,link,search_keyword
IT Support Specialist,ILLA,"Giza, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/it-support-specialist-at-illa-4342830587?position=1&pageNum=0&refId=k3xDm86MHnBt%2FPFfXS4gSg%3D%3D&trackingId=n9iW8djD%2Fz9UNjHxP7%2BQjA%3D%3D,IT Support Specialist
1st Level IT Support - 2nd Level IT Support,Valleysoft | Center of Excellence,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/1st-level-it-support-2nd-level-it-support-at-valleysoft-center-of-excellence-4342438699?position=2&pageNum=0&refId=k3xDm86MHnBt%2FPFfXS4gSg%3D%3D&trackingId=Sln9A23ycRPBxfqxdDQzqA%3D%3D,IT Support Specialist
IT Support - Remote,Müller's Solutions,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/it-support-remote-at-m%C3%BCller-s-solutions-4336567191?position=3&pageNum=0&refId=k3xDm86MHnBt%2FPFfXS4gSg%3D%3D&trackingId=nsYIRpykzU3Avmh6cgIS2w%3D%3D,IT Support Specialist
IT Helpdesk Specialist - HQ,Misr Technology Services,"Heliopolis, Cairo, Egypt",https://www.linkedin.com/jobs/view/it-helpdesk-specialist-hq-at-misr-technology-services-4300934716?position=4&pageNum=0&refId=k3xDm86MHnBt%2FPFfXS4gSg%3D%3D&trackingId=R7%2Fcrtb16XDmOPrBKCXDgQ%3D%3D,IT Support Specialist
IT Technician,Marriott International,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/it-technician-at-marriott-international-4344334279?position=5&pageNum=0&refId=k3xDm86MHnBt%2FPFfXS4gSg%3D%3D&trackingId=13Ulb2l5CQoNmbw4ZWAhTw%3D%3D,IT Support Specialist
IT Support,SSC HR Solutions,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/it-support-at-ssc-hr-solutions-4336621275?position=6&pageNum=0&refId=k3xDm86MHnBt%2FPFfXS4gSg%3D%3D&trackingId=ennQ3R5cEF3uG%2FuLyJpy8w%3D%3D,IT Support Specialist
IT Support Specialist,ELSEWEDY ELECTRIC,"Suez, As Suways, Egypt",https://www.linkedin.com/jobs/view/it-support-specialist-at-elsewedy-electric-4319842099?position=7&pageNum=0&refId=k3xDm86MHnBt%2FPFfXS4gSg%3D%3D&trackingId=hga53ViA7hMxQ8a9lEpVKg%3D%3D,IT Support Specialist
IT Help Desk Specialist,IntouchCX,"El Sheikh Zaid, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/it-help-desk-specialist-at-intouchcx-4343717329?position=8&pageNum=0&refId=k3xDm86MHnBt%2FPFfXS4gSg%3D%3D&trackingId=4z1P97BcaB1LRh2YLJ9gRw%3D%3D,IT Support Specialist
IT Help Desk,Pure Life Filters Company,Egypt,https://www.linkedin.com/jobs/view/it-help-desk-at-pure-life-filters-company-4303965238?position=9&pageNum=0&refId=k3xDm86MHnBt%2FPFfXS4gSg%3D%3D&trackingId=%2Ff1gV5wSB7fDPYtwpUBR%2Bg%3D%3D,IT Support Specialist
IT Help Desk Specialist,COA Holding Company,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/it-help-desk-specialist-at-coa-holding-company-4282237296?position=10&pageNum=0&refId=k3xDm86MHnBt%2FPFfXS4gSg%3D%3D&trackingId=GJ7hc9QfZAXInTZO5%2BXSQw%3D%3D,IT Support Specialist
