title,company,location,link,search_keyword
Mechatronics Engineer,Capgemini,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/mechatronics-engineer-at-capgemini-4342580101?position=1&pageNum=0&refId=T2cWdT%2B268T7%2FZI6xXiWdQ%3D%3D&trackingId=o1aEDxGzHZpyXrlnB53lJg%3D%3D,Robotics Engineer
Automation Engineer,The Coca-Cola Company,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/automation-engineer-at-the-coca-cola-company-4342606752?position=2&pageNum=0&refId=T2cWdT%2B268T7%2FZI6xXiWdQ%3D%3D&trackingId=damG7a9yeSjA2XTfGQdFQw%3D%3D,Robotics Engineer
AI & Robotics Business Partner,UNIS,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/ai-robotics-business-partner-at-unis-4237007178?position=3&pageNum=0&refId=T2cWdT%2B268T7%2FZI6xXiWdQ%3D%3D&trackingId=9MYPhaoYEm13yY3y3yTydw%3D%3D,Robotics Engineer
"Electrical, Instrumentation and Automation Engineer",Lesaffre,"Al Buhayrah, Egypt",https://www.linkedin.com/jobs/view/electrical-instrumentation-and-automation-engineer-at-lesaffre-4348739300?position=4&pageNum=0&refId=T2cWdT%2B268T7%2FZI6xXiWdQ%3D%3D&trackingId=2BQE%2Fud8EyFp5hHgR%2FjwwQ%3D%3D,Robotics Engineer
Automation Field Engineer,Weatherford,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/automation-field-engineer-at-weatherford-4342649030?position=5&pageNum=0&refId=T2cWdT%2B268T7%2FZI6xXiWdQ%3D%3D&trackingId=DFNVLpflu9oOXD6Z2jFRZQ%3D%3D,Robotics Engineer
Electrical Engineer,TAQA Water,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/electrical-engineer-at-taqa-water-4179373978?position=6&pageNum=0&refId=T2cWdT%2B268T7%2FZI6xXiWdQ%3D%3D&trackingId=HvtCPfwpE3WbdTyEmPm5LQ%3D%3D,Robotics Engineer
Controls Engineer - Hardware Design,Advansys,"Nasr City, Cairo, Egypt",https://www.linkedin.com/jobs/view/controls-engineer-hardware-design-at-advansys-4342762959?position=7&pageNum=0&refId=T2cWdT%2B268T7%2FZI6xXiWdQ%3D%3D&trackingId=pP3qrWtOuHn%2BCJx1Iv1nDQ%3D%3D,Robotics Engineer
Electrical Operation and Maintenance Engineer,TAQA Water,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/electrical-operation-and-maintenance-engineer-at-taqa-water-4068221111?position=8&pageNum=0&refId=T2cWdT%2B268T7%2FZI6xXiWdQ%3D%3D&trackingId=Ajh4GvYwIgO6cSMlgYFJqQ%3D%3D,Robotics Engineer
Junior Test Engineer,Banque Misr,"Cairo, Egypt",https://www.linkedin.com/jobs/view/junior-test-engineer-at-banque-misr-4348230432?position=9&pageNum=0&refId=T2cWdT%2B268T7%2FZI6xXiWdQ%3D%3D&trackingId=3MlyZIbWz46P9JnJhs0sMg%3D%3D,Robotics Engineer
Electrical Engineer,Nawy,"Qesm El Maadi, Cairo, Egypt",https://www.linkedin.com/jobs/view/electrical-engineer-at-nawy-4341593302?position=10&pageNum=0&refId=T2cWdT%2B268T7%2FZI6xXiWdQ%3D%3D&trackingId=RGT8mKhpb3Ta43dyRv8VRQ%3D%3D,Robotics Engineer
Electrical & Automation Engineer – Biomethane Plant,Empower Capital ES,"Heliopolis, Cairo, Egypt",https://www.linkedin.com/jobs/view/electrical-automation-engineer-%E2%80%93-biomethane-plant-at-empower-capital-es-4350641653?position=1&pageNum=1&refId=MYNphtwIDhdTLHLWBofx1w%3D%3D&trackingId=b9ZbIlKwOP6HScPs8esFzw%3D%3D,Robotics Engineer
Electrical Operation and Maintenance Engineer,TAQA Arabia,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/electrical-operation-and-maintenance-engineer-at-taqa-arabia-4319339315?position=2&pageNum=1&refId=MYNphtwIDhdTLHLWBofx1w%3D%3D&trackingId=IiFcTJA6ueSpmBRyfAWtrQ%3D%3D,Robotics Engineer
Electrical Design Engineer,Dar,"Cairo, Egypt",https://www.linkedin.com/jobs/view/electrical-design-engineer-at-dar-4340744334?position=3&pageNum=1&refId=MYNphtwIDhdTLHLWBofx1w%3D%3D&trackingId=Do387R7zk1Y4GoZt71TaYw%3D%3D,Robotics Engineer
Senior Power Apps and Automation Engineer,Al Ahly Momkn,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/senior-power-apps-and-automation-engineer-at-al-ahly-momkn-4344440901?position=4&pageNum=1&refId=MYNphtwIDhdTLHLWBofx1w%3D%3D&trackingId=zyjBblfLoWbnUpIRaD9MxQ%3D%3D,Robotics Engineer
FM Electrical Senior Engineer,Hyde Park Developments,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/fm-electrical-senior-engineer-at-hyde-park-developments-4345682228?position=5&pageNum=1&refId=MYNphtwIDhdTLHLWBofx1w%3D%3D&trackingId=c5vSZOk%2FkdjLGy9GDULyzA%3D%3D,Robotics Engineer
Controls Engineer - Allen Bradley PLC,Advansys,"Nasr City, Cairo, Egypt",https://www.linkedin.com/jobs/view/controls-engineer-allen-bradley-plc-at-advansys-4342633648?position=6&pageNum=1&refId=MYNphtwIDhdTLHLWBofx1w%3D%3D&trackingId=Yzk2%2Bt35evPIMFQJ1nCvmw%3D%3D,Robotics Engineer
Electrical Design Engineer,Azizi Developments,"New Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/electrical-design-engineer-at-azizi-developments-4347744128?position=7&pageNum=1&refId=MYNphtwIDhdTLHLWBofx1w%3D%3D&trackingId=ZOiZzpmkaNXKtaD633FkGA%3D%3D,Robotics Engineer
"Senior Machine Learning Engineer, Moderation Automation (Remote)",Gramian Consulting,Egypt,https://www.linkedin.com/jobs/view/senior-machine-learning-engineer-moderation-automation-remote-at-gramian-consulting-4346093120?position=8&pageNum=1&refId=MYNphtwIDhdTLHLWBofx1w%3D%3D&trackingId=10r8wi9qbT%2F6cwMrkJ%2F%2B2A%3D%3D,Robotics Engineer
Electrical Engineer,"Hill International, Inc.","Giza, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/electrical-engineer-at-hill-international-inc-4325682499?position=9&pageNum=1&refId=MYNphtwIDhdTLHLWBofx1w%3D%3D&trackingId=WnI1u46PGqrAJQ6Yr5a0Pw%3D%3D,Robotics Engineer
Electrical Maintenance Engineer,PepsiCo,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/electrical-maintenance-engineer-at-pepsico-4347474336?position=10&pageNum=1&refId=MYNphtwIDhdTLHLWBofx1w%3D%3D&trackingId=24MBrR32OYGJeA6VwzzrrA%3D%3D,Robotics Engineer
Electrical Design Junior Engineer,ELSEWEDY ELECTRIC,"10th of Ramadan, Sharkia, Egypt",https://www.linkedin.com/jobs/view/electrical-design-junior-engineer-at-elsewedy-electric-4342709102?position=1&pageNum=2&refId=rpZhRf%2F8lMVyIYL6lTEV2g%3D%3D&trackingId=XidEBJOsLrS6qM5zIMm4ow%3D%3D,Robotics Engineer
Controls Engineer Siemens,Advansys,"Nasr City, Cairo, Egypt",https://www.linkedin.com/jobs/view/controls-engineer-siemens-at-advansys-4283762870?position=2&pageNum=2&refId=rpZhRf%2F8lMVyIYL6lTEV2g%3D%3D&trackingId=clfkW%2BiJK54rbmFTsNVJlw%3D%3D,Robotics Engineer
Test Engineer,Banque Misr,"Cairo, Egypt",https://www.linkedin.com/jobs/view/test-engineer-at-banque-misr-4348220556?position=3&pageNum=2&refId=rpZhRf%2F8lMVyIYL6lTEV2g%3D%3D&trackingId=y3d1hC48BXHVLT78xpIXYg%3D%3D,Robotics Engineer
Electrical Site and Design Engineer,TechZone Networking Services LLC,"Cairo, Egypt",https://www.linkedin.com/jobs/view/electrical-site-and-design-engineer-at-techzone-networking-services-llc-4350234416?position=4&pageNum=2&refId=rpZhRf%2F8lMVyIYL6lTEV2g%3D%3D&trackingId=hLpbMxPLQMJ2BcgDH93QSQ%3D%3D,Robotics Engineer
Electrical Design Engineer,Dar,"Cairo, Egypt",https://www.linkedin.com/jobs/view/electrical-design-engineer-at-dar-4346174212?position=5&pageNum=2&refId=rpZhRf%2F8lMVyIYL6lTEV2g%3D%3D&trackingId=MLlenNMO4JoLn6G9M7Af2Q%3D%3D,Robotics Engineer
Junior Software Engineer,Halan - حالا,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/junior-software-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-4300290745?position=6&pageNum=2&refId=rpZhRf%2F8lMVyIYL6lTEV2g%3D%3D&trackingId=2Git02%2Bqq7HlPcLZXHp0Fw%3D%3D,Robotics Engineer
Testing & Automation Engineer,Finaira,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/testing-automation-engineer-at-finaira-4345240579?position=7&pageNum=2&refId=rpZhRf%2F8lMVyIYL6lTEV2g%3D%3D&trackingId=plE2EsczmIWpEdG6JorvXw%3D%3D,Robotics Engineer
Controls Engineer 2,Advansys,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/controls-engineer-2-at-advansys-4283717210?position=8&pageNum=2&refId=rpZhRf%2F8lMVyIYL6lTEV2g%3D%3D&trackingId=LnYgIjhG39HEQlqSx0Pg4A%3D%3D,Robotics Engineer
Automation Software Developer (VOIS,VOIS,"Giza, Al Jizah, Egypt",https://www.linkedin.com/jobs/view/automation-software-developer-vois-at-vois-4309266378?position=9&pageNum=2&refId=rpZhRf%2F8lMVyIYL6lTEV2g%3D%3D&trackingId=XhQZ9y6WpnGR3U5DA9QIfQ%3D%3D,Robotics Engineer
Control Engineer,AMD -Nexus Industrial Parks,"Qesm El Maadi, Cairo, Egypt",https://www.linkedin.com/jobs/view/control-engineer-at-amd-nexus-industrial-parks-4350492219?position=10&pageNum=2&refId=rpZhRf%2F8lMVyIYL6lTEV2g%3D%3D&trackingId=3QFE0OU226Z%2F0Vt5FEHxZg%3D%3D,Robotics Engineer
Site Engineer (Electrical / Mechanical Engineer),SSC HR Solutions,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/site-engineer-electrical-mechanical-engineer-at-ssc-hr-solutions-4336169959?position=1&pageNum=3&refId=nWB9DVQlFJnZKbRelfHCBA%3D%3D&trackingId=HHriAhsJ17Z3bCPA8LTzPA%3D%3D,Robotics Engineer
Path Planning Engineer,Brightskies,"Alexandria, Egypt",https://www.linkedin.com/jobs/view/path-planning-engineer-at-brightskies-4329139402?position=2&pageNum=3&refId=nWB9DVQlFJnZKbRelfHCBA%3D%3D&trackingId=BCfl1d0UwGGT6dQinCxQUA%3D%3D,Robotics Engineer
Electrical Engineer,المهندسون المتحدون- The United Engineers,"Alexandria, Egypt",https://www.linkedin.com/jobs/view/electrical-engineer-at-%D8%A7%D9%84%D9%85%D9%87%D9%86%D8%AF%D8%B3%D9%88%D9%86-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D9%88%D9%86-the-united-engineers-4328933610?position=3&pageNum=3&refId=nWB9DVQlFJnZKbRelfHCBA%3D%3D&trackingId=01zVOv0vNdki28fdB5puHA%3D%3D,Robotics Engineer
Junior Perception Engineer,Brightskies,"Cairo, Egypt",https://www.linkedin.com/jobs/view/junior-perception-engineer-at-brightskies-4329189340?position=4&pageNum=3&refId=nWB9DVQlFJnZKbRelfHCBA%3D%3D&trackingId=HrT7mxaktXGaRLit3virEg%3D%3D,Robotics Engineer
Software Quality Assurance Engineer,International Turnkey Systems - ITS,"Cairo, Cairo, Egypt",https://www.linkedin.com/jobs/view/software-quality-assurance-engineer-at-international-turnkey-systems-its-4345993413?position=5&pageNum=3&refId=nWB9DVQlFJnZKbRelfHCBA%3D%3D&trackingId=cw9aYM2dbCHhrr1ZH5FRUA%3D%3D,Robotics Engineer
Electrical Testing Engineer,ELSEWEDY ELECTRIC,"10th of Ramadan, Sharkia, Egypt",https://www.linkedin.com/jobs/view/electrical-testing-engineer-at-elsewedy-electric-4345703169?position=6&pageNum=3&refId=nWB9DVQlFJnZKbRelfHCBA%3D%3D&trackingId=jZW4nfa8wNI3vLaKtEHk%2BQ%3D%3D,Robotics Engineer
Electrical Engineer,Americana Foods,"El Sadat City, Al Minufiyah, Egypt",https://www.linkedin.com/jobs/view/electrical-engineer-at-americana-foods-4348481314?position=7&pageNum=3&refId=nWB9DVQlFJnZKbRelfHCBA%3D%3D&trackingId=p%2BGhclSpWIJySGcO%2B3ZGgg%3D%3D,Robotics Engineer
