title,company,location,link,search_keyword
Software Engineer I,EnergyHub,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/software-engineer-i-at-energyhub-4328779455?position=1&pageNum=0&refId=z9g4z5ocDr8iBDw%2FXrWQ6Q%3D%3D&trackingId=FGv3ijvlj0032wtODryg%2FA%3D%3D,Bioinformatics Software Engineer
Backend Engineer (Python/Go) - Consumer Platform team,Wolt,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/backend-engineer-python-go-consumer-platform-team-at-wolt-4319430223?position=2&pageNum=0&refId=z9g4z5ocDr8iBDw%2FXrWQ6Q%3D%3D&trackingId=ldrefi7Hlsqn%2FJ5%2BPZH3UQ%3D%3D,Bioinformatics Software Engineer
Developer,Wärtsilä,"Vaasa, Ostrobothnia, Finland",https://www.linkedin.com/jobs/view/developer-at-w%C3%A4rtsil%C3%A4-4328971910?position=3&pageNum=0&refId=z9g4z5ocDr8iBDw%2FXrWQ6Q%3D%3D&trackingId=kM%2FZ4q%2FwmIQa09XdHibYmg%3D%3D,Bioinformatics Software Engineer
Senior Python/Full Stack Developer (Remote),Alex Staff,Finland,https://www.linkedin.com/jobs/view/senior-python-full-stack-developer-remote-at-alex-staff-4339274239?position=4&pageNum=0&refId=z9g4z5ocDr8iBDw%2FXrWQ6Q%3D%3D&trackingId=45nGemrNpqpSwXHppuxJ0g%3D%3D,Bioinformatics Software Engineer
Senior Python/Full Stack Developer (Remote),Alex Staff,Finland,https://www.linkedin.com/jobs/view/senior-python-full-stack-developer-remote-at-alex-staff-4342683594?position=5&pageNum=0&refId=z9g4z5ocDr8iBDw%2FXrWQ6Q%3D%3D&trackingId=v9U6aUkSY2i4alubTyQwcw%3D%3D,Bioinformatics Software Engineer
Associate AI & Software Engineer (entry level),Vuono Group,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/associate-ai-software-engineer-entry-level-at-vuono-group-4335553009?position=6&pageNum=0&refId=z9g4z5ocDr8iBDw%2FXrWQ6Q%3D%3D&trackingId=vYYCsgP6HgNiWP6OM5D%2BFg%3D%3D,Bioinformatics Software Engineer
Software Developer,Finnair,Finland,https://www.linkedin.com/jobs/view/software-developer-at-finnair-4343530043?position=7&pageNum=0&refId=z9g4z5ocDr8iBDw%2FXrWQ6Q%3D%3D&trackingId=8K5YnsD3nlmgSw9YwsxY9g%3D%3D,Bioinformatics Software Engineer
Software Engineer - Python - Ubuntu Pro client - graduate level,Canonical,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/software-engineer-python-ubuntu-pro-client-graduate-level-at-canonical-4233270755?position=8&pageNum=0&refId=z9g4z5ocDr8iBDw%2FXrWQ6Q%3D%3D&trackingId=d8Op4S0QOgs6%2FG7WhA89vg%3D%3D,Bioinformatics Software Engineer
Developer – AI/ML Platform,Basware,"Tampere, Pirkanmaa, Finland",https://www.linkedin.com/jobs/view/developer-%E2%80%93-ai-ml-platform-at-basware-4318346031?position=9&pageNum=0&refId=z9g4z5ocDr8iBDw%2FXrWQ6Q%3D%3D&trackingId=z7L%2BxGx6c6yAgJGgLX8PKA%3D%3D,Bioinformatics Software Engineer
Developer – AI/ML Platform,Basware,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/developer-%E2%80%93-ai-ml-platform-at-basware-4318339455?position=10&pageNum=0&refId=z9g4z5ocDr8iBDw%2FXrWQ6Q%3D%3D&trackingId=vwGsFDxQkWMmirMCsTX9Aw%3D%3D,Bioinformatics Software Engineer
