title,company,location,link,search_keyword
Junior Security Analyst (several positions),NetNordic Finland,"Turku, Southwest Finland, Finland",https://www.linkedin.com/jobs/view/junior-security-analyst-several-positions-at-netnordic-finland-4344852132?position=1&pageNum=0&refId=uWPYWbJhxrKMOmHh2Qsrug%3D%3D&trackingId=4ZBR%2Fy7Yu8Fq3tkZSD0pEw%3D%3D,Security Analyst
Private Equity Intelligence Analyst – Nordics (Part-time / Internship),Gain.pro,Finland,https://www.linkedin.com/jobs/view/private-equity-intelligence-analyst-%E2%80%93-nordics-part-time-internship-at-gain-pro-4336313585?position=2&pageNum=0&refId=uWPYWbJhxrKMOmHh2Qsrug%3D%3D&trackingId=ma22MQeZPsziXIU7JkZPVw%3D%3D,Security Analyst
Market Intelligence Analyst,KNL,Greater Oulu Area,https://www.linkedin.com/jobs/view/market-intelligence-analyst-at-knl-4350245508?position=3&pageNum=0&refId=uWPYWbJhxrKMOmHh2Qsrug%3D%3D&trackingId=MMqNPsyl%2BUrcHaFNVFg8Rg%3D%3D,Security Analyst
Nordic Field Force & Business Intelligence Analyst,Johnson & Johnson Innovative Medicine,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/nordic-field-force-business-intelligence-analyst-at-johnson-johnson-innovative-medicine-4345685593?position=4&pageNum=0&refId=uWPYWbJhxrKMOmHh2Qsrug%3D%3D&trackingId=cDFOg3j4uMz5n1ezDdFYSQ%3D%3D,Security Analyst
"Security Engineer, Incidents",Wolt,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/security-engineer-incidents-at-wolt-4231492439?position=5&pageNum=0&refId=uWPYWbJhxrKMOmHh2Qsrug%3D%3D&trackingId=Ouv85w66MC%2FThlGr8vajhg%3D%3D,Security Analyst
Security Engineer,Aibidia,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/security-engineer-at-aibidia-4344527450?position=6&pageNum=0&refId=uWPYWbJhxrKMOmHh2Qsrug%3D%3D&trackingId=rjmNpvBAu4ZZl6cwmN21jA%3D%3D,Security Analyst
Senior Application Security Analyst,Verda,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/senior-application-security-analyst-at-verda-4341500524?position=7&pageNum=0&refId=uWPYWbJhxrKMOmHh2Qsrug%3D%3D&trackingId=iHAbaSXclwM081DDHnS6ig%3D%3D,Security Analyst
Security Solution Engineer,Microsoft,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/security-solution-engineer-at-microsoft-4328356295?position=8&pageNum=0&refId=uWPYWbJhxrKMOmHh2Qsrug%3D%3D&trackingId=X8unYii9SbJI9ZW8hx5ZxA%3D%3D,Security Analyst
Data Analyst (Defence),Kuva Space,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/data-analyst-defence-at-kuva-space-4328310372?position=9&pageNum=0&refId=uWPYWbJhxrKMOmHh2Qsrug%3D%3D&trackingId=7zx9MlVQcHElGT60vuA%2B3Q%3D%3D,Security Analyst
R&D Security Engineer,Clevry,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/r-d-security-engineer-at-clevry-4348072236?position=10&pageNum=0&refId=uWPYWbJhxrKMOmHh2Qsrug%3D%3D&trackingId=vDKNMv3dqcWC%2F4i5OD2Obg%3D%3D,Security Analyst
