title,company,location,link,search_keyword
Freelance Machine Learning Engineer (Python),Mindrift,Finland,https://www.linkedin.com/jobs/view/freelance-machine-learning-engineer-python-at-mindrift-4344634935?position=1&pageNum=0&refId=R6XW9SktggQlFbaNSysiGQ%3D%3D&trackingId=BzHq5AAgT7jm9qUzusFHbg%3D%3D,Data Scientist
Associate Data Scientist (entry level),Vuono Group,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/associate-data-scientist-entry-level-at-vuono-group-4335463178?position=2&pageNum=0&refId=R6XW9SktggQlFbaNSysiGQ%3D%3D&trackingId=hsp5SbhH9J6yj5rTf417pQ%3D%3D,Data Scientist
Machine Learning Engineer - Satellite Fleet Automation,ICEYE,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/machine-learning-engineer-satellite-fleet-automation-at-iceye-4340739484?position=3&pageNum=0&refId=R6XW9SktggQlFbaNSysiGQ%3D%3D&trackingId=5tkzoWq3UbTIeKKKfvlBJw%3D%3D,Data Scientist
Data Scientist,Digia Plc,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/data-scientist-at-digia-plc-4228413027?position=4&pageNum=0&refId=R6XW9SktggQlFbaNSysiGQ%3D%3D&trackingId=OGfIduIbsJXTKxCN2pE%2BnA%3D%3D,Data Scientist
Data Scientist,Digia Plc,"Tampere, Pirkanmaa, Finland",https://www.linkedin.com/jobs/view/data-scientist-at-digia-plc-4228408398?position=5&pageNum=0&refId=R6XW9SktggQlFbaNSysiGQ%3D%3D&trackingId=5STniM1g1V3zM%2F7IG5WLQw%3D%3D,Data Scientist
Software Engineer I,EnergyHub,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/software-engineer-i-at-energyhub-4328779455?position=6&pageNum=0&refId=R6XW9SktggQlFbaNSysiGQ%3D%3D&trackingId=fsxo%2FfNvBcIXseDnt%2BjDDQ%3D%3D,Data Scientist
Data Scientist to the AI& Data team in Helsinki,Accenture Nordics,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/data-scientist-to-the-ai-data-team-in-helsinki-at-accenture-nordics-4328172084?position=7&pageNum=0&refId=R6XW9SktggQlFbaNSysiGQ%3D%3D&trackingId=Om0cIBpRDCR9aTubxk3mOg%3D%3D,Data Scientist
Data Scientist,Alfame,Finland,https://www.linkedin.com/jobs/view/data-scientist-at-alfame-4325653939?position=8&pageNum=0&refId=R6XW9SktggQlFbaNSysiGQ%3D%3D&trackingId=ei4p%2Fc58DN3xQLf5sp%2FDcw%3D%3D,Data Scientist
Data Scientist (LLM/ML Focus),Basware,"Tampere, Pirkanmaa, Finland",https://www.linkedin.com/jobs/view/data-scientist-llm-ml-focus-at-basware-4318330777?position=9&pageNum=0&refId=R6XW9SktggQlFbaNSysiGQ%3D%3D&trackingId=RZVKRCp21L0lCyhtIFJzbA%3D%3D,Data Scientist
Data Scientist (LLM/ML Focus),Basware,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/data-scientist-llm-ml-focus-at-basware-4318347027?position=10&pageNum=0&refId=R6XW9SktggQlFbaNSysiGQ%3D%3D&trackingId=9eQqyASsHbpx%2FXW38BxXag%3D%3D,Data Scientist
Data Scientist (LLM/ML Focus),Basware,"Pori, Satakunta, Finland",https://www.linkedin.com/jobs/view/data-scientist-llm-ml-focus-at-basware-4318339456?position=1&pageNum=1&refId=E%2FDqugBDrmofkyF3mxgd7g%3D%3D&trackingId=iFcGkr9zLyDsdQbYSB0kww%3D%3D,Data Scientist
"Data Scientist, analytiikkayksikkö, tietopalvelut",Kela,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/data-scientist-analytiikkayksikk%C3%B6-tietopalvelut-at-kela-4348381371?position=2&pageNum=1&refId=E%2FDqugBDrmofkyF3mxgd7g%3D%3D&trackingId=IiyUwapu%2FGPWxLoaLn%2BCuw%3D%3D,Data Scientist
