title,company,location,link,search_keyword
DevOps Engineer - Telecom (OSS),Empiric,Finland,https://www.linkedin.com/jobs/view/devops-engineer-telecom-oss-at-empiric-4345946632?position=1&pageNum=0&refId=rA%2F53vPCwsLrjsXDjnCl2w%3D%3D&trackingId=woCUK1MDvSNOdBYromBwOA%3D%3D,DevOps Engineer
Senior DevOps Engineer - Core Platform Engineering,ICEYE,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/senior-devops-engineer-core-platform-engineering-at-iceye-4340353265?position=2&pageNum=0&refId=rA%2F53vPCwsLrjsXDjnCl2w%3D%3D&trackingId=3UcSNXWq2QnMt6L9gw6bng%3D%3D,DevOps Engineer
"Site Reliability Engineer (Go), Storage Platform",Wolt,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/site-reliability-engineer-go-storage-platform-at-wolt-4328330893?position=3&pageNum=0&refId=rA%2F53vPCwsLrjsXDjnCl2w%3D%3D&trackingId=sHdiRJ0Dgx0NIXnSMZ2UGg%3D%3D,DevOps Engineer
"Cloud Engineer, AWS & Azure",Tata Consultancy Services,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/cloud-engineer-aws-azure-at-tata-consultancy-services-4322028061?position=4&pageNum=0&refId=rA%2F53vPCwsLrjsXDjnCl2w%3D%3D&trackingId=2%2FXI1PDnZ3XYon1GSo2tjA%3D%3D,DevOps Engineer
DevOps Engineer for UNI Program,LTIMindtree,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/devops-engineer-for-uni-program-at-ltimindtree-4326748159?position=5&pageNum=0&refId=rA%2F53vPCwsLrjsXDjnCl2w%3D%3D&trackingId=nn8DN12ilfNMWpO6ggtX9g%3D%3D,DevOps Engineer
DevOps Engineer,Smartly,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/devops-engineer-at-smartly-4335807057?position=6&pageNum=0&refId=rA%2F53vPCwsLrjsXDjnCl2w%3D%3D&trackingId=fjuef7BdyElLvZ4QNrSQRA%3D%3D,DevOps Engineer
DevOps Engineer for Telecom OSS Plan & Build,Tata Consultancy Services,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/devops-engineer-for-telecom-oss-plan-build-at-tata-consultancy-services-4329035656?position=7&pageNum=0&refId=rA%2F53vPCwsLrjsXDjnCl2w%3D%3D&trackingId=q9skm%2Bb2ADvsF4gW9LPMQQ%3D%3D,DevOps Engineer
DevOps Engineer for Telecom OSS Service Assurance,Tata Consultancy Services,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/devops-engineer-for-telecom-oss-service-assurance-at-tata-consultancy-services-4329005792?position=8&pageNum=0&refId=rA%2F53vPCwsLrjsXDjnCl2w%3D%3D&trackingId=wK%2Fy8FzOtDj%2B4iUDMHMdtQ%3D%3D,DevOps Engineer
Cloud Engineer,RELEX Solutions,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/cloud-engineer-at-relex-solutions-4342021569?position=9&pageNum=0&refId=rA%2F53vPCwsLrjsXDjnCl2w%3D%3D&trackingId=LZ1J1clqHcXGo5cvDwD6KA%3D%3D,DevOps Engineer
DevOps Engineer for Telecom OSS Inventory,Tata Consultancy Services,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/devops-engineer-for-telecom-oss-inventory-at-tata-consultancy-services-4329095513?position=10&pageNum=0&refId=rA%2F53vPCwsLrjsXDjnCl2w%3D%3D&trackingId=%2FyCSJr9efUCV7VEMd4ShZw%3D%3D,DevOps Engineer
DevOps Engineer,HiQ Finland,Finland,https://www.linkedin.com/jobs/view/devops-engineer-at-hiq-finland-4347707670?position=1&pageNum=1&refId=5b4b28RIc5PeK5gFNK1k9g%3D%3D&trackingId=gcE4W2IhfjTvEtFd%2BEtZrg%3D%3D,DevOps Engineer
DevOps Engineer for Telecom OSS Service Fulfilment,Tata Consultancy Services,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/devops-engineer-for-telecom-oss-service-fulfilment-at-tata-consultancy-services-4328978224?position=2&pageNum=1&refId=5b4b28RIc5PeK5gFNK1k9g%3D%3D&trackingId=6k5y2y59MDNyLyCU5%2BFjFw%3D%3D,DevOps Engineer
DevOps Engineer,ALTEN Finland,"Jyväskylä, Central Finland, Finland",https://www.linkedin.com/jobs/view/devops-engineer-at-alten-finland-4344628555?position=3&pageNum=1&refId=5b4b28RIc5PeK5gFNK1k9g%3D%3D&trackingId=hvGPTBStk2gDrUrm32gxkg%3D%3D,DevOps Engineer
DevOps Engineer,Patria,"Tampere, Pirkanmaa, Finland",https://www.linkedin.com/jobs/view/devops-engineer-at-patria-4327625624?position=4&pageNum=1&refId=5b4b28RIc5PeK5gFNK1k9g%3D%3D&trackingId=f8CSydqQZDOw2d3BfQdfUg%3D%3D,DevOps Engineer
DevOps Engineer,Verkkokauppa.com,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/devops-engineer-at-verkkokauppa-com-4350296887?position=5&pageNum=1&refId=5b4b28RIc5PeK5gFNK1k9g%3D%3D&trackingId=VgPgekCbRowzumJ4ooETGA%3D%3D,DevOps Engineer
Staff DevOps Engineer,Smartly,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/staff-devops-engineer-at-smartly-4342591861?position=6&pageNum=1&refId=5b4b28RIc5PeK5gFNK1k9g%3D%3D&trackingId=jqJhDgTtDSHE7rKNQzi5qA%3D%3D,DevOps Engineer
(Senior) DevOps/MLOps Engineer,Sanoma Media Finland,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/senior-devops-mlops-engineer-at-sanoma-media-finland-4323613212?position=7&pageNum=1&refId=5b4b28RIc5PeK5gFNK1k9g%3D%3D&trackingId=FnRRIeBhC3fvS9rvdBLPrg%3D%3D,DevOps Engineer
DevOps Engineer,Talented: a Witted company,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/devops-engineer-at-talented-a-witted-company-4345180246?position=8&pageNum=1&refId=5b4b28RIc5PeK5gFNK1k9g%3D%3D&trackingId=D2kslfkYiepfP%2FNpju4NNQ%3D%3D,DevOps Engineer
Senior Cloud Engineer,RELEX Solutions,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/senior-cloud-engineer-at-relex-solutions-4343304404?position=9&pageNum=1&refId=5b4b28RIc5PeK5gFNK1k9g%3D%3D&trackingId=fWU64UwqdAq%2FauC2aAgTBA%3D%3D,DevOps Engineer
Devops Cloud Platform Developer,PHZ Full Stack,"Helsinki, Southwest Finland, Finland",https://www.linkedin.com/jobs/view/devops-cloud-platform-developer-at-phz-full-stack-4070590421?position=10&pageNum=1&refId=5b4b28RIc5PeK5gFNK1k9g%3D%3D&trackingId=tuuUjBSFZt8zstwMZCSLeg%3D%3D,DevOps Engineer
