title,company,location,link,search_keyword
Information Technology Support Specialist,TECEZE,"Nokia, Pirkanmaa, Finland",https://www.linkedin.com/jobs/view/information-technology-support-specialist-at-teceze-4328002684?position=1&pageNum=0&refId=aDyYMnQRrDFfA%2FlpaArARQ%3D%3D&trackingId=iJPJ4uvlssTh18naW5JqJg%3D%3D,IT Support Specialist
Datacenter Technician,Hamilton Barnes 🌳,"Mäntsälä, Uusimaa, Finland",https://www.linkedin.com/jobs/view/datacenter-technician-at-hamilton-barnes-%F0%9F%8C%B3-4348931810?position=2&pageNum=0&refId=aDyYMnQRrDFfA%2FlpaArARQ%3D%3D&trackingId=nwkpPNlMtK4OVV5l0MniAA%3D%3D,IT Support Specialist
Data Center Technician II,Google,"Hamina, Kymenlaakso, Finland",https://www.linkedin.com/jobs/view/data-center-technician-ii-at-google-4344525369?position=3&pageNum=0&refId=aDyYMnQRrDFfA%2FlpaArARQ%3D%3D&trackingId=35VGd4Z3g2sCXazFEi5kqA%3D%3D,IT Support Specialist
Data Center IT Technician,Nebius,"Mäntsälä, Uusimaa, Finland",https://www.linkedin.com/jobs/view/data-center-it-technician-at-nebius-4326632688?position=4&pageNum=0&refId=aDyYMnQRrDFfA%2FlpaArARQ%3D%3D&trackingId=3C4m4DJcqOfzG%2FIfIFYuyg%3D%3D,IT Support Specialist
Technical Support Specialist (fixed term),Thermo Fisher Scientific,Finland,https://www.linkedin.com/jobs/view/technical-support-specialist-fixed-term-at-thermo-fisher-scientific-4328285559?position=5&pageNum=0&refId=aDyYMnQRrDFfA%2FlpaArARQ%3D%3D&trackingId=lVL%2BjvXVyJZgtYUgnRkUHg%3D%3D,IT Support Specialist
Service technical support specialist,ABB,"Vaasa, Ostrobothnia, Finland",https://www.linkedin.com/jobs/view/service-technical-support-specialist-at-abb-4343556793?position=6&pageNum=0&refId=aDyYMnQRrDFfA%2FlpaArARQ%3D%3D&trackingId=GpKklM7ltqeCSvKOyk9Ezw%3D%3D,IT Support Specialist
Advanced IT Datacenter Technician,Nebius,"Mäntsälä, Uusimaa, Finland",https://www.linkedin.com/jobs/view/advanced-it-datacenter-technician-at-nebius-4320160211?position=7&pageNum=0&refId=aDyYMnQRrDFfA%2FlpaArARQ%3D%3D&trackingId=%2F4sKNs6tIVhkn4aiKlJuSQ%3D%3D,IT Support Specialist
Data Migration Specialist,Nordhealth,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/data-migration-specialist-at-nordhealth-4314192190?position=8&pageNum=0&refId=aDyYMnQRrDFfA%2FlpaArARQ%3D%3D&trackingId=Qwywq74Zv8ic%2FfceP9Ltkw%3D%3D,IT Support Specialist
Field Data Collection Specialist\Surveyor,TSMG Holding,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/field-data-collection-specialist-surveyor-at-tsmg-holding-4345719168?position=9&pageNum=0&refId=aDyYMnQRrDFfA%2FlpaArARQ%3D%3D&trackingId=vVHKesTtEZd7lWDh0FV9rA%3D%3D,IT Support Specialist
EMEA Power Distribution Field Services Technical Lead  - Data Center,Eaton,Finland,https://www.linkedin.com/jobs/view/emea-power-distribution-field-services-technical-lead-data-center-at-eaton-4341832838?position=10&pageNum=0&refId=aDyYMnQRrDFfA%2FlpaArARQ%3D%3D&trackingId=diSDZKJ%2FBf9%2Ba7Q76S4sXQ%3D%3D,IT Support Specialist
Commercial Practices Support Specialist (Temporary position),Tetra Pak,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/commercial-practices-support-specialist-temporary-position-at-tetra-pak-4345180625?position=1&pageNum=1&refId=mhdeuPGGc4FWmc%2Ba5YZ4hw%3D%3D&trackingId=Hax9t95D8nZgpN9bGZh%2BkA%3D%3D,IT Support Specialist
Documentation Specialist,Topcon Healthcare Europe,"Oulu, North Ostrobothnia, Finland",https://www.linkedin.com/jobs/view/documentation-specialist-at-topcon-healthcare-europe-4344530616?position=2&pageNum=1&refId=mhdeuPGGc4FWmc%2Ba5YZ4hw%3D%3D&trackingId=huGrfXdz%2BagEzpmNXFv4kQ%3D%3D,IT Support Specialist
Senior Software Engineer,Amdocs,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/senior-software-engineer-at-amdocs-4346053567?position=3&pageNum=1&refId=mhdeuPGGc4FWmc%2Ba5YZ4hw%3D%3D&trackingId=vR4znPQxCuXbp6iVfTySxA%3D%3D,IT Support Specialist
Solutions Consultant,Palo Alto Networks,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/solutions-consultant-at-palo-alto-networks-4306222225?position=1&pageNum=0&refId=Kb83xCo3DtMBp0DvgjIb%2BQ%3D%3D&trackingId=xgewmwss%2F6i7XBWIL3XmSg%3D%3D,IT Consultant
"SAP Technical Consultant, Rising Star Trainee",Motley Agency,Finland,https://www.linkedin.com/jobs/view/sap-technical-consultant-rising-star-trainee-at-motley-agency-4343674621?position=2&pageNum=0&refId=Kb83xCo3DtMBp0DvgjIb%2BQ%3D%3D&trackingId=VqvCx8w84QjQ4nBpuxPe6Q%3D%3D,IT Consultant
IT-planerare,Novia University of Applied Sciences,"Pedersöre, Ostrobothnia, Finland",https://www.linkedin.com/jobs/view/it-planerare-at-novia-university-of-applied-sciences-4343085786?position=3&pageNum=0&refId=Kb83xCo3DtMBp0DvgjIb%2BQ%3D%3D&trackingId=t%2FxB8peoHhFtXOJcBO%2Bpvg%3D%3D,IT Consultant
IT Consultant - Helsinki | BCG Platinion,BCG Platinion,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/it-consultant-helsinki-bcg-platinion-at-bcg-platinion-4156958807?position=4&pageNum=0&refId=Kb83xCo3DtMBp0DvgjIb%2BQ%3D%3D&trackingId=ereP3C8EysaiNFi0mMqiSw%3D%3D,IT Consultant
Technology Strategy Consultant,Accenture Nordics,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/technology-strategy-consultant-at-accenture-nordics-4327989543?position=5&pageNum=0&refId=Kb83xCo3DtMBp0DvgjIb%2BQ%3D%3D&trackingId=pOPuerA7CMmHbK4w912fbg%3D%3D,IT Consultant
Banking Technology Consultant,Accenture Nordics,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/banking-technology-consultant-at-accenture-nordics-4328118041?position=6&pageNum=0&refId=Kb83xCo3DtMBp0DvgjIb%2BQ%3D%3D&trackingId=JUH75eUha7vpT0lqqwsi9w%3D%3D,IT Consultant
ICT-hankintajuristi,Vantaan kaupunki - Vanda stad - City of Vantaa,"Vantaa, Uusimaa, Finland",https://www.linkedin.com/jobs/view/ict-hankintajuristi-at-vantaan-kaupunki-vanda-stad-city-of-vantaa-4346149169?position=7&pageNum=0&refId=Kb83xCo3DtMBp0DvgjIb%2BQ%3D%3D&trackingId=MnEdWqIWDUlgxMObPL0B%2FQ%3D%3D,IT Consultant
Senior IT Consultant - Helsinki | BCG Platinion,BCG Platinion,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/senior-it-consultant-helsinki-bcg-platinion-at-bcg-platinion-4156959727?position=8&pageNum=0&refId=Kb83xCo3DtMBp0DvgjIb%2BQ%3D%3D&trackingId=LhI7iRYAdavPHliHraF32g%3D%3D,IT Consultant
"SAP Functional Consultant, Rising Star Trainee",Motley Agency,Finland,https://www.linkedin.com/jobs/view/sap-functional-consultant-rising-star-trainee-at-motley-agency-4343714333?position=9&pageNum=0&refId=Kb83xCo3DtMBp0DvgjIb%2BQ%3D%3D&trackingId=ML08Mwb2kKOOwPEKN%2BF5Nw%3D%3D,IT Consultant
Notion Administrator (full time or part time) - fixed term,Trimble Inc.,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/notion-administrator-full-time-or-part-time-fixed-term-at-trimble-inc-4342171189?position=10&pageNum=0&refId=Kb83xCo3DtMBp0DvgjIb%2BQ%3D%3D&trackingId=BJMMF%2BtG8M6qSL7mcFklRA%3D%3D,IT Consultant
Business Consultant ERP,Navcite,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/business-consultant-erp-at-navcite-4323270903?position=1&pageNum=1&refId=DA5dKRgeddqddInMHgG5Dw%3D%3D&trackingId=RhBVgmxZC59MvyJBXZA%2Fsw%3D%3D,IT Consultant
Verkostoidu kanssamme,Insta,"Tampere, Pirkanmaa, Finland",https://www.linkedin.com/jobs/view/verkostoidu-kanssamme-at-insta-4149027736?position=2&pageNum=1&refId=DA5dKRgeddqddInMHgG5Dw%3D%3D&trackingId=2YSm4djTn%2FQ3P9A6Au5TFQ%3D%3D,IT Consultant
Junior Application Specialist,Insta,"Tampere, Pirkanmaa, Finland",https://www.linkedin.com/jobs/view/junior-application-specialist-at-insta-4346047293?position=3&pageNum=1&refId=DA5dKRgeddqddInMHgG5Dw%3D%3D&trackingId=5XWMQL2USCswpo4Mr3aQ8g%3D%3D,IT Consultant
M365-konsultti,FRENDY,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/m365-konsultti-at-frendy-4320602717?position=4&pageNum=1&refId=DA5dKRgeddqddInMHgG5Dw%3D%3D&trackingId=l8xLPAGJ2fl1mO9K8988Dw%3D%3D,IT Consultant
Technology Strategy Consultant,Futurice,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/technology-strategy-consultant-at-futurice-4345442580?position=5&pageNum=1&refId=DA5dKRgeddqddInMHgG5Dw%3D%3D&trackingId=ppIdvZ0jebWkmY4SJ16n7w%3D%3D,IT Consultant
Avoin hakemus Fellowmindille,Fellowmind,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/avoin-hakemus-fellowmindille-at-fellowmind-4344778790?position=6&pageNum=1&refId=DA5dKRgeddqddInMHgG5Dw%3D%3D&trackingId=PWTt3TLu3kNZIILF00DLfA%3D%3D,IT Consultant
"SAP Technical Consultant, Rising Star Trainee",Vincit,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/sap-technical-consultant-rising-star-trainee-at-vincit-4343654775?position=7&pageNum=1&refId=DA5dKRgeddqddInMHgG5Dw%3D%3D&trackingId=M1PnUgLlY%2BfLBPN7bAGLKA%3D%3D,IT Consultant
"SAP Technical Consultant, Rising Star Trainee",Vincit,"Tampere, Pirkanmaa, Finland",https://www.linkedin.com/jobs/view/sap-technical-consultant-rising-star-trainee-at-vincit-4343545666?position=8&pageNum=1&refId=DA5dKRgeddqddInMHgG5Dw%3D%3D&trackingId=6zj%2FImVV62k986T271fGuA%3D%3D,IT Consultant
Summer jobs - Digital Services & IT,Ponsse,"Kuopio, Northern Savonia, Finland",https://www.linkedin.com/jobs/view/summer-jobs-digital-services-it-at-ponsse-4350121015?position=9&pageNum=1&refId=DA5dKRgeddqddInMHgG5Dw%3D%3D&trackingId=%2BB7ek9ueU8%2Fhc3F6YLyyZg%3D%3D,IT Consultant
"Digital Transition for and in education, training and employment experts",NTU International A/S,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/digital-transition-for-and-in-education-training-and-employment-experts-at-ntu-international-a-s-4342582043?position=10&pageNum=1&refId=DA5dKRgeddqddInMHgG5Dw%3D%3D&trackingId=%2BCB656FzanRSfEK8tv6N7g%3D%3D,IT Consultant
"SAP Technical Consultant, Rising Star Trainee",Vincit,"Turku, Southwest Finland, Finland",https://www.linkedin.com/jobs/view/sap-technical-consultant-rising-star-trainee-at-vincit-4343595242?position=1&pageNum=2&refId=kVqaaexAaNXCqOrhHhssYQ%3D%3D&trackingId=hd2CK%2FxY0tuI1EJU2Wd%2FWg%3D%3D,IT Consultant
"SAP Technical Consultant, Rising Star Trainee",Vincit,"Jyväskylä, Central Finland, Finland",https://www.linkedin.com/jobs/view/sap-technical-consultant-rising-star-trainee-at-vincit-4343585167?position=2&pageNum=2&refId=kVqaaexAaNXCqOrhHhssYQ%3D%3D&trackingId=1ypW6YjPcvmT%2FTXbb8lg1g%3D%3D,IT Consultant
"IT-ratkaisukehityspäällikkö, Digipalvelut, Espoo",Länsi-Uudenmaan hyvinvointialue,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/it-ratkaisukehitysp%C3%A4%C3%A4llikk%C3%B6-digipalvelut-espoo-at-l%C3%A4nsi-uudenmaan-hyvinvointialue-4328029432?position=3&pageNum=2&refId=kVqaaexAaNXCqOrhHhssYQ%3D%3D&trackingId=MhOQw282d6aqPWrkkBSuzA%3D%3D,IT Consultant
Implementation and Support Engineer,Hexagon Asset Lifecycle Intelligence,"Oulu, North Ostrobothnia, Finland",https://www.linkedin.com/jobs/view/implementation-and-support-engineer-at-hexagon-asset-lifecycle-intelligence-4337965200?position=4&pageNum=2&refId=kVqaaexAaNXCqOrhHhssYQ%3D%3D&trackingId=Mukqi1e%2FgmEe2%2Fv%2FwsBGhQ%3D%3D,IT Consultant
"Freelancer, meet Business Technology Village",Sofigate,"Tampere, Pirkanmaa, Finland",https://www.linkedin.com/jobs/view/freelancer-meet-business-technology-village-at-sofigate-4223426633?position=5&pageNum=2&refId=kVqaaexAaNXCqOrhHhssYQ%3D%3D&trackingId=RD562fJ9QBkn6t7%2B%2Fzwdtg%3D%3D,IT Consultant
Senior ServiceNow / ITSM Consultant,GuideVision,Finland,https://www.linkedin.com/jobs/view/senior-servicenow-itsm-consultant-at-guidevision-4298491727?position=6&pageNum=2&refId=kVqaaexAaNXCqOrhHhssYQ%3D%3D&trackingId=mgC11h%2FR4%2BoTTdtSmGPWEg%3D%3D,IT Consultant
"SAP Technical Consultant, Rising Star Trainee",Vincit,"Oulu, North Ostrobothnia, Finland",https://www.linkedin.com/jobs/view/sap-technical-consultant-rising-star-trainee-at-vincit-4343555329?position=7&pageNum=2&refId=kVqaaexAaNXCqOrhHhssYQ%3D%3D&trackingId=SylzVx6rrQpFdJYvRoxqhw%3D%3D,IT Consultant
SysAdmin / DevOps Specialist,Twoday,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/sysadmin-devops-specialist-at-twoday-4323870033?position=8&pageNum=2&refId=kVqaaexAaNXCqOrhHhssYQ%3D%3D&trackingId=zOtup%2F5HXCwXElP1oyujoA%3D%3D,IT Consultant
Power Platform Functional Consultant,Twoday,"Turku, Southwest Finland, Finland",https://www.linkedin.com/jobs/view/power-platform-functional-consultant-at-twoday-4297895019?position=9&pageNum=2&refId=kVqaaexAaNXCqOrhHhssYQ%3D%3D&trackingId=7PqPfBzaMlMRo%2ByoZVdsVw%3D%3D,IT Consultant
"SAP Technical Consultant, Rising Star Trainee",Vincit,"Kuopio, Northern Savonia, Finland",https://www.linkedin.com/jobs/view/sap-technical-consultant-rising-star-trainee-at-vincit-4343714639?position=10&pageNum=2&refId=kVqaaexAaNXCqOrhHhssYQ%3D%3D&trackingId=Tmef00skmkQ9Mh6pmL9qDg%3D%3D,IT Consultant
"SAP Functional Consultant, Rising Star Trainee",Vincit,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/sap-functional-consultant-rising-star-trainee-at-vincit-4343704625?position=1&pageNum=3&refId=2TwuY6KtdnuHFuu4BAxtDw%3D%3D&trackingId=MeZVGJTCl7C6sXSIPH%2B2xQ%3D%3D,IT Consultant
ServiceNow-Trainee,CGI,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/servicenow-trainee-at-cgi-4344071465?position=2&pageNum=3&refId=2TwuY6KtdnuHFuu4BAxtDw%3D%3D&trackingId=K2Wj%2FsSNzExxJsueza7nhQ%3D%3D,IT Consultant
"SAP Functional Consultant, Rising Star Trainee",Vincit,"Turku, Southwest Finland, Finland",https://www.linkedin.com/jobs/view/sap-functional-consultant-rising-star-trainee-at-vincit-4343575211?position=3&pageNum=3&refId=2TwuY6KtdnuHFuu4BAxtDw%3D%3D&trackingId=ekzbdNQuf47WjNytZrsRpQ%3D%3D,IT Consultant
