title,company,location,link,search_keyword
User Acquisition Lead,Homa,Finland,https://www.linkedin.com/jobs/view/user-acquisition-lead-at-homa-4335794285?position=1&pageNum=0&refId=EDPCu8yh%2Btt2tQJ1YMvaVA%3D%3D&trackingId=YqLfgvANXcs3AfOvT4sq0A%3D%3D,Growth Hacker
Junior Growth Hacker,Cityvarasto Oyj,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/junior-growth-hacker-at-cityvarasto-oyj-4328577843?position=2&pageNum=0&refId=EDPCu8yh%2Btt2tQJ1YMvaVA%3D%3D&trackingId=cgWo8xjALeOPsHlxyG01Iw%3D%3D,Growth Hacker
Digital Operations Specialist,Novartis Finland,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/digital-operations-specialist-at-novartis-finland-4349862097?position=3&pageNum=0&refId=EDPCu8yh%2Btt2tQJ1YMvaVA%3D%3D&trackingId=TJ4k2iXEu7OjTjYciHvNdg%3D%3D,Growth Hacker
Ecommerce Specialist (Growth / Digital Marketing Manager),Ventura Brands Oy,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/ecommerce-specialist-growth-digital-marketing-manager-at-ventura-brands-oy-4343338623?position=4&pageNum=0&refId=EDPCu8yh%2Btt2tQJ1YMvaVA%3D%3D&trackingId=EE%2BMuQTmgNNcrt9x2eEX3A%3D%3D,Growth Hacker
Performance Marketing Specialist,Lenus,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/performance-marketing-specialist-at-lenus-4345848781?position=5&pageNum=0&refId=EDPCu8yh%2Btt2tQJ1YMvaVA%3D%3D&trackingId=0AbrUR%2BJMYNq1f%2F6rRYp%2BQ%3D%3D,Growth Hacker
Martech developer,Avaus,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/martech-developer-at-avaus-4325836549?position=6&pageNum=0&refId=EDPCu8yh%2Btt2tQJ1YMvaVA%3D%3D&trackingId=70zsj2j0fa8jSxQEcbd%2Fsw%3D%3D,Growth Hacker
Junior Ads Specialist,Canonical,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/junior-ads-specialist-at-canonical-4281968307?position=7&pageNum=0&refId=EDPCu8yh%2Btt2tQJ1YMvaVA%3D%3D&trackingId=jBNi3AptgTlBSFsPfIpEQw%3D%3D,Growth Hacker
Digital Marketing Specialist – News and Media,Alma Media,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/digital-marketing-specialist-%E2%80%93-news-and-media-at-alma-media-4328780748?position=8&pageNum=0&refId=EDPCu8yh%2Btt2tQJ1YMvaVA%3D%3D&trackingId=EKIkGsHGh3FVdMw11hEpsg%3D%3D,Growth Hacker
"Senior Specialist, Digital Marketing & Sales",Terveystalo,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/senior-specialist-digital-marketing-sales-at-terveystalo-4346014074?position=9&pageNum=0&refId=EDPCu8yh%2Btt2tQJ1YMvaVA%3D%3D&trackingId=FBdO5i4H%2Bn8zW1%2Fo1zeT%2BA%3D%3D,Growth Hacker
"Conversion & Paywall Lead, Consumer Subscriptions",Alma Media,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/conversion-paywall-lead-consumer-subscriptions-at-alma-media-4328789850?position=10&pageNum=0&refId=EDPCu8yh%2Btt2tQJ1YMvaVA%3D%3D&trackingId=oxdXkKWjDdaySZor4uaBZA%3D%3D,Growth Hacker
SEM / PPC Expert,UpCloud,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/sem-ppc-expert-at-upcloud-4326127149?position=1&pageNum=1&refId=WNvQ0xYaGj%2BUDGQSgcfHrg%3D%3D&trackingId=ZkdWnnYUN7qXaZFfjP6zHQ%3D%3D,Growth Hacker
"Community Manager, Hay Day",Supercell,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/community-manager-hay-day-at-supercell-4347513308?position=2&pageNum=1&refId=WNvQ0xYaGj%2BUDGQSgcfHrg%3D%3D&trackingId=ijb%2BiVZjSScxUa%2FRUsSRPQ%3D%3D,Growth Hacker
Growth Marketing Manager,The Flex,Finland,https://www.linkedin.com/jobs/view/growth-marketing-manager-at-the-flex-4342802248?position=3&pageNum=1&refId=WNvQ0xYaGj%2BUDGQSgcfHrg%3D%3D&trackingId=2JWCzrbTsO5Jl90dz6toEA%3D%3D,Growth Hacker
Markkinoinnin asiantuntijoita,Avoimuuslaki,Finland,https://www.linkedin.com/jobs/view/markkinoinnin-asiantuntijoita-at-avoimuuslaki-4337751493?position=4&pageNum=1&refId=WNvQ0xYaGj%2BUDGQSgcfHrg%3D%3D&trackingId=f%2FQUocmCppFT7MeJCWaeUA%3D%3D,Growth Hacker
Product Catalog & Research Analyst,Uvation,Finland,https://www.linkedin.com/jobs/view/product-catalog-research-analyst-at-uvation-4266223700?position=5&pageNum=1&refId=WNvQ0xYaGj%2BUDGQSgcfHrg%3D%3D&trackingId=cWXD94Oq%2BCwX5whUPbxv%2Fg%3D%3D,Growth Hacker
