title,company,location,link,search_keyword
Senior Electrical Engineer (m/f/x),Skeleton Technologies,"Lappeenranta, South Karelia, Finland",https://www.linkedin.com/jobs/view/senior-electrical-engineer-m-f-x-at-skeleton-technologies-4334399823?position=1&pageNum=0&refId=U%2BMUW1LDzxWGwZd2UWFVHg%3D%3D&trackingId=d0PyndNBuGFRYGaTz%2BbyBA%3D%3D,Robotics Engineer
Electrical Engineer,Winthrop Technologies,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/electrical-engineer-at-winthrop-technologies-4345916924?position=2&pageNum=0&refId=U%2BMUW1LDzxWGwZd2UWFVHg%3D%3D&trackingId=4l9QQQqqQEwcZHK%2BLMGW7g%3D%3D,Robotics Engineer
Machine Learning Engineer - Satellite Fleet Automation,ICEYE,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/machine-learning-engineer-satellite-fleet-automation-at-iceye-4340739484?position=3&pageNum=0&refId=U%2BMUW1LDzxWGwZd2UWFVHg%3D%3D&trackingId=lL9lP%2BuwnUAi50dYeOnQTQ%3D%3D,Robotics Engineer
Electrical Engineer with Python Experience - Freelance AI Trainer,Mindrift,Finland,https://www.linkedin.com/jobs/view/electrical-engineer-with-python-experience-freelance-ai-trainer-at-mindrift-4343448864?position=4&pageNum=0&refId=U%2BMUW1LDzxWGwZd2UWFVHg%3D%3D&trackingId=1%2B907jSqhp6qEaYUeTeidA%3D%3D,Robotics Engineer
Electrical Engineer with Python Experience - Freelance AI Trainer,Mindrift,Finland,https://www.linkedin.com/jobs/view/electrical-engineer-with-python-experience-freelance-ai-trainer-at-mindrift-4345487125?position=5&pageNum=0&refId=U%2BMUW1LDzxWGwZd2UWFVHg%3D%3D&trackingId=hYabOR5L745Pr7CDLyxFFA%3D%3D,Robotics Engineer
Electrical Engineer,V7 Recruitment,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/electrical-engineer-at-v7-recruitment-4349639552?position=6&pageNum=0&refId=U%2BMUW1LDzxWGwZd2UWFVHg%3D%3D&trackingId=Kv9rHCJeuzWOyYciH8F3Fw%3D%3D,Robotics Engineer
Robotic Software Developer,Hiab,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/robotic-software-developer-at-hiab-4342191240?position=7&pageNum=0&refId=U%2BMUW1LDzxWGwZd2UWFVHg%3D%3D&trackingId=i8v123QWA4kmsit03rZnKg%3D%3D,Robotics Engineer
Senior Software Engineer - Satellite Fleet Automation,ICEYE,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/senior-software-engineer-satellite-fleet-automation-at-iceye-4341040089?position=8&pageNum=0&refId=U%2BMUW1LDzxWGwZd2UWFVHg%3D%3D&trackingId=ZAz%2FwrvGo53VPks8%2BIAAMg%3D%3D,Robotics Engineer
Senior AOCS/Robotics Engineer,ICEYE,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/senior-aocs-robotics-engineer-at-iceye-4328709435?position=9&pageNum=0&refId=U%2BMUW1LDzxWGwZd2UWFVHg%3D%3D&trackingId=xKSU4%2F%2FCd%2FdgcR82MCNRew%3D%3D,Robotics Engineer
Senior Robotics Engineer,GIM Robotics,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/senior-robotics-engineer-at-gim-robotics-4343854454?position=10&pageNum=0&refId=U%2BMUW1LDzxWGwZd2UWFVHg%3D%3D&trackingId=0PRt5529TgcDKE%2F8FRH8KA%3D%3D,Robotics Engineer
Staff Electrical Engineer,ICEYE,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/staff-electrical-engineer-at-iceye-4343058487?position=1&pageNum=1&refId=zljgqLxWh%2Bc8g1pLR37UCQ%3D%3D&trackingId=DPP3%2FNqWZ%2FC72f9OJaO0sA%3D%3D,Robotics Engineer
Electrical Design Engineer,Hitachi Energy,"Vaasa, Ostrobothnia, Finland",https://www.linkedin.com/jobs/view/electrical-design-engineer-at-hitachi-energy-4265326485?position=2&pageNum=1&refId=zljgqLxWh%2Bc8g1pLR37UCQ%3D%3D&trackingId=bt8j2OQUEBjw%2Fgw2E%2FOtvA%3D%3D,Robotics Engineer
Test Automation Engineer,LTIMindtree,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/test-automation-engineer-at-ltimindtree-4326738409?position=3&pageNum=1&refId=zljgqLxWh%2Bc8g1pLR37UCQ%3D%3D&trackingId=vLqPxmvciTvaT3RiiBGB8Q%3D%3D,Robotics Engineer
Software Engineer I,EnergyHub,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/software-engineer-i-at-energyhub-4328779455?position=4&pageNum=1&refId=zljgqLxWh%2Bc8g1pLR37UCQ%3D%3D&trackingId=mz1%2BlBpqeJ9RDwhE%2BqIw8w%3D%3D,Robotics Engineer
Senior Software Engineer (m/f/x),Skeleton Technologies,"Lappeenranta, South Karelia, Finland",https://www.linkedin.com/jobs/view/senior-software-engineer-m-f-x-at-skeleton-technologies-4334419702?position=5&pageNum=1&refId=zljgqLxWh%2Bc8g1pLR37UCQ%3D%3D&trackingId=QNZAkVjNVt1yUfm8jLxx5g%3D%3D,Robotics Engineer
"Innovation Engineer, Software (All Levels)",ŌURA,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/innovation-engineer-software-all-levels-at-%C5%8Dura-4347444450?position=6&pageNum=1&refId=zljgqLxWh%2Bc8g1pLR37UCQ%3D%3D&trackingId=lrTrdHmeVsjdSFi9KlKqNg%3D%3D,Robotics Engineer
"Automation Engineer Trainee #FutureWerner – Siemens Osakeyhtiö, Espoo",Siemens,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/automation-engineer-trainee-%23futurewerner-%E2%80%93-siemens-osakeyhti%C3%B6-espoo-at-siemens-4327620114?position=7&pageNum=1&refId=zljgqLxWh%2Bc8g1pLR37UCQ%3D%3D&trackingId=uFOTbG6vNuve0VI5TTe7qA%3D%3D,Robotics Engineer
Lead Test Automation Engineer,Taskmill,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/lead-test-automation-engineer-at-taskmill-4328807611?position=8&pageNum=1&refId=zljgqLxWh%2Bc8g1pLR37UCQ%3D%3D&trackingId=EkFu10FE5j8xQtXVtLr8rQ%3D%3D,Robotics Engineer
Software Engineer - Ground Stations,ICEYE,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/software-engineer-ground-stations-at-iceye-4335112711?position=9&pageNum=1&refId=zljgqLxWh%2Bc8g1pLR37UCQ%3D%3D&trackingId=AsdFad8yx4VLPdZyoF4cGw%3D%3D,Robotics Engineer
Lead Electrical Engineer,Coolbrook,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/lead-electrical-engineer-at-coolbrook-4322102995?position=10&pageNum=1&refId=zljgqLxWh%2Bc8g1pLR37UCQ%3D%3D&trackingId=bmcO0666NzwH6upd6hUH6g%3D%3D,Robotics Engineer
Software Test Automation Engineer,Airbus Defence and Space,"Jyväskylä, Central Finland, Finland",https://www.linkedin.com/jobs/view/software-test-automation-engineer-at-airbus-defence-and-space-4349556553?position=1&pageNum=2&refId=RVyzsxLDAKmpYhB8kigilQ%3D%3D&trackingId=ziQ28wBa5aX%2BZbsU8VvgNw%3D%3D,Robotics Engineer
Front End Software Engineer - Fleet Control,ICEYE,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/front-end-software-engineer-fleet-control-at-iceye-4338905700?position=2&pageNum=2&refId=RVyzsxLDAKmpYhB8kigilQ%3D%3D&trackingId=LMyrTDzTqi%2FEd0FmXm4WLw%3D%3D,Robotics Engineer
"Design Engineer, EU",Ashby,Finland,https://www.linkedin.com/jobs/view/design-engineer-eu-at-ashby-4323267028?position=3&pageNum=2&refId=RVyzsxLDAKmpYhB8kigilQ%3D%3D&trackingId=0QiBzBYwht2hezoTpLKA6Q%3D%3D,Robotics Engineer
Electrical Commissioning Engineer,Clear.,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/electrical-commissioning-engineer-at-clear-4326426087?position=4&pageNum=2&refId=RVyzsxLDAKmpYhB8kigilQ%3D%3D&trackingId=ff2TLKpOU3SGfqSqe4m9IQ%3D%3D,Robotics Engineer
Sensor Integration & Test Expert for Motion Sensors – Espoo,Bosch Nordic,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/sensor-integration-test-expert-for-motion-sensors-%E2%80%93-espoo-at-bosch-nordic-4343047414?position=5&pageNum=2&refId=RVyzsxLDAKmpYhB8kigilQ%3D%3D&trackingId=DuDtIuIrf9pA9MX%2BG1lirQ%3D%3D,Robotics Engineer
Junior Electrical Design Engineer,Rejlers,"Imatra, South Karelia, Finland",https://www.linkedin.com/jobs/view/junior-electrical-design-engineer-at-rejlers-4338704801?position=6&pageNum=2&refId=RVyzsxLDAKmpYhB8kigilQ%3D%3D&trackingId=W3Wqn%2BwpZxCydIoJrneeMQ%3D%3D,Robotics Engineer
Service Engineer – Automation,Evac Group,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/service-engineer-%E2%80%93-automation-at-evac-group-4320272239?position=7&pageNum=2&refId=RVyzsxLDAKmpYhB8kigilQ%3D%3D&trackingId=VvqBfxiPS0efIsTHYYwtjA%3D%3D,Robotics Engineer
Associate AI & Software Engineer (entry level),Vuono Group,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/associate-ai-software-engineer-entry-level-at-vuono-group-4335553009?position=8&pageNum=2&refId=RVyzsxLDAKmpYhB8kigilQ%3D%3D&trackingId=xKh1PSoWlIeWG8p%2BiKJ%2B9Q%3D%3D,Robotics Engineer
Engineering Lead - Orbit Control Software,ICEYE,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/engineering-lead-orbit-control-software-at-iceye-4300856530?position=9&pageNum=2&refId=RVyzsxLDAKmpYhB8kigilQ%3D%3D&trackingId=4eOvSiFSci6QojV7jrVqdA%3D%3D,Robotics Engineer
Electrical Commissioning Engineer,Winthrop Technologies,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/electrical-commissioning-engineer-at-winthrop-technologies-4324927286?position=10&pageNum=2&refId=RVyzsxLDAKmpYhB8kigilQ%3D%3D&trackingId=vttfJRlsMXmyUMLBQJMZUw%3D%3D,Robotics Engineer
Senior QA Engineer,ICEYE,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/senior-qa-engineer-at-iceye-4337195099?position=1&pageNum=3&refId=KwYN%2Fr10SKTLTM9qqn6Atw%3D%3D&trackingId=j1iR25l%2Fk4vDKsq4YFA1Mg%3D%3D,Robotics Engineer
Test Engineer,Airbus Defence and Space,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/test-engineer-at-airbus-defence-and-space-4345477263?position=2&pageNum=3&refId=KwYN%2Fr10SKTLTM9qqn6Atw%3D%3D&trackingId=SXOEHlIyjaQduINtjh6Y1Q%3D%3D,Robotics Engineer
Staff Software Engineer - Orbit Determination & Control (AOCS),ICEYE,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/staff-software-engineer-orbit-determination-control-aocs-at-iceye-4297508615?position=3&pageNum=3&refId=KwYN%2Fr10SKTLTM9qqn6Atw%3D%3D&trackingId=DACFdMxUmRDz1CARw02Drg%3D%3D,Robotics Engineer
