title,company,location,link,search_keyword
Software Developer,Finnair,Finland,https://www.linkedin.com/jobs/view/software-developer-at-finnair-4343530043?position=1&pageNum=0&refId=%2BaVnR%2FITruu2ZcSZNyf%2FVA%3D%3D&trackingId=vAqX0Xo%2FhKpycwcsH1lNLg%3D%3D,Software Engineer
Full Stack Engineer,Runway (runway.team),Finland,https://www.linkedin.com/jobs/view/full-stack-engineer-at-runway-runway-team-4271879799?position=2&pageNum=0&refId=%2BaVnR%2FITruu2ZcSZNyf%2FVA%3D%3D&trackingId=RY1lTBY193MHTMQod1HXVg%3D%3D,Software Engineer
Software Engineer I,EnergyHub,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/software-engineer-i-at-energyhub-4328779455?position=3&pageNum=0&refId=%2BaVnR%2FITruu2ZcSZNyf%2FVA%3D%3D&trackingId=b%2FD0EKd1L9k7atI%2Br0XEKQ%3D%3D,Software Engineer
Senior Software Engineer (m/f/x),Skeleton Technologies,"Lappeenranta, South Karelia, Finland",https://www.linkedin.com/jobs/view/senior-software-engineer-m-f-x-at-skeleton-technologies-4334419702?position=4&pageNum=0&refId=%2BaVnR%2FITruu2ZcSZNyf%2FVA%3D%3D&trackingId=ymSh5Qb2w%2BhLyOVlrEWhlQ%3D%3D,Software Engineer
Full Stack Developer,Twoday,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/full-stack-developer-at-twoday-4314287615?position=5&pageNum=0&refId=%2BaVnR%2FITruu2ZcSZNyf%2FVA%3D%3D&trackingId=dm%2BZ4htzcxWvaW3GX34pFw%3D%3D,Software Engineer
Senior Software Engineer (Backend),ICEYE,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/senior-software-engineer-backend-at-iceye-4344708901?position=6&pageNum=0&refId=%2BaVnR%2FITruu2ZcSZNyf%2FVA%3D%3D&trackingId=FeKYTs49%2FNhvZOMckM7T1Q%3D%3D,Software Engineer
Full Stack & Frontend -kehittäjiä,Mezzoforte Oy - Huutokaupat.com,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/full-stack-frontend-kehitt%C3%A4ji%C3%A4-at-mezzoforte-oy-huutokaupat-com-4345011053?position=7&pageNum=0&refId=%2BaVnR%2FITruu2ZcSZNyf%2FVA%3D%3D&trackingId=D10YOzb%2FtV%2BoMfozpwvH5w%3D%3D,Software Engineer
Front End Software Engineer - Fleet Control,ICEYE,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/front-end-software-engineer-fleet-control-at-iceye-4338905700?position=8&pageNum=0&refId=%2BaVnR%2FITruu2ZcSZNyf%2FVA%3D%3D&trackingId=Nw4G4L3dKJ2MtiaE414FQA%3D%3D,Software Engineer
Software Developer,Zynga,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/software-developer-at-zynga-4343210036?position=9&pageNum=0&refId=%2BaVnR%2FITruu2ZcSZNyf%2FVA%3D%3D&trackingId=uZqIFkVtGQd3VDjbr%2FNwig%3D%3D,Software Engineer
Backend Engineer (Python/Go) - Consumer Platform team,Wolt,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/backend-engineer-python-go-consumer-platform-team-at-wolt-4319430223?position=10&pageNum=0&refId=%2BaVnR%2FITruu2ZcSZNyf%2FVA%3D%3D&trackingId=%2BvVWEVUcuYJyPaakJJIu5w%3D%3D,Software Engineer
Software Engineer - Ground Stations,ICEYE,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/software-engineer-ground-stations-at-iceye-4335112711?position=1&pageNum=1&refId=bm1k%2FwbP3IUylfieOeWR%2Fg%3D%3D&trackingId=beNk%2BRNnSR72aj1uO59BZA%3D%3D,Software Engineer
Web Developer,Canonical,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/web-developer-at-canonical-4284583714?position=2&pageNum=1&refId=bm1k%2FwbP3IUylfieOeWR%2Fg%3D%3D&trackingId=0%2BPkZcmCH7P6rXPYVdVxAA%3D%3D,Software Engineer
Full Stack Developer,Reaktor,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/full-stack-developer-at-reaktor-3858587662?position=3&pageNum=1&refId=bm1k%2FwbP3IUylfieOeWR%2Fg%3D%3D&trackingId=VyHdhHST%2FyK0Dyd1QiAx4w%3D%3D,Software Engineer
Smart System Engineer (Entry Level),Teleste,"Turku, Southwest Finland, Finland",https://www.linkedin.com/jobs/view/smart-system-engineer-entry-level-at-teleste-4344129859?position=4&pageNum=1&refId=bm1k%2FwbP3IUylfieOeWR%2Fg%3D%3D&trackingId=%2FvaD3S9keTvYFcUkRArFvg%3D%3D,Software Engineer
Software Engineer,Tenth Revolution Group,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/software-engineer-at-tenth-revolution-group-4343952794?position=5&pageNum=1&refId=bm1k%2FwbP3IUylfieOeWR%2Fg%3D%3D&trackingId=t%2Bg9NgB%2FFSnVFsbyrruy2w%3D%3D,Software Engineer
Associate AI & Software Engineer (entry level),Vuono Group,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/associate-ai-software-engineer-entry-level-at-vuono-group-4335553009?position=6&pageNum=1&refId=bm1k%2FwbP3IUylfieOeWR%2Fg%3D%3D&trackingId=DsFQfIfmyHr9VnpJL9BzpQ%3D%3D,Software Engineer
"Software Engineer (Go), Storage Platform",Wolt,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/software-engineer-go-storage-platform-at-wolt-4328340212?position=7&pageNum=1&refId=bm1k%2FwbP3IUylfieOeWR%2Fg%3D%3D&trackingId=mIjIJGZQ3CgOzy1mq%2FZG1A%3D%3D,Software Engineer
"Software Engineer, Platform - Europe",Speechify,Finland,https://www.linkedin.com/jobs/view/software-engineer-platform-europe-at-speechify-4288345120?position=8&pageNum=1&refId=bm1k%2FwbP3IUylfieOeWR%2Fg%3D%3D&trackingId=3J7dRQD5Jfrj9irlB%2BJ5JA%3D%3D,Software Engineer
"Senior Fullstack Engineer, Wolt Drive",Wolt,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/senior-fullstack-engineer-wolt-drive-at-wolt-4323318084?position=9&pageNum=1&refId=bm1k%2FwbP3IUylfieOeWR%2Fg%3D%3D&trackingId=FTInmIxuEbHRMH8EVkU6qA%3D%3D,Software Engineer
Java Software Engineer,Parallel Consulting,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/java-software-engineer-at-parallel-consulting-4341157513?position=10&pageNum=1&refId=bm1k%2FwbP3IUylfieOeWR%2Fg%3D%3D&trackingId=%2F1NFYH7QrShT7BHsb8ohBQ%3D%3D,Software Engineer
Software Engineer (Developer Enablement),ICEYE,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/software-engineer-developer-enablement-at-iceye-4336736867?position=1&pageNum=2&refId=nn2plTxBQXQ9yFRY9k3Slw%3D%3D&trackingId=B2hvtrGFZjqlvskimuBH%2Fg%3D%3D,Software Engineer
Full Stack Developer,Reaktor,"Turku, Southwest Finland, Finland",https://www.linkedin.com/jobs/view/full-stack-developer-at-reaktor-3866973458?position=2&pageNum=2&refId=nn2plTxBQXQ9yFRY9k3Slw%3D%3D&trackingId=6Ja0JkhoA3ZKdZ98iLZ3Bg%3D%3D,Software Engineer
"Software Developer, Frontend",Wärtsilä,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/software-developer-frontend-at-w%C3%A4rtsil%C3%A4-4344599402?position=3&pageNum=2&refId=nn2plTxBQXQ9yFRY9k3Slw%3D%3D&trackingId=rKswpvwBPF0MNmH%2BZbDmoQ%3D%3D,Software Engineer
Full Stack Node.js – Kehittäjä,PHZ Full Stack,"Helsinki, Southwest Finland, Finland",https://www.linkedin.com/jobs/view/full-stack-node-js-%E2%80%93-kehitt%C3%A4j%C3%A4-at-phz-full-stack-4070589508?position=4&pageNum=2&refId=nn2plTxBQXQ9yFRY9k3Slw%3D%3D&trackingId=oIg%2BPJQhM9Ie%2BPw38wahEQ%3D%3D,Software Engineer
Software Engineer,UpCloud,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/software-engineer-at-upcloud-4326578844?position=5&pageNum=2&refId=nn2plTxBQXQ9yFRY9k3Slw%3D%3D&trackingId=E8XekU08goypcDwI3hjFNg%3D%3D,Software Engineer
"Innovation Engineer, Software (All Levels)",ŌURA,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/innovation-engineer-software-all-levels-at-%C5%8Dura-4347444450?position=6&pageNum=2&refId=nn2plTxBQXQ9yFRY9k3Slw%3D%3D&trackingId=sWPFkWX3Ftiq207MTxns9A%3D%3D,Software Engineer
Senior Software Engineer,SIBLING,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/senior-software-engineer-at-sibling-4325780221?position=7&pageNum=2&refId=nn2plTxBQXQ9yFRY9k3Slw%3D%3D&trackingId=8B8cxGB0MmIqzTLLBophpQ%3D%3D,Software Engineer
Software Developer,Reaktor,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/software-developer-at-reaktor-4186431761?position=8&pageNum=2&refId=nn2plTxBQXQ9yFRY9k3Slw%3D%3D&trackingId=%2FWbYDEjAApzrxnpRspkJ9Q%3D%3D,Software Engineer
Front-end / Full-stack Software Engineer,Intergrid,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/front-end-full-stack-software-engineer-at-intergrid-4347670008?position=9&pageNum=2&refId=nn2plTxBQXQ9yFRY9k3Slw%3D%3D&trackingId=63M1WE6PTt5bbXpLPRFIIA%3D%3D,Software Engineer
"Software Developer, Frontend",Wärtsilä,"Vaasa, Ostrobothnia, Finland",https://www.linkedin.com/jobs/view/software-developer-frontend-at-w%C3%A4rtsil%C3%A4-4344639210?position=10&pageNum=2&refId=nn2plTxBQXQ9yFRY9k3Slw%3D%3D&trackingId=T3LIKGHPDRHse7Vf5PjUvA%3D%3D,Software Engineer
Software Developer,Nokia,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/software-developer-at-nokia-4348946329?position=1&pageNum=3&refId=sAh8jadwZy85aBPpdRFYwQ%3D%3D&trackingId=QV5%2FM5v9Br8SYtQ%2BwLMONw%3D%3D,Software Engineer
Full Stack Developer,"Solibri, Inc.","Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/full-stack-developer-at-solibri-inc-4300099744?position=2&pageNum=3&refId=sAh8jadwZy85aBPpdRFYwQ%3D%3D&trackingId=cN2J4yMATWAopev8Mqlx6w%3D%3D,Software Engineer
"Software Developer, Frontend",Wärtsilä,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/software-developer-frontend-at-w%C3%A4rtsil%C3%A4-4344649448?position=3&pageNum=3&refId=sAh8jadwZy85aBPpdRFYwQ%3D%3D&trackingId=GPBPVYcbzurO2Z%2BunyehVg%3D%3D,Software Engineer
"Software Developer, Frontend",Wärtsilä,"Turku, Southwest Finland, Finland",https://www.linkedin.com/jobs/view/software-developer-frontend-at-w%C3%A4rtsil%C3%A4-4344619499?position=4&pageNum=3&refId=sAh8jadwZy85aBPpdRFYwQ%3D%3D&trackingId=V4onMWG5FPqYVhlu%2FGJHaw%3D%3D,Software Engineer
Full-Stack Software Engineer,The Flex,Finland,https://www.linkedin.com/jobs/view/full-stack-software-engineer-at-the-flex-4342439379?position=5&pageNum=3&refId=sAh8jadwZy85aBPpdRFYwQ%3D%3D&trackingId=q8b5HRkMkLwIIisbgEH1NA%3D%3D,Software Engineer
Senior Python/Full Stack Developer (Remote),Alex Staff,Finland,https://www.linkedin.com/jobs/view/senior-python-full-stack-developer-remote-at-alex-staff-4339274239?position=6&pageNum=3&refId=sAh8jadwZy85aBPpdRFYwQ%3D%3D&trackingId=EqOKmkWxPF%2BDtKIYReyxQA%3D%3D,Software Engineer
Senior Software Engineer,SIBLING,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/senior-software-engineer-at-sibling-4348942733?position=7&pageNum=3&refId=sAh8jadwZy85aBPpdRFYwQ%3D%3D&trackingId=au8yrynhh97q%2BeKXjTIPWg%3D%3D,Software Engineer
Developer,Wärtsilä,"Vaasa, Ostrobothnia, Finland",https://www.linkedin.com/jobs/view/developer-at-w%C3%A4rtsil%C3%A4-4328971910?position=8&pageNum=3&refId=sAh8jadwZy85aBPpdRFYwQ%3D%3D&trackingId=I40E24TbpZUW3KIPwVZL1A%3D%3D,Software Engineer
Senior Python/Full Stack Developer (Remote),Alex Staff,Finland,https://www.linkedin.com/jobs/view/senior-python-full-stack-developer-remote-at-alex-staff-4342683594?position=9&pageNum=3&refId=sAh8jadwZy85aBPpdRFYwQ%3D%3D&trackingId=kgNNOiJFNXntJzhc3kzx3Q%3D%3D,Software Engineer
Full Stack Software Engineer,Marioff,"Vantaa, Uusimaa, Finland",https://www.linkedin.com/jobs/view/full-stack-software-engineer-at-marioff-4326259911?position=10&pageNum=3&refId=sAh8jadwZy85aBPpdRFYwQ%3D%3D&trackingId=Pgl4dG12O2rdIill0Rh4XQ%3D%3D,Software Engineer
Test Automation Engineer,LTIMindtree,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/test-automation-engineer-at-ltimindtree-4326738409?position=1&pageNum=4&refId=81yz%2BrYs4obLEEgjZO4Erg%3D%3D&trackingId=snVw1rTNEDb0AcOBGCXhXg%3D%3D,Software Engineer
Senior Backend Developer,LTIMindtree,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/senior-backend-developer-at-ltimindtree-4326748008?position=2&pageNum=4&refId=81yz%2BrYs4obLEEgjZO4Erg%3D%3D&trackingId=q8zNxeN7FTAxZ7BovtemKA%3D%3D,Software Engineer
Senior Software Engineer - Satellite Fleet Automation,ICEYE,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/senior-software-engineer-satellite-fleet-automation-at-iceye-4341040089?position=3&pageNum=4&refId=81yz%2BrYs4obLEEgjZO4Erg%3D%3D&trackingId=epWg4FCrqdUmD1%2FieP7rCA%3D%3D,Software Engineer
Software Engineer,Reaktor,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/software-engineer-at-reaktor-4186434575?position=4&pageNum=4&refId=81yz%2BrYs4obLEEgjZO4Erg%3D%3D&trackingId=e58t3AC0luAjJQeDoMt4Ww%3D%3D,Software Engineer
Senior AOCS Software & GNC Engineer,ICEYE,"Espoo, Uusimaa, Finland",https://www.linkedin.com/jobs/view/senior-aocs-software-gnc-engineer-at-iceye-4328945083?position=5&pageNum=4&refId=81yz%2BrYs4obLEEgjZO4Erg%3D%3D&trackingId=uzDS1hrYDDdjw%2Bt9bJpbLA%3D%3D,Software Engineer
Software Developer  (AI-Native development),Harvia,"Jyväskylä, Central Finland, Finland",https://www.linkedin.com/jobs/view/software-developer-ai-native-development-at-harvia-4340871815?position=6&pageNum=4&refId=81yz%2BrYs4obLEEgjZO4Erg%3D%3D&trackingId=VNDeeO1z4RjLEyH%2BnlqEqQ%3D%3D,Software Engineer
Senior Java Software Engineer,Inventive Search,Helsinki Metropolitan Area,https://www.linkedin.com/jobs/view/senior-java-software-engineer-at-inventive-search-4347982213?position=7&pageNum=4&refId=81yz%2BrYs4obLEEgjZO4Erg%3D%3D&trackingId=iiCKFaSDxP3ZYkt8TvWaLA%3D%3D,Software Engineer
Software Development Engineer II (Full-stack Engineer),Mapbox,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/software-development-engineer-ii-full-stack-engineer-at-mapbox-4212916344?position=8&pageNum=4&refId=81yz%2BrYs4obLEEgjZO4Erg%3D%3D&trackingId=r%2Fs6q0O9dcMZK6XtPbeIfg%3D%3D,Software Engineer
"Software Development Engineer / Full-Stack Developer, Ring",Amazon,Tampere Metropolitan Area,https://www.linkedin.com/jobs/view/software-development-engineer-full-stack-developer-ring-at-amazon-4341089688?position=9&pageNum=4&refId=81yz%2BrYs4obLEEgjZO4Erg%3D%3D&trackingId=52ILEw%2Ffb0%2FDlCCF5BY87A%3D%3D,Software Engineer
Senior Full-Stack Developer (TypeScript),The Upright Project,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/senior-full-stack-developer-typescript-at-the-upright-project-4098333365?position=10&pageNum=4&refId=81yz%2BrYs4obLEEgjZO4Erg%3D%3D&trackingId=FwuVBaKj%2FOP5Pk4R96Mr8A%3D%3D,Software Engineer
Software Developer at FinnGen,University of Helsinki,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/software-developer-at-finngen-at-university-of-helsinki-4326263817?position=1&pageNum=5&refId=nEz0BXZXBf5GTGq60GDftg%3D%3D&trackingId=1sfM52Gi5xvuHYqHmlOd4g%3D%3D,Software Engineer
"Software Engineer, Platform - Helsinki, Finland",Speechify,"Helsinki, Uusimaa, Finland",https://www.linkedin.com/jobs/view/software-engineer-platform-helsinki-finland-at-speechify-4340387478?position=2&pageNum=5&refId=nEz0BXZXBf5GTGq60GDftg%3D%3D&trackingId=HcmAgdjJDZ5w5NxDc3XgDA%3D%3D,Software Engineer
