title,company,location,link,search_keyword
Senior Scientist position (m/f/d) computational biology / bioinformatics,University Hospital Schleswig-Holstein (UKSH),"Lübeck, Schleswig-Holstein, Germany",https://www.linkedin.com/jobs/view/senior-scientist-position-m-f-d-computational-biology-bioinformatics-at-university-hospital-schleswig-holstein-uksh-4349138637?position=1&pageNum=0&refId=MHG3Qb6Dl3FvyAHcmcL7Yg%3D%3D&trackingId=3cT3NahERuUjOEojcgw%2FmQ%3D%3D,Bioinformatics Scientist
Staff Computational Biologist (d/f/m),Aignostics,"Berlin, Berlin, Germany",https://www.linkedin.com/jobs/view/staff-computational-biologist-d-f-m-at-aignostics-4345647450?position=2&pageNum=0&refId=MHG3Qb6Dl3FvyAHcmcL7Yg%3D%3D&trackingId=gncVypUlBwMfk%2F%2FMKeK6zg%3D%3D,Bioinformatics Scientist
Bioinformatiker (m/w/d),Universitätsklinikum Würzburg,"Würzburg, Bavaria, Germany",https://www.linkedin.com/jobs/view/bioinformatiker-m-w-d-at-universit%C3%A4tsklinikum-w%C3%BCrzburg-4342950806?position=3&pageNum=0&refId=MHG3Qb6Dl3FvyAHcmcL7Yg%3D%3D&trackingId=MAG5apUQKwziAnoc3c4Pcw%3D%3D,Bioinformatics Scientist
Scientist/Postdoc (m/f/d) bioinformatics and data management,University Hospital Schleswig-Holstein (UKSH),"Kiel, Schleswig-Holstein, Germany",https://www.linkedin.com/jobs/view/scientist-postdoc-m-f-d-bioinformatics-and-data-management-at-university-hospital-schleswig-holstein-uksh-4349071650?position=4&pageNum=0&refId=MHG3Qb6Dl3FvyAHcmcL7Yg%3D%3D&trackingId=NteOLS0Ff%2B4bW7LykGgSIw%3D%3D,Bioinformatics Scientist
Bioinformatician as Postdoc (m/f/d)- Deutsches Krebsforschungszentrum (DKFZ),DKFZ German Cancer Research Center,"Heidelberg, Baden-Württemberg, Germany",https://www.linkedin.com/jobs/view/bioinformatician-as-postdoc-m-f-d-deutsches-krebsforschungszentrum-dkfz-at-dkfz-german-cancer-research-center-4343158388?position=5&pageNum=0&refId=MHG3Qb6Dl3FvyAHcmcL7Yg%3D%3D&trackingId=RIM1dqcHsZgQPEG4tRX1GQ%3D%3D,Bioinformatics Scientist
Junior-Bioinformatiker/in,PathoNext GmbH,"Leipzig, Saxony, Germany",https://www.linkedin.com/jobs/view/junior-bioinformatiker-in-at-pathonext-gmbh-4347599378?position=6&pageNum=0&refId=MHG3Qb6Dl3FvyAHcmcL7Yg%3D%3D&trackingId=keSnOXmUAXIiGl1Iwmym5w%3D%3D,Bioinformatics Scientist
Staff Computational Biologist (d/f/m),Aignostics,"Berlin, Germany",https://www.linkedin.com/jobs/view/staff-computational-biologist-d-f-m-at-aignostics-4345890191?position=7&pageNum=0&refId=MHG3Qb6Dl3FvyAHcmcL7Yg%3D%3D&trackingId=uHw5VZH2CkJB85TWrIeWBg%3D%3D,Bioinformatics Scientist
Informatiker/in / Bioinformatiker/in (w/m/d),Universitätsklinikum Ulm,"Ulm, Baden-Württemberg, Germany",https://www.linkedin.com/jobs/view/informatiker-in-bioinformatiker-in-w-m-d-at-universit%C3%A4tsklinikum-ulm-4349671636?position=8&pageNum=0&refId=MHG3Qb6Dl3FvyAHcmcL7Yg%3D%3D&trackingId=reGkoU6XTUX8eXH9i%2BvQhA%3D%3D,Bioinformatics Scientist
PhD-Level Computational Biologist — Design Data-Centric Benchmarks for AI Models,Mercor,"Berlin, Berlin, Germany",https://www.linkedin.com/jobs/view/phd-level-computational-biologist-%E2%80%94-design-data-centric-benchmarks-for-ai-models-at-mercor-4326270757?position=9&pageNum=0&refId=MHG3Qb6Dl3FvyAHcmcL7Yg%3D%3D&trackingId=9aFiEz1QyZy%2FPCcrIDXWKA%3D%3D,Bioinformatics Scientist
Bioinformatiker/ Bioinformatikerin (m/w/d) Genetische Forschung,Universitätsklinikum Carl Gustav Carus Dresden,"Dresden, Saxony, Germany",https://www.linkedin.com/jobs/view/bioinformatiker-bioinformatikerin-m-w-d-genetische-forschung-at-universit%C3%A4tsklinikum-carl-gustav-carus-dresden-4325855238?position=10&pageNum=0&refId=MHG3Qb6Dl3FvyAHcmcL7Yg%3D%3D&trackingId=vgE5pCZvJBfZnHi3t66qyA%3D%3D,Bioinformatics Scientist
Head of Bioinformatics Facility (m/f/d),Max Planck Society,"Freiburg, Baden-Württemberg, Germany",https://www.linkedin.com/jobs/view/head-of-bioinformatics-facility-m-f-d-at-max-planck-society-4337918175?position=1&pageNum=1&refId=yzrK%2FwZj8yWDfA8CTvkUkg%3D%3D&trackingId=xrAJNvUQgqNGvVvlng5AbA%3D%3D,Bioinformatics Scientist
Junior Bioinformatiker / Data Scientist (m/w/x),Medicover Diagnostics,"Martinsried, Bavaria, Germany",https://www.linkedin.com/jobs/view/junior-bioinformatiker-data-scientist-m-w-x-at-medicover-diagnostics-4344332120?position=2&pageNum=1&refId=yzrK%2FwZj8yWDfA8CTvkUkg%3D%3D&trackingId=2b6QpT%2FtgGJw1u6Ac8EOlQ%3D%3D,Bioinformatics Scientist
Doktorand Bioinformatik (m/w/d)- Technische Universität Dresden,Technische Universität Dresden,"Dresden, Saxony, Germany",https://www.linkedin.com/jobs/view/doktorand-bioinformatik-m-w-d-technische-universit%C3%A4t-dresden-at-technische-universit%C3%A4t-dresden-4343190981?position=3&pageNum=1&refId=yzrK%2FwZj8yWDfA8CTvkUkg%3D%3D&trackingId=1xKH9VJ7tUe8Yi2zWJyjsQ%3D%3D,Bioinformatics Scientist
"Postdoc Bioinformatics - Microbiology, Molecular Biology (m/f/d)- Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH",Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,"Brunswick, Lower Saxony, Germany",https://www.linkedin.com/jobs/view/postdoc-bioinformatics-microbiology-molecular-biology-m-f-d-leibniz-institut-dsmz-deutsche-sammlung-von-mikroorganismen-und-zellkulturen-gmbh-at-leibniz-institute-dsmz-%E2%80%93-german-collection-of-microorganisms-and-cell-cultures-4344150897?position=4&pageNum=1&refId=yzrK%2FwZj8yWDfA8CTvkUkg%3D%3D&trackingId=iGplwKAfq4GnUP6Cxy0zNg%3D%3D,Bioinformatics Scientist
Studentische Hilfskraft mit Masterarbeit - Bioinformatik & datengetriebene Diagnostik (all genders),Fraunhofer Institute for Interfacial Engineering and Biotechnology,"Stuttgart, Baden-Württemberg, Germany",https://www.linkedin.com/jobs/view/studentische-hilfskraft-mit-masterarbeit-bioinformatik-datengetriebene-diagnostik-all-genders-at-fraunhofer-institute-for-interfacial-engineering-and-biotechnology-4324535286?position=5&pageNum=1&refId=yzrK%2FwZj8yWDfA8CTvkUkg%3D%3D&trackingId=jHhIh%2F07bsQN%2FvPzWTj1vw%3D%3D,Bioinformatics Scientist
Wissenschaftliches Personal,Technische Universität München (Technical University of Munich),"Munich, Bavaria, Germany",https://www.linkedin.com/jobs/view/wissenschaftliches-personal-at-technische-universit%C3%A4t-m%C3%BCnchen-technical-university-of-munich-4199710160?position=6&pageNum=1&refId=yzrK%2FwZj8yWDfA8CTvkUkg%3D%3D&trackingId=9B2HQw32cTiJ5ydq0qzyaA%3D%3D,Bioinformatics Scientist
Postdoc in bioinformatics (scRNAseq data analysis),Technische Universität München (Technical University of Munich),"Munich, Bavaria, Germany",https://www.linkedin.com/jobs/view/postdoc-in-bioinformatics-scrnaseq-data-analysis-at-technische-universit%C3%A4t-m%C3%BCnchen-technical-university-of-munich-4199700579?position=7&pageNum=1&refId=yzrK%2FwZj8yWDfA8CTvkUkg%3D%3D&trackingId=uYpSxGbjLPFCDW%2BKeSYrhQ%3D%3D,Bioinformatics Scientist
Wissenschaftlicher Mitarbeiter (gn*) Humangenetik / Bioinformatik,Universitätsklinikum Münster,"Münster, North Rhine-Westphalia, Germany",https://www.linkedin.com/jobs/view/wissenschaftlicher-mitarbeiter-gn-humangenetik-bioinformatik-at-universit%C3%A4tsklinikum-m%C3%BCnster-4326562798?position=8&pageNum=1&refId=yzrK%2FwZj8yWDfA8CTvkUkg%3D%3D&trackingId=XRrgpJaKCsLESy0BTPvECA%3D%3D,Bioinformatics Scientist
"Studentische Hilfskraft Informatik, Bioinformatik (m/w/d)- Leibniz-Institut für Analytische Wissenschaften - ISAS - e. V.",Leibniz-Institut für Analytische Wissenschaften – ISAS – e.V.,"Dortmund, North Rhine-Westphalia, Germany",https://www.linkedin.com/jobs/view/studentische-hilfskraft-informatik-bioinformatik-m-w-d-leibniz-institut-f%C3%BCr-analytische-wissenschaften-isas-e-v-at-leibniz-institut-f%C3%BCr-analytische-wissenschaften-%E2%80%93-isas-%E2%80%93-e-v-4341793720?position=9&pageNum=1&refId=yzrK%2FwZj8yWDfA8CTvkUkg%3D%3D&trackingId=cW3wUIh8Z%2FYzr87ZOQYPgA%3D%3D,Bioinformatics Scientist
Software Developer (m/w/d) mit CI/CD- & Container-Erfahrung (Ref.Nr.: 45934),Wavestone,Germany,https://www.linkedin.com/jobs/view/software-developer-m-w-d-mit-ci-cd-container-erfahrung-ref-nr-45934-at-wavestone-4345984344?position=1&pageNum=0&refId=gPOvFKIGZsqViHiyuoTqag%3D%3D&trackingId=OfhFL0W%2FoiHnqfZDeKAC5Q%3D%3D,Bioinformatics Software Engineer
"Research Engineer, Applied AI",kapa.ai,Germany,https://www.linkedin.com/jobs/view/research-engineer-applied-ai-at-kapa-ai-4231617928?position=2&pageNum=0&refId=gPOvFKIGZsqViHiyuoTqag%3D%3D&trackingId=eM6BJKp381Tq2uof5Y%2B5iQ%3D%3D,Bioinformatics Software Engineer
