title,company,location,link,search_keyword
Bilingual Expert,FreshTalent,Madagascar,https://www.linkedin.com/jobs/view/bilingual-expert-at-freshtalent-4333891452?position=1&pageNum=0&refId=6%2BbHgHbev5GMUETE0VRpSw%3D%3D&trackingId=0i7SztKpasvzk3u%2FGASfrw%3D%3D,Cryptographer
"Développeur C++ / Linux embarqué - Antananarivo, Madagascar  (H/F)",Astek,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-c%2B%2B-linux-embarqu%C3%A9-antananarivo-madagascar-h-f-at-astek-4163540234?position=2&pageNum=0&refId=6%2BbHgHbev5GMUETE0VRpSw%3D%3D&trackingId=DwHuL3zGtOJYP2%2BOAMWn6w%3D%3D,Cryptographer
DevSecOps Senior (Freelance/Part-Time),fluentech,Madagascar,https://www.linkedin.com/jobs/view/devsecops-senior-freelance-part-time-at-fluentech-4344616101?position=3&pageNum=0&refId=6%2BbHgHbev5GMUETE0VRpSw%3D%3D&trackingId=uuYnuoRShTh9K7p8VYHCMQ%3D%3D,Cryptographer
Développeur Go (Golang),Novity Madagascar,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-go-golang-at-novity-madagascar-4325776127?position=4&pageNum=0&refId=6%2BbHgHbev5GMUETE0VRpSw%3D%3D&trackingId=qUb0M%2BcYriDBd6h9CiDf8w%3D%3D,Cryptographer
RESPONSABLE POLE APPLICATIF,TALYS Group,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/responsable-pole-applicatif-at-talys-group-4343972016?position=5&pageNum=0&refId=6%2BbHgHbev5GMUETE0VRpSw%3D%3D&trackingId=IUdKmCbPf%2B30GKWxqV08JA%3D%3D,Cryptographer
Zoho Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/zoho-developer-at-odixcity-consulting-4345646385?position=6&pageNum=0&refId=6%2BbHgHbev5GMUETE0VRpSw%3D%3D&trackingId=LBeEC9IzIdd7iiudWaDZAA%3D%3D,Cryptographer
Cloud Engineer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/cloud-engineer-at-odixcity-consulting-4336235167?position=7&pageNum=0&refId=6%2BbHgHbev5GMUETE0VRpSw%3D%3D&trackingId=RZ8A5fKVRX6XsXj9hV7Rbg%3D%3D,Cryptographer
Python Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/python-developer-at-odixcity-consulting-4335906997?position=8&pageNum=0&refId=6%2BbHgHbev5GMUETE0VRpSw%3D%3D&trackingId=gP5ZKXWkUrsPDaOW%2FE0wmA%3D%3D,Cryptographer
DevOps Engineer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/devops-engineer-at-odixcity-consulting-4336075537?position=9&pageNum=0&refId=6%2BbHgHbev5GMUETE0VRpSw%3D%3D&trackingId=uZuS7rsbw0yobM09s33P%2Bw%3D%3D,Cryptographer
"Back-End Developer, Course Design",Onja,"Toamasina, Atsinanana, Madagascar",https://www.linkedin.com/jobs/view/back-end-developer-course-design-at-onja-4335383476?position=10&pageNum=0&refId=6%2BbHgHbev5GMUETE0VRpSw%3D%3D&trackingId=Raao6pz7Mqxjlc%2FuPvTn4g%3D%3D,Cryptographer
Développeur Odoo,Captivea Madagascar,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-odoo-at-captivea-madagascar-4290809122?position=1&pageNum=1&refId=fkFGMyziNS6gPYjxvV7Slg%3D%3D&trackingId=AyeVvQ%2FBIIpocPd4haK%2FRw%3D%3D,Cryptographer
Swift Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/swift-developer-at-odixcity-consulting-4335867134?position=2&pageNum=1&refId=fkFGMyziNS6gPYjxvV7Slg%3D%3D&trackingId=steL2Eb4usKdHFi5tz5yjQ%3D%3D,Cryptographer
Software Engineer,Flourish Health,Madagascar,https://www.linkedin.com/jobs/view/software-engineer-at-flourish-health-4264213349?position=3&pageNum=1&refId=fkFGMyziNS6gPYjxvV7Slg%3D%3D&trackingId=nPVOCiZzHEN4x5IvmLk1CA%3D%3D,Cryptographer
Machine Learning Expert,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/machine-learning-expert-at-odixcity-consulting-4335867130?position=4&pageNum=1&refId=fkFGMyziNS6gPYjxvV7Slg%3D%3D&trackingId=5uoocWGh29FtnZF%2B9a6fNQ%3D%3D,Cryptographer
"Ingénieur DevOps - Antananarivo, Madagascar  (H/F)",Astek,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/ing%C3%A9nieur-devops-antananarivo-madagascar-h-f-at-astek-4313078898?position=5&pageNum=1&refId=fkFGMyziNS6gPYjxvV7Slg%3D%3D&trackingId=oMSUqtrlfu19tRITjiSYaw%3D%3D,Cryptographer
NLP Engineer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/nlp-engineer-at-odixcity-consulting-4336066438?position=6&pageNum=1&refId=fkFGMyziNS6gPYjxvV7Slg%3D%3D&trackingId=LiDcn0NKTtKvQbL2NYlRtg%3D%3D,Cryptographer
