title,company,location,link,search_keyword
Data Scientist,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/data-scientist-at-odixcity-consulting-4336245198?position=1&pageNum=0&refId=vPS9eiLWuWFbEP18Lo785Q%3D%3D&trackingId=96ZM7xpXM8E8xpH8A2k4Bg%3D%3D,Data Scientist
Machine Learning Expert,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/machine-learning-expert-at-odixcity-consulting-4335867130?position=2&pageNum=0&refId=vPS9eiLWuWFbEP18Lo785Q%3D%3D&trackingId=UKWkwY0Ac07aNzZpEydUsA%3D%3D,Data Scientist
NLP Engineer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/nlp-engineer-at-odixcity-consulting-4336066438?position=3&pageNum=0&refId=vPS9eiLWuWFbEP18Lo785Q%3D%3D&trackingId=sOLPcoFd4DtIUOjRjz89fA%3D%3D,Data Scientist
Python Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/python-developer-at-odixcity-consulting-4335906997?position=4&pageNum=0&refId=vPS9eiLWuWFbEP18Lo785Q%3D%3D&trackingId=v%2BsDMSg5hxxHgB27EcbE3A%3D%3D,Data Scientist
Swift Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/swift-developer-at-odixcity-consulting-4335867134?position=5&pageNum=0&refId=vPS9eiLWuWFbEP18Lo785Q%3D%3D&trackingId=wQmZlzjtx%2BP8lRg%2FIQsyfA%3D%3D,Data Scientist
Zoho Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/zoho-developer-at-odixcity-consulting-4345646385?position=6&pageNum=0&refId=vPS9eiLWuWFbEP18Lo785Q%3D%3D&trackingId=uAgbt%2BzmA3J5duCtEK%2FIsg%3D%3D,Data Scientist
"Full Stack Developer, Course Design",Onja,"Toamasina, Atsinanana, Madagascar",https://www.linkedin.com/jobs/view/full-stack-developer-course-design-at-onja-4335553200?position=7&pageNum=0&refId=vPS9eiLWuWFbEP18Lo785Q%3D%3D&trackingId=swAOKQsGT8VN%2FHdkCrqaZQ%3D%3D,Data Scientist
Software Engineer,Flourish Health,Madagascar,https://www.linkedin.com/jobs/view/software-engineer-at-flourish-health-4264213349?position=8&pageNum=0&refId=vPS9eiLWuWFbEP18Lo785Q%3D%3D&trackingId=Q9vwWURs2PZbI8Gz3lcAbQ%3D%3D,Data Scientist
"Ingénieur DevOps - Antananarivo, Madagascar  (H/F)",Astek,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/ing%C3%A9nieur-devops-antananarivo-madagascar-h-f-at-astek-4313078898?position=9&pageNum=0&refId=vPS9eiLWuWFbEP18Lo785Q%3D%3D&trackingId=4TDGKTQwUj7QxKWMa%2F3lRw%3D%3D,Data Scientist
DevSecOps Senior (Freelance/Part-Time),fluentech,Madagascar,https://www.linkedin.com/jobs/view/devsecops-senior-freelance-part-time-at-fluentech-4344616101?position=10&pageNum=0&refId=vPS9eiLWuWFbEP18Lo785Q%3D%3D&trackingId=JnJ%2Fg0J142vkjCF6%2BqSTaA%3D%3D,Data Scientist
Développeur Fullstack Odoo,Captivea Madagascar,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-fullstack-odoo-at-captivea-madagascar-4320732534?position=1&pageNum=1&refId=%2FJbnpM%2F77JVSr1EXDelYww%3D%3D&trackingId=6db2tgYGPWDLJfoWELh%2B6w%3D%3D,Data Scientist
"Back-End Developer, Course Design",Onja,"Toamasina, Atsinanana, Madagascar",https://www.linkedin.com/jobs/view/back-end-developer-course-design-at-onja-4335383476?position=2&pageNum=1&refId=%2FJbnpM%2F77JVSr1EXDelYww%3D%3D&trackingId=vD5cTlDb7SYQq5V2JrhONQ%3D%3D,Data Scientist
Développeur Talend,Pulse,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-talend-at-pulse-4349695284?position=3&pageNum=1&refId=%2FJbnpM%2F77JVSr1EXDelYww%3D%3D&trackingId=coJoUXVEhqaQ%2FJiIJQJwSg%3D%3D,Data Scientist
JavaScript Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/javascript-developer-at-odixcity-consulting-4289806779?position=4&pageNum=1&refId=%2FJbnpM%2F77JVSr1EXDelYww%3D%3D&trackingId=he4MPtBMHieybH6XxISkhA%3D%3D,Data Scientist
𝐅𝐎𝐑𝐌𝐀𝐓𝐄𝐔𝐑𝐒·𝐂𝐎𝐍𝐒𝐔𝐋𝐓𝐀𝐍𝐓𝐒 𝐃𝐀𝐓𝐀 𝐀𝐍𝐀𝐋𝐘𝐒𝐓,HIPPOCAMP,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/%F0%9D%90%85%F0%9D%90%8E%F0%9D%90%91%F0%9D%90%8C%F0%9D%90%80%F0%9D%90%93%F0%9D%90%84%F0%9D%90%94%F0%9D%90%91%F0%9D%90%92%C2%B7%F0%9D%90%82%F0%9D%90%8E%F0%9D%90%8D%F0%9D%90%92%F0%9D%90%94%F0%9D%90%8B%F0%9D%90%93%F0%9D%90%80%F0%9D%90%8D%F0%9D%90%93%F0%9D%90%92-%F0%9D%90%83%F0%9D%90%80%F0%9D%90%93%F0%9D%90%80-%F0%9D%90%80%F0%9D%90%8D%F0%9D%90%80%F0%9D%90%8B%F0%9D%90%98%F0%9D%90%92%F0%9D%90%93-at-hippocamp-4345852244?position=5&pageNum=1&refId=%2FJbnpM%2F77JVSr1EXDelYww%3D%3D&trackingId=ADsLZgjaKgGq2Mlx%2Fhyrng%3D%3D,Data Scientist
Développeur Odoo,Captivea Madagascar,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-odoo-at-captivea-madagascar-4290809122?position=6&pageNum=1&refId=%2FJbnpM%2F77JVSr1EXDelYww%3D%3D&trackingId=DgEcHjS6Waxrb%2FX82OHBTQ%3D%3D,Data Scientist
"Développeur C++ / Linux embarqué - Antananarivo, Madagascar  (H/F)",Astek,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-c%2B%2B-linux-embarqu%C3%A9-antananarivo-madagascar-h-f-at-astek-4163540234?position=7&pageNum=1&refId=%2FJbnpM%2F77JVSr1EXDelYww%3D%3D&trackingId=1mT9OC9YUXQe7VBTt3u7hQ%3D%3D,Data Scientist
Full-Stack Software Engineer,The Flex,Madagascar,https://www.linkedin.com/jobs/view/full-stack-software-engineer-at-the-flex-4342459346?position=8&pageNum=1&refId=%2FJbnpM%2F77JVSr1EXDelYww%3D%3D&trackingId=ZfAfuql5%2FyQjRHhpou%2BAnw%3D%3D,Data Scientist
Cloud Engineer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/cloud-engineer-at-odixcity-consulting-4336235167?position=10&pageNum=1&refId=%2FJbnpM%2F77JVSr1EXDelYww%3D%3D&trackingId=dxlZX5IsoKD2VzuJFC4jQQ%3D%3D,Data Scientist
Développeur Full Stack Sénior,HDB Solutions,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-full-stack-s%C3%A9nior-at-hdb-solutions-4221722428?position=1&pageNum=2&refId=uq75y4ZWMl9Ilnp2knagNg%3D%3D&trackingId=RiYLRMYLs3a4qxn4HVPZHQ%3D%3D,Data Scientist
DevOps SRE (Site Reliability Engineer),Novity Madagascar,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/devops-sre-site-reliability-engineer-at-novity-madagascar-4319129037?position=2&pageNum=2&refId=uq75y4ZWMl9Ilnp2knagNg%3D%3D&trackingId=4gsYFc1ZLNwmFC%2B40BXR5w%3D%3D,Data Scientist
DevOps Engineer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/devops-engineer-at-odixcity-consulting-4336075537?position=3&pageNum=2&refId=uq75y4ZWMl9Ilnp2knagNg%3D%3D&trackingId=eV7S8BFxRvC74SSOnjRLew%3D%3D,Data Scientist
DÉVELOPPEUR SENIOR FULL STACK (DSFS0125),Publika Group,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-senior-full-stack-dsfs0125-at-publika-group-4134267834?position=4&pageNum=2&refId=uq75y4ZWMl9Ilnp2knagNg%3D%3D&trackingId=g2w2MHG1qjiAqY674DNLHA%3D%3D,Data Scientist
iOS Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/ios-developer-at-odixcity-consulting-4335837193?position=5&pageNum=2&refId=uq75y4ZWMl9Ilnp2knagNg%3D%3D&trackingId=BrT9IT6qIY1Em9EFbVBJng%3D%3D,Data Scientist
Data Analyst,MaaSil Inc - Tops profils temps plein de Madagascar / Maurice / Bénin,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/data-analyst-at-maasil-inc-tops-profils-temps-plein-de-madagascar-maurice-b%C3%A9nin-4328137564?position=6&pageNum=2&refId=uq75y4ZWMl9Ilnp2knagNg%3D%3D&trackingId=i21hYzVT0nu11z9SLUd%2FAQ%3D%3D,Data Scientist
"Senior Full-Stack JS Developer (Node.js, React)",CobbleWeb - The Online Marketplace Experts,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/senior-full-stack-js-developer-node-js-react-at-cobbleweb-the-online-marketplace-experts-4258453790?position=7&pageNum=2&refId=uq75y4ZWMl9Ilnp2knagNg%3D%3D&trackingId=94rr06ZyNU4OPN3cYazmaA%3D%3D,Data Scientist
Bilingual Expert,FreshTalent,Madagascar,https://www.linkedin.com/jobs/view/bilingual-expert-at-freshtalent-4333891452?position=8&pageNum=2&refId=uq75y4ZWMl9Ilnp2knagNg%3D%3D&trackingId=3ih3YMdcWyeC6eYfpRiNXw%3D%3D,Data Scientist
Développeurs Seniors Fullstack React / Node,Novity Madagascar,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeurs-seniors-fullstack-react-node-at-novity-madagascar-4320718160?position=9&pageNum=2&refId=uq75y4ZWMl9Ilnp2knagNg%3D%3D&trackingId=s2AJ0K8xT3ybhZ%2FPPsSmMQ%3D%3D,Data Scientist
Data Analyst,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/data-analyst-at-odixcity-consulting-4336245188?position=10&pageNum=2&refId=uq75y4ZWMl9Ilnp2knagNg%3D%3D&trackingId=5aKm5Zrot2J5UkRZw0uUCQ%3D%3D,Data Scientist
Data Analyst FR/EN,MaaSil Inc - Tops profils temps plein de Madagascar / Maurice / Bénin,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/data-analyst-fr-en-at-maasil-inc-tops-profils-temps-plein-de-madagascar-maurice-b%C3%A9nin-4326832999?position=1&pageNum=3&refId=QzrNiw5mwca%2BB6dbCes39w%3D%3D&trackingId=F37y7JVDw%2FpDWRop%2BuT55g%3D%3D,Data Scientist
Développeur Go (Golang),Novity Madagascar,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-go-golang-at-novity-madagascar-4325776127?position=2&pageNum=3&refId=QzrNiw5mwca%2BB6dbCes39w%3D%3D&trackingId=MIbOEgtv7aS%2F6uFijxzXEg%3D%3D,Data Scientist
Développeur Java Spring Boot / Angular,INTELCIA,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-java-spring-boot-angular-at-intelcia-4334218912?position=3&pageNum=3&refId=QzrNiw5mwca%2BB6dbCes39w%3D%3D&trackingId=8ZM2FcQ1NsxRXKn5Chdefg%3D%3D,Data Scientist
Développeur Java (senior),Novity Madagascar,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-java-senior-at-novity-madagascar-4308588193?position=4&pageNum=3&refId=QzrNiw5mwca%2BB6dbCes39w%3D%3D&trackingId=I69e33XVz%2BI2Bjp3yM8bAA%3D%3D,Data Scientist
Full-stack developer with focus on Angular (Located geographically in EMEA),Acro Companion,Madagascar,https://www.linkedin.com/jobs/view/full-stack-developer-with-focus-on-angular-located-geographically-in-emea-at-acro-companion-4332018282?position=5&pageNum=3&refId=QzrNiw5mwca%2BB6dbCes39w%3D%3D&trackingId=vthjvYv%2BEfxSxXynMj9YWw%3D%3D,Data Scientist
RESPONSABLE POLE APPLICATIF,TALYS Group,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/responsable-pole-applicatif-at-talys-group-4343972016?position=6&pageNum=3&refId=QzrNiw5mwca%2BB6dbCes39w%3D%3D&trackingId=J8bLfl4oAJz3fw0TWgTsCA%3D%3D,Data Scientist
Machine Learning Expert,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/machine-learning-expert-at-odixcity-consulting-4335867130?position=1&pageNum=0&refId=AHjh3XeL2iXuTHVFClHrxA%3D%3D&trackingId=Lc3bBOSnGhr02pHn6n3nOw%3D%3D,Applied Scientist
Data Scientist,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/data-scientist-at-odixcity-consulting-4336245198?position=2&pageNum=0&refId=AHjh3XeL2iXuTHVFClHrxA%3D%3D&trackingId=RxG0CA18bKXUB2Xhbd4Suw%3D%3D,Applied Scientist
NLP Engineer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/nlp-engineer-at-odixcity-consulting-4336066438?position=3&pageNum=0&refId=AHjh3XeL2iXuTHVFClHrxA%3D%3D&trackingId=0mE%2BgMsBdFjllK%2F5wu0Opg%3D%3D,Applied Scientist
Python Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/python-developer-at-odixcity-consulting-4335906997?position=4&pageNum=0&refId=AHjh3XeL2iXuTHVFClHrxA%3D%3D&trackingId=y4hUFigWmnMPPMDcpt%2FOOA%3D%3D,Applied Scientist
Zoho Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/zoho-developer-at-odixcity-consulting-4345646385?position=5&pageNum=0&refId=AHjh3XeL2iXuTHVFClHrxA%3D%3D&trackingId=WC2GCCNBAUEBUA4eyi%2FdmQ%3D%3D,Applied Scientist
Swift Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/swift-developer-at-odixcity-consulting-4335867134?position=6&pageNum=0&refId=AHjh3XeL2iXuTHVFClHrxA%3D%3D&trackingId=9S716Tn3mNPA%2FEqf3OlQXw%3D%3D,Applied Scientist
"Full Stack Developer, Course Design",Onja,"Toamasina, Atsinanana, Madagascar",https://www.linkedin.com/jobs/view/full-stack-developer-course-design-at-onja-4335553200?position=7&pageNum=0&refId=AHjh3XeL2iXuTHVFClHrxA%3D%3D&trackingId=xDnLDHMAXRlNX8SOSbIqRw%3D%3D,Applied Scientist
Bilingual Expert,FreshTalent,Madagascar,https://www.linkedin.com/jobs/view/bilingual-expert-at-freshtalent-4333891452?position=8&pageNum=0&refId=AHjh3XeL2iXuTHVFClHrxA%3D%3D&trackingId=sTwsaztjNQ%2BE85a5BkrZ0w%3D%3D,Applied Scientist
DevSecOps Senior (Freelance/Part-Time),fluentech,Madagascar,https://www.linkedin.com/jobs/view/devsecops-senior-freelance-part-time-at-fluentech-4344616101?position=9&pageNum=0&refId=AHjh3XeL2iXuTHVFClHrxA%3D%3D&trackingId=HQS7sId9guWQGLg4noDw6A%3D%3D,Applied Scientist
"Développeur C++ / Linux embarqué - Antananarivo, Madagascar  (H/F)",Astek,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-c%2B%2B-linux-embarqu%C3%A9-antananarivo-madagascar-h-f-at-astek-4163540234?position=1&pageNum=1&refId=ySpdCJjetA%2FMc3M%2Fk75Vrg%3D%3D&trackingId=EGno4Tmxsz4CmgjbSIMiIw%3D%3D,Applied Scientist
"Back-End Developer, Course Design",Onja,"Toamasina, Atsinanana, Madagascar",https://www.linkedin.com/jobs/view/back-end-developer-course-design-at-onja-4335383476?position=2&pageNum=1&refId=ySpdCJjetA%2FMc3M%2Fk75Vrg%3D%3D&trackingId=JCc5AjiXkpMcGeeZruHxCg%3D%3D,Applied Scientist
Software Engineer,Flourish Health,Madagascar,https://www.linkedin.com/jobs/view/software-engineer-at-flourish-health-4264213349?position=3&pageNum=1&refId=ySpdCJjetA%2FMc3M%2Fk75Vrg%3D%3D&trackingId=%2Bl5kAjyiwUJ%2B%2BQObcssvlg%3D%3D,Applied Scientist
"Ingénieur DevOps - Antananarivo, Madagascar  (H/F)",Astek,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/ing%C3%A9nieur-devops-antananarivo-madagascar-h-f-at-astek-4313078898?position=4&pageNum=1&refId=ySpdCJjetA%2FMc3M%2Fk75Vrg%3D%3D&trackingId=McxTb%2FlVGaGIHw%2BFU1WO4w%3D%3D,Applied Scientist
JavaScript Developer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/javascript-developer-at-odixcity-consulting-4289806779?position=5&pageNum=1&refId=ySpdCJjetA%2FMc3M%2Fk75Vrg%3D%3D&trackingId=h06gDh%2BqQUpypwADGbGFZg%3D%3D,Applied Scientist
Full-Stack Software Engineer,The Flex,Madagascar,https://www.linkedin.com/jobs/view/full-stack-software-engineer-at-the-flex-4342459346?position=6&pageNum=1&refId=ySpdCJjetA%2FMc3M%2Fk75Vrg%3D%3D&trackingId=6qwsfcKM5NLtzcjADLdCwg%3D%3D,Applied Scientist
Cloud Engineer,Odixcity Consulting,Madagascar,https://www.linkedin.com/jobs/view/cloud-engineer-at-odixcity-consulting-4336235167?position=7&pageNum=1&refId=ySpdCJjetA%2FMc3M%2Fk75Vrg%3D%3D&trackingId=WmC0jZZlpDfDx4PDUbiagA%3D%3D,Applied Scientist
Développeur Fullstack Odoo,Captivea Madagascar,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-fullstack-odoo-at-captivea-madagascar-4320732534?position=8&pageNum=1&refId=ySpdCJjetA%2FMc3M%2Fk75Vrg%3D%3D&trackingId=PHlx%2BSlP6JECYOlBKpRp0A%3D%3D,Applied Scientist
Développeur Talend,Pulse,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-talend-at-pulse-4349695284?position=9&pageNum=1&refId=ySpdCJjetA%2FMc3M%2Fk75Vrg%3D%3D&trackingId=PNdhzW2gncucDgO%2FjVH38g%3D%3D,Applied Scientist
DÉVELOPPEUR SENIOR FULL STACK (DSFS0125),Publika Group,"Antananarivo, Analamanga, Madagascar",https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-senior-full-stack-dsfs0125-at-publika-group-4134267834?position=10&pageNum=1&refId=ySpdCJjetA%2FMc3M%2Fk75Vrg%3D%3D&trackingId=q1bf%2FIPUbKjthm3YF3oi9Q%3D%3D,Applied Scientist
