title,company,location,link,search_keyword
Data Scientist / ML Engineer,Coface,"Mechouar, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/data-scientist-ml-engineer-at-coface-4350216352?position=1&pageNum=0&refId=AU254UJUDZ7cO53m1qqPfg%3D%3D&trackingId=vKpmHoVfiuKXLlfAgB4o3Q%3D%3D,Bioinformatics Software Engineer
AD Software Engineer - Junior H/F,Stellantis,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/ad-software-engineer-junior-h-f-at-stellantis-4328711060?position=2&pageNum=0&refId=AU254UJUDZ7cO53m1qqPfg%3D%3D&trackingId=ectvqYJ%2FkEQ4DZci5KQOlg%3D%3D,Bioinformatics Software Engineer
Développeur Python F/H,VISEO,Morocco,https://www.linkedin.com/jobs/view/d%C3%A9veloppeur-python-f-h-at-viseo-4323266713?position=3&pageNum=0&refId=AU254UJUDZ7cO53m1qqPfg%3D%3D&trackingId=OOOw5c8HrGG2F2U3WwZ56w%3D%3D,Bioinformatics Software Engineer
Python Developper,Stream Lean,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/python-developper-at-stream-lean-4292185194?position=4&pageNum=0&refId=AU254UJUDZ7cO53m1qqPfg%3D%3D&trackingId=rXXxW80aZgiYAJyIAA0U4w%3D%3D,Bioinformatics Software Engineer
Python Developer,Odixcity Consulting,Morocco,https://www.linkedin.com/jobs/view/python-developer-at-odixcity-consulting-4335966687?position=5&pageNum=0&refId=AU254UJUDZ7cO53m1qqPfg%3D%3D&trackingId=jNy%2BzFNb2gklCxjRsBZ8%2FQ%3D%3D,Bioinformatics Software Engineer
Python Developer,Odixcity Consulting,"Western Sahara, Morocco",https://www.linkedin.com/jobs/view/python-developer-at-odixcity-consulting-4336046481?position=6&pageNum=0&refId=AU254UJUDZ7cO53m1qqPfg%3D%3D&trackingId=cI9xHleuQ2Rd1qxMFbKPmg%3D%3D,Bioinformatics Software Engineer
Stage PFE- Data Scientist H/F,BMCE Capital,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/stage-pfe-data-scientist-h-f-at-bmce-capital-4341571302?position=7&pageNum=0&refId=AU254UJUDZ7cO53m1qqPfg%3D%3D&trackingId=QB9liMyINg11moycT4WDoQ%3D%3D,Bioinformatics Software Engineer
Stagiaire Data Scientist,LabelVie,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/stagiaire-data-scientist-at-labelvie-4348601717?position=8&pageNum=0&refId=AU254UJUDZ7cO53m1qqPfg%3D%3D&trackingId=ZrXl%2BKfSf%2F3QFT2ONk%2Fprw%3D%3D,Bioinformatics Software Engineer
Research & Development Engineer – AI and Machine Learning,Smartly.AI,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/research-development-engineer-%E2%80%93-ai-and-machine-learning-at-smartly-ai-4302329435?position=9&pageNum=0&refId=AU254UJUDZ7cO53m1qqPfg%3D%3D&trackingId=WARFaFZMAGZ1pP9RkTPieg%3D%3D,Bioinformatics Software Engineer
Machine Learning Engineer,Admiral Digital Consulting,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-admiral-digital-consulting-4296040958?position=1&pageNum=1&refId=8mzpr0OOJIZrz2xpgdShkA%3D%3D&trackingId=FUleBv3Qvdm9Ai2eU8PfVQ%3D%3D,Bioinformatics Software Engineer
Software Engineer – Machine Learning,Aptiv,"Tangier, Tanger-Tetouan-Al Hoceima, Morocco",https://www.linkedin.com/jobs/view/software-engineer-%E2%80%93-machine-learning-at-aptiv-4342331721?position=2&pageNum=1&refId=8mzpr0OOJIZrz2xpgdShkA%3D%3D&trackingId=5ffGQGBFgkmLIUlzRmeKrw%3D%3D,Bioinformatics Software Engineer
Senior Data Scientist (Python) (H/F),AfricaWork,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/senior-data-scientist-python-h-f-at-africawork-4346262274?position=3&pageNum=1&refId=8mzpr0OOJIZrz2xpgdShkA%3D%3D&trackingId=Dp60vhC1DExrjwGsAIn7EQ%3D%3D,Bioinformatics Software Engineer
Software Engineer in Test (SDET),ProgressSoft Corporation,Morocco,https://www.linkedin.com/jobs/view/software-engineer-in-test-sdet-at-progresssoft-corporation-4337866803?position=4&pageNum=1&refId=8mzpr0OOJIZrz2xpgdShkA%3D%3D&trackingId=LgixDWw5Olv5rCvgCl6EDQ%3D%3D,Bioinformatics Software Engineer
Consultant GenAI / AI (H/F),Devoteam,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/consultant-genai-ai-h-f-at-devoteam-4345656297?position=5&pageNum=1&refId=8mzpr0OOJIZrz2xpgdShkA%3D%3D&trackingId=lmNN%2Fln%2BDIPmWCXx8fTaug%3D%3D,Bioinformatics Software Engineer
Ingénieur Machine Learning,SQLI,"Mechouar, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/ing%C3%A9nieur-machine-learning-at-sqli-4334278087?position=6&pageNum=1&refId=8mzpr0OOJIZrz2xpgdShkA%3D%3D&trackingId=cFRqkvIVseEztw0EubSYJA%3D%3D,Bioinformatics Software Engineer
VA Programmer,Cnexia,"Rabat, Rabat-Salé-Kénitra, Morocco",https://www.linkedin.com/jobs/view/va-programmer-at-cnexia-4338782478?position=7&pageNum=1&refId=8mzpr0OOJIZrz2xpgdShkA%3D%3D&trackingId=ZF1ab9OUE80zHZvUd80bSw%3D%3D,Bioinformatics Software Engineer
AD Simulation SW Developer - Junior H/F,Stellantis,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/ad-simulation-sw-developer-junior-h-f-at-stellantis-4328910822?position=8&pageNum=1&refId=8mzpr0OOJIZrz2xpgdShkA%3D%3D&trackingId=cqXld1%2Fs%2FSHlh7zWJnO5pw%3D%3D,Bioinformatics Software Engineer
