title,company,location,link,search_keyword
DevOps Engineer (Kubernetes),TMS Technology,Morocco,https://www.linkedin.com/jobs/view/devops-engineer-kubernetes-at-tms-technology-4346072664?position=1&pageNum=0&refId=ZvJ5mtpMQ6eZhO9lJiDL0w%3D%3D&trackingId=khE9brA9WfDhTXBYnIIPqw%3D%3D,Cloud Engineer
Cloud DevOps / MLOps Engineer (AWS & GCP),MAROC FER,"Mechouar, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/cloud-devops-mlops-engineer-aws-gcp-at-maroc-fer-4344484052?position=2&pageNum=0&refId=ZvJ5mtpMQ6eZhO9lJiDL0w%3D%3D&trackingId=U3cX15%2BDSyQCdQzpdt7Zgg%3D%3D,Cloud Engineer
Cloud Engineer,Odixcity Consulting,"Western Sahara, Morocco",https://www.linkedin.com/jobs/view/cloud-engineer-at-odixcity-consulting-4336245208?position=3&pageNum=0&refId=ZvJ5mtpMQ6eZhO9lJiDL0w%3D%3D&trackingId=cAeVTafwGSDCbJYSUlA2Sg%3D%3D,Cloud Engineer
Cloud Engineer,Odixcity Consulting,Morocco,https://www.linkedin.com/jobs/view/cloud-engineer-at-odixcity-consulting-4336195169?position=4&pageNum=0&refId=ZvJ5mtpMQ6eZhO9lJiDL0w%3D%3D&trackingId=d0PTX7IZJCCrvK8I%2BNeV7Q%3D%3D,Cloud Engineer
Cloud Solution Architect,Penta Consulting,Morocco,https://www.linkedin.com/jobs/view/cloud-solution-architect-at-penta-consulting-4340373998?position=5&pageNum=0&refId=ZvJ5mtpMQ6eZhO9lJiDL0w%3D%3D&trackingId=6xH1sx6WAFrF22TCBu%2BOVg%3D%3D,Cloud Engineer
DevOps Engineer,Odixcity Consulting,Morocco,https://www.linkedin.com/jobs/view/devops-engineer-at-odixcity-consulting-4336145378?position=6&pageNum=0&refId=ZvJ5mtpMQ6eZhO9lJiDL0w%3D%3D&trackingId=BJ3IForWa0csZLqa%2FXD21g%3D%3D,Cloud Engineer
Cloud DevOps Engineer,Capgemini,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/cloud-devops-engineer-at-capgemini-4343052226?position=7&pageNum=0&refId=ZvJ5mtpMQ6eZhO9lJiDL0w%3D%3D&trackingId=lZQDLBuv7dFtkIIcoI10DA%3D%3D,Cloud Engineer
DevOps Engineer,Admiral Digital Consulting,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/devops-engineer-at-admiral-digital-consulting-4296044712?position=8&pageNum=0&refId=ZvJ5mtpMQ6eZhO9lJiDL0w%3D%3D&trackingId=rgh3KRAbgWIZu1sP24j80Q%3D%3D,Cloud Engineer
DevOps Engineer_ Azure/GCP,SQLI,"Rabat, Rabat-Salé-Kénitra, Morocco",https://www.linkedin.com/jobs/view/devops-engineer-azure-gcp-at-sqli-4342779415?position=9&pageNum=0&refId=ZvJ5mtpMQ6eZhO9lJiDL0w%3D%3D&trackingId=73yr1yxcmv1xIvdhjY0S1A%3D%3D,Cloud Engineer
Systems Solutions Engineer (via 3rd party),Sophos,Morocco,https://www.linkedin.com/jobs/view/systems-solutions-engineer-via-3rd-party-at-sophos-4341595259?position=10&pageNum=0&refId=ZvJ5mtpMQ6eZhO9lJiDL0w%3D%3D&trackingId=MRlA1lExmzxD9q4Ipl9srg%3D%3D,Cloud Engineer
