title,company,location,link,search_keyword
Security Analyst,TELUS Digital,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/security-analyst-at-telus-digital-4340783591?position=1&pageNum=0&refId=ECiFeae1lmwK07VBeKkQ3w%3D%3D&trackingId=GMeRnn4G2RAltGNFnVWrwA%3D%3D,Security Analyst
Service Operations Center (SOC) Analyst,Alpha Networks,"Mohammedia, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/service-operations-center-soc-analyst-at-alpha-networks-4324539149?position=2&pageNum=0&refId=ECiFeae1lmwK07VBeKkQ3w%3D%3D&trackingId=95jQtIBwyGypdG2TJsjMIA%3D%3D,Security Analyst
Senior Software Engineer (Security) (Remote from Morocco),Jobgether,Morocco,https://www.linkedin.com/jobs/view/senior-software-engineer-security-remote-from-morocco-at-jobgether-4328797588?position=3&pageNum=0&refId=ECiFeae1lmwK07VBeKkQ3w%3D%3D&trackingId=uTLli%2BAOUy7wAva1bERwfQ%3D%3D,Security Analyst
Senior Security Engineer,Orange Business,"Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/senior-security-engineer-at-orange-business-4349587072?position=4&pageNum=0&refId=ECiFeae1lmwK07VBeKkQ3w%3D%3D&trackingId=HrInHDPN%2BxQ6ugi0VQGKbQ%3D%3D,Security Analyst
Business Intelligence Analyst (H/F),ALTEN,"Rabat, Rabat-Salé-Kénitra, Morocco",https://www.linkedin.com/jobs/view/business-intelligence-analyst-h-f-at-alten-4348062266?position=5&pageNum=0&refId=ECiFeae1lmwK07VBeKkQ3w%3D%3D&trackingId=rziS4Icwy5XrE%2B9Xk76VFQ%3D%3D,Security Analyst
Business Intelligence Analyst (H/F),ALTEN MAROC,"Rabat, Rabat-Salé-Kénitra, Morocco",https://www.linkedin.com/jobs/view/business-intelligence-analyst-h-f-at-alten-maroc-4350071741?position=6&pageNum=0&refId=ECiFeae1lmwK07VBeKkQ3w%3D%3D&trackingId=eP8IHvEuKPxi3NC7uOIwxA%3D%3D,Security Analyst
SOC Analyst (H/F),LabelVie,"Prefecture of Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/soc-analyst-h-f-at-labelvie-4349423689?position=7&pageNum=0&refId=ECiFeae1lmwK07VBeKkQ3w%3D%3D&trackingId=74RyNy0hOugWtgtW0DKAgw%3D%3D,Security Analyst
Senior Network & Security Engineer (H/F),SC Consulting Morocco,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/senior-network-security-engineer-h-f-at-sc-consulting-morocco-4321644646?position=8&pageNum=0&refId=ECiFeae1lmwK07VBeKkQ3w%3D%3D&trackingId=yR1szN%2BZ2BuZblc9sLyqrA%3D%3D,Security Analyst
Solution Engineer / Network Security Specialist - Cloudflare Focused,Brixio,Morocco,https://www.linkedin.com/jobs/view/solution-engineer-network-security-specialist-cloudflare-focused-at-brixio-4306471494?position=9&pageNum=0&refId=ECiFeae1lmwK07VBeKkQ3w%3D%3D&trackingId=UqyWxPhL2wRgasCtEmnO%2BA%3D%3D,Security Analyst
T&DS - Network Cloud Security Engineer,Forvis Mazars Group,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/t-ds-network-cloud-security-engineer-at-forvis-mazars-group-4348742221?position=10&pageNum=0&refId=ECiFeae1lmwK07VBeKkQ3w%3D%3D&trackingId=kQJf6rnrHE5Zdu9%2BZU63NQ%3D%3D,Security Analyst
T&DS - Cloud Applications & DevOps Security Engineer,Forvis Mazars Group,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/t-ds-cloud-applications-devops-security-engineer-at-forvis-mazars-group-4348735352?position=1&pageNum=1&refId=33GP9vWFlcS5DeRmj%2B%2BeOQ%3D%3D&trackingId=mRy58j%2FjoPv84jigVOjDKg%3D%3D,Security Analyst
Business Intelligence Analyst,Alstom,"Fez, Fès-Meknès, Morocco",https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-alstom-4318912285?position=2&pageNum=1&refId=33GP9vWFlcS5DeRmj%2B%2BeOQ%3D%3D&trackingId=q8ldZ8okOeWuOBZ5112gXA%3D%3D,Security Analyst
Business Intelligence Analyst,Admiral Digital Consulting,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-admiral-digital-consulting-4296041759?position=3&pageNum=1&refId=33GP9vWFlcS5DeRmj%2B%2BeOQ%3D%3D&trackingId=yZcJNJjAkMBxo7BLzPj8fQ%3D%3D,Security Analyst
Power BI Business Intelligence Analyst,ALTEN,"Rabat, Rabat-Salé-Kénitra, Morocco",https://www.linkedin.com/jobs/view/power-bi-business-intelligence-analyst-at-alten-4336579250?position=4&pageNum=1&refId=33GP9vWFlcS5DeRmj%2B%2BeOQ%3D%3D&trackingId=3yuAN6hxv1iQvmSutyOC4A%3D%3D,Security Analyst
Cybersecurity System Engineer (ISO/SAE 21434),ALTEN,"Rabat, Rabat-Salé-Kénitra, Morocco",https://www.linkedin.com/jobs/view/cybersecurity-system-engineer-iso-sae-21434-at-alten-4346164901?position=1&pageNum=0&refId=EhLMi0wOR5P7RYK8LmaLRQ%3D%3D&trackingId=tEgNky9p9i%2FbwNDN%2F2Ndiw%3D%3D,Security Engineer
Cybersecurity System Engineer (ISO/SAE 21434),ALTEN MAROC,"Rabat, Rabat-Salé-Kénitra, Morocco",https://www.linkedin.com/jobs/view/cybersecurity-system-engineer-iso-sae-21434-at-alten-maroc-4329196298?position=2&pageNum=0&refId=EhLMi0wOR5P7RYK8LmaLRQ%3D%3D&trackingId=CJBL6Ipy6CmYNGllOltq0w%3D%3D,Security Engineer
Ingénieur Sécurité Opérationnelle F/H,AXA Assurance Maroc,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/ing%C3%A9nieur-s%C3%A9curit%C3%A9-op%C3%A9rationnelle-f-h-at-axa-assurance-maroc-4346119561?position=3&pageNum=0&refId=EhLMi0wOR5P7RYK8LmaLRQ%3D%3D&trackingId=KLtDi86ngdlaA1dCYqSgAw%3D%3D,Security Engineer
Ingénieur sécurité (F/H),Sofrecom Maroc,"Rabat, Rabat-Salé-Kénitra, Morocco",https://www.linkedin.com/jobs/view/ing%C3%A9nieur-s%C3%A9curit%C3%A9-f-h-at-sofrecom-maroc-4343736091?position=4&pageNum=0&refId=EhLMi0wOR5P7RYK8LmaLRQ%3D%3D&trackingId=ZhlQ19g8JCuzXmLM%2F%2FnkWg%3D%3D,Security Engineer
Security Analyst,TELUS Digital,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/security-analyst-at-telus-digital-4340783591?position=5&pageNum=0&refId=EhLMi0wOR5P7RYK8LmaLRQ%3D%3D&trackingId=c19nkPe%2BXV92%2BRlfpKM4%2Bw%3D%3D,Security Engineer
Application Security Consultant (H/F),SC Consulting Morocco,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/application-security-consultant-h-f-at-sc-consulting-morocco-4321634705?position=6&pageNum=0&refId=EhLMi0wOR5P7RYK8LmaLRQ%3D%3D&trackingId=bhExJcZUUclqp1Ng88tRyw%3D%3D,Security Engineer
Senior Network & Security Engineer (H/F),SC Consulting Morocco,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/senior-network-security-engineer-h-f-at-sc-consulting-morocco-4321644646?position=7&pageNum=0&refId=EhLMi0wOR5P7RYK8LmaLRQ%3D%3D&trackingId=e%2BdOT3shPr9LoMlDHlmsOA%3D%3D,Security Engineer
Senior Software Engineer (Security) (Remote from Morocco),Jobgether,Morocco,https://www.linkedin.com/jobs/view/senior-software-engineer-security-remote-from-morocco-at-jobgether-4328797588?position=8&pageNum=0&refId=EhLMi0wOR5P7RYK8LmaLRQ%3D%3D&trackingId=rHpM3QEwVTdoMPHvwl3BHg%3D%3D,Security Engineer
Ingénieur(e) sécurité SI,CIH BANK,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/ing%C3%A9nieur-e-s%C3%A9curit%C3%A9-si-at-cih-bank-4297147401?position=9&pageNum=0&refId=EhLMi0wOR5P7RYK8LmaLRQ%3D%3D&trackingId=8jOaVw2CEbD8Iv3kI%2BefFw%3D%3D,Security Engineer
CYBERSECURITY ENGINEER,INTELCIA,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/cybersecurity-engineer-at-intelcia-4322503865?position=10&pageNum=0&refId=EhLMi0wOR5P7RYK8LmaLRQ%3D%3D&trackingId=aRqpQTPFZeLRQyphrNIyDg%3D%3D,Security Engineer
Solution Engineer / Network Security Specialist - Cloudflare Focused,Brixio,Morocco,https://www.linkedin.com/jobs/view/solution-engineer-network-security-specialist-cloudflare-focused-at-brixio-4306471494?position=1&pageNum=1&refId=s0mx6VtQ9M1jKA3ogG0vMA%3D%3D&trackingId=cRzuXWVk8hl134abPAzsNg%3D%3D,Security Engineer
T&DS - Network Cloud Security Engineer,Forvis Mazars Group,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/t-ds-network-cloud-security-engineer-at-forvis-mazars-group-4348742221?position=2&pageNum=1&refId=s0mx6VtQ9M1jKA3ogG0vMA%3D%3D&trackingId=EUZK8T%2FO%2FiVNfT1GwUKUfw%3D%3D,Security Engineer
Senior Security Engineer,Orange Business,"Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/senior-security-engineer-at-orange-business-4349587072?position=3&pageNum=1&refId=s0mx6VtQ9M1jKA3ogG0vMA%3D%3D&trackingId=vFrqYkYf7RB6PC0aqkofGA%3D%3D,Security Engineer
