title,company,location,link,search_keyword
Data Scientist / ML Engineer,Coface,"Mechouar, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/data-scientist-ml-engineer-at-coface-4350216352?position=1&pageNum=0&refId=Ia%2F6xJbCo5%2BzNa7CU9mxOg%3D%3D&trackingId=jRh5FA9RkpULML779TDzxA%3D%3D,Data Scientist
Data Scientist,BNP Paribas,"Mechouar, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/data-scientist-at-bnp-paribas-4346135725?position=2&pageNum=0&refId=Ia%2F6xJbCo5%2BzNa7CU9mxOg%3D%3D&trackingId=6QO%2B7k8S0oe4BxTUzXvGSg%3D%3D,Data Scientist
Stagiaire Data Scientist,LabelVie,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/stagiaire-data-scientist-at-labelvie-4348601717?position=3&pageNum=0&refId=Ia%2F6xJbCo5%2BzNa7CU9mxOg%3D%3D&trackingId=g6RkQd%2B%2F4InKDLyZ3YmlAA%3D%3D,Data Scientist
DATA SCIENTIST,RED TIC,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/data-scientist-at-red-tic-4339231821?position=4&pageNum=0&refId=Ia%2F6xJbCo5%2BzNa7CU9mxOg%3D%3D&trackingId=4MqElxJthBB8inrg%2B94LIQ%3D%3D,Data Scientist
Ingénieur Machine Learning,SQLI,"Mechouar, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/ing%C3%A9nieur-machine-learning-at-sqli-4334278087?position=5&pageNum=0&refId=Ia%2F6xJbCo5%2BzNa7CU9mxOg%3D%3D&trackingId=J9WG7wEDLUTgtNDbvRMgAA%3D%3D,Data Scientist
Senior Data Scientist (Python) (H/F),AfricaWork,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/senior-data-scientist-python-h-f-at-africawork-4346262274?position=6&pageNum=0&refId=Ia%2F6xJbCo5%2BzNa7CU9mxOg%3D%3D&trackingId=BmTqyL%2FTUDFYAOLmJozKmA%3D%3D,Data Scientist
Data Scientist (Text Analytics) - 4 months contract,CXG,Morocco,https://www.linkedin.com/jobs/view/data-scientist-text-analytics-4-months-contract-at-cxg-4336696401?position=7&pageNum=0&refId=Ia%2F6xJbCo5%2BzNa7CU9mxOg%3D%3D&trackingId=nDhmlfqv0paom0skx%2BXHrg%3D%3D,Data Scientist
Data Scientist (F/H/X),Syensqo,"Ben Guerir, Marrakesh-Safi, Morocco",https://www.linkedin.com/jobs/view/data-scientist-f-h-x-at-syensqo-4342829423?position=8&pageNum=0&refId=Ia%2F6xJbCo5%2BzNa7CU9mxOg%3D%3D&trackingId=N%2By4DTI%2F77IvHA8aGKC6ug%3D%3D,Data Scientist
Stage PFE- Data Scientist H/F,BMCE Capital,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/stage-pfe-data-scientist-h-f-at-bmce-capital-4341571302?position=9&pageNum=0&refId=Ia%2F6xJbCo5%2BzNa7CU9mxOg%3D%3D&trackingId=RahGDVRjLNy6WY5l8pvcDA%3D%3D,Data Scientist
AI Machine Learning Optimization Engineer H/F,Stellantis,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/ai-machine-learning-optimization-engineer-h-f-at-stellantis-4222274650?position=10&pageNum=0&refId=Ia%2F6xJbCo5%2BzNa7CU9mxOg%3D%3D&trackingId=aC7jaiucXXg18WD6yYk%2BaQ%3D%3D,Data Scientist
Data Scientist (F/H/X),Syensqo,"Ben Guerir, Marrakesh-Safi, Morocco",https://www.linkedin.com/jobs/view/data-scientist-f-h-x-at-syensqo-4342829423?position=1&pageNum=1&refId=l4HzPcpoqBUpJgVf2cLYDQ%3D%3D&trackingId=%2FffPRMZz7K2dybJVqIodUg%3D%3D,Data Scientist
Stage PFE- Data Scientist H/F,BMCE Capital,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/stage-pfe-data-scientist-h-f-at-bmce-capital-4341571302?position=2&pageNum=1&refId=l4HzPcpoqBUpJgVf2cLYDQ%3D%3D&trackingId=aYMQCVlCF02Fel12GvWClQ%3D%3D,Data Scientist
AI Machine Learning Optimization Engineer H/F,Stellantis,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/ai-machine-learning-optimization-engineer-h-f-at-stellantis-4222274650?position=3&pageNum=1&refId=l4HzPcpoqBUpJgVf2cLYDQ%3D%3D&trackingId=JHdde27TVIr9280wlH9jYA%3D%3D,Data Scientist
Datascientist,CIH BANK,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/datascientist-at-cih-bank-3659272624?position=4&pageNum=1&refId=l4HzPcpoqBUpJgVf2cLYDQ%3D%3D&trackingId=6JYxoAJq5NFPxNbfRQ1fBQ%3D%3D,Data Scientist
Data Scientist,Leyton,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/data-scientist-at-leyton-4302496886?position=5&pageNum=1&refId=l4HzPcpoqBUpJgVf2cLYDQ%3D%3D&trackingId=3IqC2qGPkMQwJIAho6gObA%3D%3D,Data Scientist
Software Engineer – Machine Learning,Aptiv,"Tangier, Tanger-Tetouan-Al Hoceima, Morocco",https://www.linkedin.com/jobs/view/software-engineer-%E2%80%93-machine-learning-at-aptiv-4342331721?position=6&pageNum=1&refId=l4HzPcpoqBUpJgVf2cLYDQ%3D%3D&trackingId=6fYNT%2BI8zbD9Nyt%2BsWskUA%3D%3D,Data Scientist
Manager Data Scientist - Casablanca,Artefact,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/manager-data-scientist-casablanca-at-artefact-3928981813?position=7&pageNum=1&refId=l4HzPcpoqBUpJgVf2cLYDQ%3D%3D&trackingId=GUkRpjRXYRf6Pomz%2BTuKLg%3D%3D,Data Scientist
Data Analytics - Senior Data Scientist - Casablanca,Infomineo,"Casablanca, Casablanca-Settat, Morocco",https://www.linkedin.com/jobs/view/data-analytics-senior-data-scientist-casablanca-at-infomineo-4268568182?position=8&pageNum=1&refId=l4HzPcpoqBUpJgVf2cLYDQ%3D%3D&trackingId=guwraC1VfxQjwKtP91fQ6Q%3D%3D,Data Scientist
Machine Learning Expert,Odixcity Consulting,Morocco,https://www.linkedin.com/jobs/view/machine-learning-expert-at-odixcity-consulting-4335916811?position=9&pageNum=1&refId=l4HzPcpoqBUpJgVf2cLYDQ%3D%3D&trackingId=j9shhA5lwp3waxyWiI7fYw%3D%3D,Data Scientist
NLP Engineer,Odixcity Consulting,Morocco,https://www.linkedin.com/jobs/view/nlp-engineer-at-odixcity-consulting-4336115539?position=10&pageNum=1&refId=l4HzPcpoqBUpJgVf2cLYDQ%3D%3D&trackingId=39yCCk5fYGinLruOW6%2BKzg%3D%3D,Data Scientist
Python Developer,Odixcity Consulting,Morocco,https://www.linkedin.com/jobs/view/python-developer-at-odixcity-consulting-4335966687?position=1&pageNum=2&refId=h5BcGid5UgsEy9Mjyy3ZiQ%3D%3D&trackingId=zETgP7NKsw6oA7VQ3k1IPw%3D%3D,Data Scientist
Python Developper,Stream Lean,Casablanca Metropolitan Area,https://www.linkedin.com/jobs/view/python-developper-at-stream-lean-4292185194?position=2&pageNum=2&refId=h5BcGid5UgsEy9Mjyy3ZiQ%3D%3D&trackingId=qPG2YhyGZsNvsFh8phFZBA%3D%3D,Data Scientist
