title,company,location,link,search_keyword
Talented Junior Developer - Frontend + Backend | Remote,360Dialog,Poland,https://www.linkedin.com/jobs/view/talented-junior-developer-frontend-%2B-backend-remote-at-360dialog-4346024731?position=1&pageNum=0&refId=xLJeTvo79VM1%2BgXzTfi%2FgQ%3D%3D&trackingId=UPmrZNxS%2FeHyrL8vEQmc6A%3D%3D,Bioinformatics Software Engineer
Software Engineer (L4/L5) — Developer Platform,Netflix,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/software-engineer-l4-l5-%E2%80%94-developer-platform-at-netflix-4193468200?position=2&pageNum=0&refId=xLJeTvo79VM1%2BgXzTfi%2FgQ%3D%3D&trackingId=%2FU1%2BsIUhlfPX04BeiNHESw%3D%3D,Bioinformatics Software Engineer
Junior Software Engineer,Asana,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/junior-software-engineer-at-asana-4315919819?position=3&pageNum=0&refId=xLJeTvo79VM1%2BgXzTfi%2FgQ%3D%3D&trackingId=KDWBi0sn5n2ffTnsXV7puA%3D%3D,Bioinformatics Software Engineer
Software Develoepr (Python),LEOCODE - Your Tech Partner,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/software-develoepr-python-at-leocode-your-tech-partner-4304650799?position=4&pageNum=0&refId=xLJeTvo79VM1%2BgXzTfi%2FgQ%3D%3D&trackingId=dTi069%2B1Pr%2FhPTxxoWTGVg%3D%3D,Bioinformatics Software Engineer
"Research Engineer, Applied AI",kapa.ai,Poland,https://www.linkedin.com/jobs/view/research-engineer-applied-ai-at-kapa-ai-4231624134?position=5&pageNum=0&refId=xLJeTvo79VM1%2BgXzTfi%2FgQ%3D%3D&trackingId=cR27NIJ0t4HMu%2FtxAKZIqg%3D%3D,Bioinformatics Software Engineer
Junior Software Developer,Circle K,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/junior-software-developer-at-circle-k-4272895755?position=6&pageNum=0&refId=xLJeTvo79VM1%2BgXzTfi%2FgQ%3D%3D&trackingId=dCX9hc%2BvpifUhoeEHm0Biw%3D%3D,Bioinformatics Software Engineer
Python Developer,Viercode,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/python-developer-at-viercode-4199742280?position=7&pageNum=0&refId=xLJeTvo79VM1%2BgXzTfi%2FgQ%3D%3D&trackingId=eHRXg%2BLiLlJF6mdHMXh61Q%3D%3D,Bioinformatics Software Engineer
AI Developer/ML Engineer,ALGOMINE,"Praca, Łódzkie, Poland",https://www.linkedin.com/jobs/view/ai-developer-ml-engineer-at-algomine-4090889662?position=8&pageNum=0&refId=xLJeTvo79VM1%2BgXzTfi%2FgQ%3D%3D&trackingId=QCMT1augiXkE0N9nF0WcGw%3D%3D,Bioinformatics Software Engineer
Junior Programmer,Techland,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/junior-programmer-at-techland-4242207998?position=9&pageNum=0&refId=xLJeTvo79VM1%2BgXzTfi%2FgQ%3D%3D&trackingId=IzNUGGH3evsdMTWm8qWbbw%3D%3D,Bioinformatics Software Engineer
Junior Quantitative Developer,CompatibL,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/junior-quantitative-developer-at-compatibl-4303623340?position=10&pageNum=0&refId=xLJeTvo79VM1%2BgXzTfi%2FgQ%3D%3D&trackingId=dZG7fY3og29dHVQQWKskQw%3D%3D,Bioinformatics Software Engineer
AI/ML Engineer,OBRIO,Poland,https://www.linkedin.com/jobs/view/ai-ml-engineer-at-obrio-4339269743?position=1&pageNum=1&refId=zrG1ObCfyuq3NBMpnG8lNA%3D%3D&trackingId=PK3%2FIu9HmaXKqx2l0dKCEA%3D%3D,Bioinformatics Software Engineer
Python Developer,EY,"Katowice, Śląskie, Poland",https://www.linkedin.com/jobs/view/python-developer-at-ey-4323275169?position=2&pageNum=1&refId=zrG1ObCfyuq3NBMpnG8lNA%3D%3D&trackingId=e%2F94CifaCpiOINTo5gy8wQ%3D%3D,Bioinformatics Software Engineer
Junior Programmer,Techland,"Wrocław, Dolnośląskie, Poland",https://www.linkedin.com/jobs/view/junior-programmer-at-techland-4242209649?position=3&pageNum=1&refId=zrG1ObCfyuq3NBMpnG8lNA%3D%3D&trackingId=4cOJFEXGmK2MUJymG4KD2Q%3D%3D,Bioinformatics Software Engineer
Machine Learning Engineer,Ework Group,Gdansk Metropolitan Area,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-ework-group-4318289883?position=4&pageNum=1&refId=zrG1ObCfyuq3NBMpnG8lNA%3D%3D&trackingId=8TW%2Bh8v%2BHZXYy5AbEl81fA%3D%3D,Bioinformatics Software Engineer
Python Developer,Tooploox,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/python-developer-at-tooploox-4316714245?position=5&pageNum=1&refId=zrG1ObCfyuq3NBMpnG8lNA%3D%3D&trackingId=48rnK7yJDBLsY5CvKfiRmA%3D%3D,Bioinformatics Software Engineer
Python Developer,Soflab Technology,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/python-developer-at-soflab-technology-4022120242?position=6&pageNum=1&refId=zrG1ObCfyuq3NBMpnG8lNA%3D%3D&trackingId=EIs8uXfaK35p2fG8ZcYqgw%3D%3D,Bioinformatics Software Engineer
Python Developer,CompatibL,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/python-developer-at-compatibl-4303616465?position=7&pageNum=1&refId=zrG1ObCfyuq3NBMpnG8lNA%3D%3D&trackingId=qNCnnPceNlppAOD7fPh55g%3D%3D,Bioinformatics Software Engineer
Graduate/Junior Software Engineer (Full-time),Arista Networks,"Cracow, Małopolskie, Poland",https://www.linkedin.com/jobs/view/graduate-junior-software-engineer-full-time-at-arista-networks-4301932723?position=8&pageNum=1&refId=zrG1ObCfyuq3NBMpnG8lNA%3D%3D&trackingId=DZhuBHl%2FJpsOKESW3gxfqA%3D%3D,Bioinformatics Software Engineer
Regular Software Engineer (Python),Silvermine.io,"Cracow, Małopolskie, Poland",https://www.linkedin.com/jobs/view/regular-software-engineer-python-at-silvermine-io-4322208507?position=9&pageNum=1&refId=zrG1ObCfyuq3NBMpnG8lNA%3D%3D&trackingId=1K0Z7vR%2BSdebxL2a7HPHtw%3D%3D,Bioinformatics Software Engineer
Data AI Engineer - Full remote,Astek,Poland,https://www.linkedin.com/jobs/view/data-ai-engineer-full-remote-at-astek-4333413506?position=10&pageNum=1&refId=zrG1ObCfyuq3NBMpnG8lNA%3D%3D&trackingId=Lzv%2BqxCouKHt%2BTV9YJNjaw%3D%3D,Bioinformatics Software Engineer
Junior Software Engineer (C | Python),Dell Technologies,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/junior-software-engineer-c-python-at-dell-technologies-4295162070?position=1&pageNum=2&refId=GXGcVm9z%2BIyFFXTPwKbc2g%3D%3D&trackingId=%2B%2FROnH6n4R15RaI2XQrm1A%3D%3D,Bioinformatics Software Engineer
AI Engineer (LLM/NLP),Onwelo,Poland,https://www.linkedin.com/jobs/view/ai-engineer-llm-nlp-at-onwelo-4304072891?position=2&pageNum=2&refId=GXGcVm9z%2BIyFFXTPwKbc2g%3D%3D&trackingId=YQniDuekhkUPGfzVBKxqYg%3D%3D,Bioinformatics Software Engineer
Machine Learning Researcher / Engineer (Foundational Models),Pathway,"Wrocław, Dolnośląskie, Poland",https://www.linkedin.com/jobs/view/machine-learning-researcher-engineer-foundational-models-at-pathway-4335879992?position=3&pageNum=2&refId=GXGcVm9z%2BIyFFXTPwKbc2g%3D%3D&trackingId=d77%2FS5I7a8uRf1RiQSRBxQ%3D%3D,Bioinformatics Software Engineer
AI/ML Engineers,Uvation,Poland,https://www.linkedin.com/jobs/view/ai-ml-engineers-at-uvation-4323996745?position=4&pageNum=2&refId=GXGcVm9z%2BIyFFXTPwKbc2g%3D%3D&trackingId=1CXK%2BN2ittchUTbQPv7hog%3D%3D,Bioinformatics Software Engineer
Software Developer,TechInsights,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/software-developer-at-techinsights-4336665337?position=5&pageNum=2&refId=GXGcVm9z%2BIyFFXTPwKbc2g%3D%3D&trackingId=PtIFrSBnMmJSs8bEt2Mgqw%3D%3D,Bioinformatics Software Engineer
AI Software Engineer (f/m/d),Grupa RMF,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/ai-software-engineer-f-m-d-at-grupa-rmf-4335899458?position=6&pageNum=2&refId=GXGcVm9z%2BIyFFXTPwKbc2g%3D%3D&trackingId=6M0T9rY7Oe4AJzuuLKToPA%3D%3D,Bioinformatics Software Engineer
AI Engineer,ALGOTEQUE Innovation Hub,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/ai-engineer-at-algoteque-innovation-hub-4344163210?position=7&pageNum=2&refId=GXGcVm9z%2BIyFFXTPwKbc2g%3D%3D&trackingId=PFOydw5lvGzNhSc3T6GeeQ%3D%3D,Bioinformatics Software Engineer
Software Engineer (HYBRID REMOTE),Amazing AUCTANE,"Zielona Góra, Lubuskie, Poland",https://www.linkedin.com/jobs/view/software-engineer-hybrid-remote-at-amazing-auctane-4236196170?position=8&pageNum=2&refId=GXGcVm9z%2BIyFFXTPwKbc2g%3D%3D&trackingId=mrvlLY7MkzJ9gGbkjuQ7Lg%3D%3D,Bioinformatics Software Engineer
AI/ML Engineer,Viercode,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-viercode-4199746122?position=9&pageNum=2&refId=GXGcVm9z%2BIyFFXTPwKbc2g%3D%3D&trackingId=M41A4MQAe8cwQDBSqjuLTw%3D%3D,Bioinformatics Software Engineer
Junior AI Engineer,ALGOMINE,"Praca, Łódzkie, Poland",https://www.linkedin.com/jobs/view/junior-ai-engineer-at-algomine-4293927959?position=10&pageNum=2&refId=GXGcVm9z%2BIyFFXTPwKbc2g%3D%3D&trackingId=jMAQc2eKZNPcrXQktv23eg%3D%3D,Bioinformatics Software Engineer
Software Engineer | Staff | Python | Threat Intelligence,Nord Security,"Cracow, Małopolskie, Poland",https://www.linkedin.com/jobs/view/software-engineer-staff-python-threat-intelligence-at-nord-security-4328587097?position=1&pageNum=3&refId=io2Dz1%2F%2FQYJuw0QMMzt5Sw%3D%3D&trackingId=TfaRAmli3vbMfBi%2FSYfvQQ%3D%3D,Bioinformatics Software Engineer
Python Developer,Aspartus,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/python-developer-at-aspartus-4301783395?position=2&pageNum=3&refId=io2Dz1%2F%2FQYJuw0QMMzt5Sw%3D%3D&trackingId=TX31vRB9hye0Zn7Fmp%2FFRQ%3D%3D,Bioinformatics Software Engineer
Python Developer,Autopay,"Sopot, Pomorskie, Poland",https://www.linkedin.com/jobs/view/python-developer-at-autopay-4264623869?position=3&pageNum=3&refId=io2Dz1%2F%2FQYJuw0QMMzt5Sw%3D%3D&trackingId=RROTst4zGlLUjedVUNpJzw%3D%3D,Bioinformatics Software Engineer
Machine Learning Specialist,BnBerry,Poland,https://www.linkedin.com/jobs/view/machine-learning-specialist-at-bnberry-4306473420?position=4&pageNum=3&refId=io2Dz1%2F%2FQYJuw0QMMzt5Sw%3D%3D&trackingId=AbvN8AfMou%2FSCga8YXuFNQ%3D%3D,Bioinformatics Software Engineer
Junior Mid-Level Machine Learning Data Engineer,PredictX,"Gdańsk, Pomorskie, Poland",https://www.linkedin.com/jobs/view/junior-mid-level-machine-learning-data-engineer-at-predictx-4337154785?position=5&pageNum=3&refId=io2Dz1%2F%2FQYJuw0QMMzt5Sw%3D%3D&trackingId=JSZ3rms7XRwlKmZ3OmS5ag%3D%3D,Bioinformatics Software Engineer
Machine Learning Engineer,ISI Markets,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-isi-markets-4299362061?position=6&pageNum=3&refId=io2Dz1%2F%2FQYJuw0QMMzt5Sw%3D%3D&trackingId=GH%2BJg0p6s1qG%2FhZtfMopwA%3D%3D,Bioinformatics Software Engineer
