title,company,location,link,search_keyword
Machine Learning Engineer,InData Labs,Poland,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-indata-labs-4326582570?position=1&pageNum=1&refId=EKyAIU9VpZ2vPtMWVgVZgA%3D%3D&trackingId=rV40D3coQacY8tRc0%2FO34w%3D%3D,Data Scientist
AI Innovator,Cere Network,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/ai-innovator-at-cere-network-4041448208?position=2&pageNum=1&refId=EKyAIU9VpZ2vPtMWVgVZgA%3D%3D&trackingId=YhqI1eTYHHCZQO9ZZm7cKg%3D%3D,Data Scientist
Junior Data Scientist,OLX,Poland,https://www.linkedin.com/jobs/view/junior-data-scientist-at-olx-4342836083?position=3&pageNum=1&refId=EKyAIU9VpZ2vPtMWVgVZgA%3D%3D&trackingId=LNMnAP4MdJojWkceM3FOLQ%3D%3D,Data Scientist
AI/ML Engineer,Lingaro,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-lingaro-4185016420?position=4&pageNum=1&refId=EKyAIU9VpZ2vPtMWVgVZgA%3D%3D&trackingId=tDpsEU9PGegmRksd%2FSECkw%3D%3D,Data Scientist
Data Scientist - Supply Chain Solutions-Remote,Xenon Seven,Poland,https://www.linkedin.com/jobs/view/data-scientist-supply-chain-solutions-remote-at-xenon-seven-4306482726?position=5&pageNum=1&refId=EKyAIU9VpZ2vPtMWVgVZgA%3D%3D&trackingId=ZgvDCnlLFGff7n9oQrlusg%3D%3D,Data Scientist
(Senior) Data Scientist - Freelance,Netguru | B Corp™,Poland,https://www.linkedin.com/jobs/view/senior-data-scientist-freelance-at-netguru-b-corp%E2%84%A2-4343462410?position=6&pageNum=1&refId=EKyAIU9VpZ2vPtMWVgVZgA%3D%3D&trackingId=xxFM1SfpxWbG74xcrp1W1A%3D%3D,Data Scientist
AI/ML Engineer,Viercode,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-viercode-4199746122?position=7&pageNum=1&refId=EKyAIU9VpZ2vPtMWVgVZgA%3D%3D&trackingId=Gfr1D8A69dvCDyqFt%2BMdLg%3D%3D,Data Scientist
Machine Learning Engineer,ISI Markets,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-isi-markets-4299362061?position=8&pageNum=1&refId=EKyAIU9VpZ2vPtMWVgVZgA%3D%3D&trackingId=Vt1v9rjy716g7A7SX7ljcg%3D%3D,Data Scientist
Data Scientist -Fraud,Klarna,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/data-scientist-fraud-at-klarna-4322139423?position=9&pageNum=1&refId=EKyAIU9VpZ2vPtMWVgVZgA%3D%3D&trackingId=V1YvQ9Tuw7hxfQgj%2B2%2BnEw%3D%3D,Data Scientist
Talented Junior Developer - Frontend + Backend | Remote,360Dialog,Poland,https://www.linkedin.com/jobs/view/talented-junior-developer-frontend-%2B-backend-remote-at-360dialog-4346024731?position=10&pageNum=1&refId=EKyAIU9VpZ2vPtMWVgVZgA%3D%3D&trackingId=gf1%2Fcp5TvADcB6F5sHYSLw%3D%3D,Data Scientist
Data Scientist,Procter & Gamble,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/data-scientist-at-procter-gamble-4344210654?position=1&pageNum=2&refId=bYZdzCsRAegB4%2Fd9yOI1nA%3D%3D&trackingId=4KS4zrrzdDKmzztlRh%2FNYg%3D%3D,Data Scientist
Data Scientist / ML Engineer,Addepto,Poland,https://www.linkedin.com/jobs/view/data-scientist-ml-engineer-at-addepto-4343174744?position=2&pageNum=2&refId=bYZdzCsRAegB4%2Fd9yOI1nA%3D%3D&trackingId=8Cb6F%2FWoJ3LB5vw7%2B%2F8jIg%3D%3D,Data Scientist
AI/ML Engineer,HCLTech,"Cracow, Małopolskie, Poland",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-hcltech-4322141691?position=3&pageNum=2&refId=bYZdzCsRAegB4%2Fd9yOI1nA%3D%3D&trackingId=Z%2FehZTaa0dyGRsMhEWdDjw%3D%3D,Data Scientist
Machine Learning Specialist,BnBerry,Poland,https://www.linkedin.com/jobs/view/machine-learning-specialist-at-bnberry-4306473420?position=4&pageNum=2&refId=bYZdzCsRAegB4%2Fd9yOI1nA%3D%3D&trackingId=74dabNEciD5kHM%2Fm%2BYP%2BmA%3D%3D,Data Scientist
AI/ML Engineer,OBRIO,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-obrio-4339399392?position=5&pageNum=2&refId=bYZdzCsRAegB4%2Fd9yOI1nA%3D%3D&trackingId=Zm0TIo7XvlhJbJj%2BTqw1fw%3D%3D,Data Scientist
Senior Product Data Scientist (Analyst),Asana,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/senior-product-data-scientist-analyst-at-asana-4315913952?position=6&pageNum=2&refId=bYZdzCsRAegB4%2Fd9yOI1nA%3D%3D&trackingId=lOenK%2BeORRLvvD1RTCbEBQ%3D%3D,Data Scientist
Data Scientist,OLX,Poland,https://www.linkedin.com/jobs/view/data-scientist-at-olx-4328769880?position=7&pageNum=2&refId=bYZdzCsRAegB4%2Fd9yOI1nA%3D%3D&trackingId=%2FN%2BIcE5RvFK3ZMdtfsmJeQ%3D%3D,Data Scientist
ML Engineer,Planner 5D,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/ml-engineer-at-planner-5d-4294631202?position=8&pageNum=2&refId=bYZdzCsRAegB4%2Fd9yOI1nA%3D%3D&trackingId=ZNs%2Fm24Ch5bwlfGzznoCVg%3D%3D,Data Scientist
Machine Learning Engineer,Signify Technology,Poland,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-signify-technology-4341878107?position=9&pageNum=2&refId=bYZdzCsRAegB4%2Fd9yOI1nA%3D%3D&trackingId=SGf6aycUvlUevv8fHXquSg%3D%3D,Data Scientist
Machine Learning Engineer,OLX,Poland,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-olx-4328829918?position=10&pageNum=2&refId=bYZdzCsRAegB4%2Fd9yOI1nA%3D%3D&trackingId=PJAgLWg1SBimMlM2usSAPg%3D%3D,Data Scientist
"ML Engineer, 100% Remote Work (Poland)",PRIMUS Global Technologies Pvt Ltd,Poland,https://www.linkedin.com/jobs/view/ml-engineer-100%25-remote-work-poland-at-primus-global-technologies-pvt-ltd-4335093127?position=1&pageNum=5&refId=iwsGwVynKY9H3Jqo2wGmVQ%3D%3D&trackingId=hfr7hnpc2G2dt5bYhBo0jw%3D%3D,Data Scientist
