title,company,location,link,search_keyword
Junior IT Support Specialist,Netcompany,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/junior-it-support-specialist-at-netcompany-4348102594?position=1&pageNum=0&refId=w4qTr1R4RvGcd9hKIN4RpA%3D%3D&trackingId=53qyMm6%2BVeghZKmHKZV4%2FA%3D%3D,IT Support Specialist
IT Support Specialist Based,EPAM Systems,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/it-support-specialist-based-at-epam-systems-4341861883?position=2&pageNum=0&refId=w4qTr1R4RvGcd9hKIN4RpA%3D%3D&trackingId=wGJQdHWVVVBB8LOJmpstAw%3D%3D,IT Support Specialist
IT Support,eConsulting,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/it-support-at-econsulting-4335994275?position=3&pageNum=0&refId=w4qTr1R4RvGcd9hKIN4RpA%3D%3D&trackingId=lUKMe2uDe4kCe%2BSl8LkaqA%3D%3D,IT Support Specialist
IT Support Specialist,Elitmind,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/it-support-specialist-at-elitmind-4316313903?position=4&pageNum=0&refId=w4qTr1R4RvGcd9hKIN4RpA%3D%3D&trackingId=o%2BOSb4y4%2B%2BY5UdPuCtTt6w%3D%3D,IT Support Specialist
Tier 2 Technical Support – evTOC,Evertz,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/tier-2-technical-support-%E2%80%93-evtoc-at-evertz-4263752226?position=5&pageNum=0&refId=w4qTr1R4RvGcd9hKIN4RpA%3D%3D&trackingId=nmee5JqRCId6H2WooZnjRA%3D%3D,IT Support Specialist
IT Support Specialist,Javelin Global Commodities,"Cracow, Małopolskie, Poland",https://www.linkedin.com/jobs/view/it-support-specialist-at-javelin-global-commodities-4334598750?position=6&pageNum=0&refId=w4qTr1R4RvGcd9hKIN4RpA%3D%3D&trackingId=bJ8zbFw6xfOwltm9%2FXL4Wg%3D%3D,IT Support Specialist
"Administrator IT / IT Support (sprzęt, dostępy, pomoc techniczna)",Telemedi - assistance & digital health platform,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/administrator-it-it-support-sprz%C4%99t-dost%C4%99py-pomoc-techniczna-at-telemedi-assistance-digital-health-platform-4342075119?position=7&pageNum=0&refId=w4qTr1R4RvGcd9hKIN4RpA%3D%3D&trackingId=K0M5fjD7WqEaMnkOuKP%2FTA%3D%3D,IT Support Specialist
IT Support Specialist - Warsaw Location,EPAM Systems,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/it-support-specialist-warsaw-location-at-epam-systems-4347001652?position=8&pageNum=0&refId=w4qTr1R4RvGcd9hKIN4RpA%3D%3D&trackingId=sB5rHbUwS4S3RHyFa2Pa7Q%3D%3D,IT Support Specialist
Information Technology Support Technician,AVASO Technology Solutions,"Cracow, Małopolskie, Poland",https://www.linkedin.com/jobs/view/information-technology-support-technician-at-avaso-technology-solutions-4327914383?position=9&pageNum=0&refId=w4qTr1R4RvGcd9hKIN4RpA%3D%3D&trackingId=CyOORDljjqbderux%2BTfqvw%3D%3D,IT Support Specialist
IT Support Customer Specialist,Base.com,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/it-support-customer-specialist-at-base-com-4318796960?position=10&pageNum=0&refId=w4qTr1R4RvGcd9hKIN4RpA%3D%3D&trackingId=dVpCyh6qt2%2FKmO3MB0fdmw%3D%3D,IT Support Specialist
