title,company,location,link,search_keyword
Electrical Engineer with Python Experience - Freelance AI Trainer,Mindrift,Poland,https://www.linkedin.com/jobs/view/electrical-engineer-with-python-experience-freelance-ai-trainer-at-mindrift-4345562568?position=1&pageNum=1&refId=1XuOD58%2BkPL7XHpGMfRbAA%3D%3D&trackingId=VeacBov2Scyl%2BXMeLd3YAA%3D%3D,Robotics Engineer
"Robotics AI Engineer, Tactile Perception & Representation",Haptovia Robotics,Poland,https://www.linkedin.com/jobs/view/robotics-ai-engineer-tactile-perception-representation-at-haptovia-robotics-4345217477?position=2&pageNum=1&refId=1XuOD58%2BkPL7XHpGMfRbAA%3D%3D&trackingId=QpAmqRQkmuOAhnKUxk4vcA%3D%3D,Robotics Engineer
Robotics/ Simulation Engineer,xBerry - R&D House,"Wrocław, Dolnośląskie, Poland",https://www.linkedin.com/jobs/view/robotics-simulation-engineer-at-xberry-r-d-house-4336809386?position=3&pageNum=1&refId=1XuOD58%2BkPL7XHpGMfRbAA%3D%3D&trackingId=7Zj9dSIRiI1XLERiBsL4%2FQ%3D%3D,Robotics Engineer
Automation Engineer (Cost Optimization),Solaris Laser Sp. z o.o.,Warsaw Metropolitan Area,https://www.linkedin.com/jobs/view/automation-engineer-cost-optimization-at-solaris-laser-sp-z-o-o-4283511178?position=4&pageNum=1&refId=1XuOD58%2BkPL7XHpGMfRbAA%3D%3D&trackingId=llgbsPNSqLDH9M2Orb6%2Bpg%3D%3D,Robotics Engineer
Electrical Engineer with Python Experience - Freelance AI Trainer,Mindrift,"Cracow, Małopolskie, Poland",https://www.linkedin.com/jobs/view/electrical-engineer-with-python-experience-freelance-ai-trainer-at-mindrift-4345417229?position=5&pageNum=1&refId=1XuOD58%2BkPL7XHpGMfRbAA%3D%3D&trackingId=Xk5Se0aHlOHC2mVkd%2BtLsQ%3D%3D,Robotics Engineer
Electrical Engineer with Python Experience - Freelance AI Trainer,Mindrift,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/electrical-engineer-with-python-experience-freelance-ai-trainer-at-mindrift-4345534804?position=6&pageNum=1&refId=1XuOD58%2BkPL7XHpGMfRbAA%3D%3D&trackingId=j4hyJrmLyesckcp2HfNqgg%3D%3D,Robotics Engineer
Tactile Signal Processing Engineer (Robotics) — Transduction & Features,Haptovia Robotics,Poland,https://www.linkedin.com/jobs/view/tactile-signal-processing-engineer-robotics-%E2%80%94-transduction-features-at-haptovia-robotics-4345514770?position=7&pageNum=1&refId=1XuOD58%2BkPL7XHpGMfRbAA%3D%3D&trackingId=KR8vi4AEiNQmQgqezJRffw%3D%3D,Robotics Engineer
Senior Robotics Engineer (Industrial Robotics & Automation),SoftServe,Poland,https://www.linkedin.com/jobs/view/senior-robotics-engineer-industrial-robotics-automation-at-softserve-4337079673?position=8&pageNum=1&refId=1XuOD58%2BkPL7XHpGMfRbAA%3D%3D&trackingId=K4ZRdCBXgfpSiJGDMRvzwA%3D%3D,Robotics Engineer
AI Developer,ALGOTEQUE Innovation Hub,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/ai-developer-at-algoteque-innovation-hub-4328876140?position=9&pageNum=1&refId=1XuOD58%2BkPL7XHpGMfRbAA%3D%3D&trackingId=cTi3r6nimx2x3%2BCNkq3x2w%3D%3D,Robotics Engineer
Automation and Process Engineer,Ivanti,"Warsaw, Mazowieckie, Poland",https://www.linkedin.com/jobs/view/automation-and-process-engineer-at-ivanti-4348809342?position=10&pageNum=1&refId=1XuOD58%2BkPL7XHpGMfRbAA%3D%3D&trackingId=oVCGFmRNH7Qeg4Ug5pJSpQ%3D%3D,Robotics Engineer
