title,company,location,link,search_keyword
Marketing Specialist,Haystack,Dallas-Fort Worth Metroplex,https://www.linkedin.com/jobs/view/marketing-specialist-at-haystack-4328926920?position=1&pageNum=0&refId=9qDt07Pze03mNCgXDg8z5A%3D%3D&trackingId=u%2FJSfuWqPRmv%2Fu3SfyV3RQ%3D%3D,Growth Hacker
"Influencer Marketing, Intern",Duolingo,"New York, NY",https://www.linkedin.com/jobs/view/influencer-marketing-intern-at-duolingo-4342351583?position=2&pageNum=0&refId=9qDt07Pze03mNCgXDg8z5A%3D%3D&trackingId=HKw%2BYz%2FsWwCy39RLt3ehfg%3D%3D,Growth Hacker
"Software Engineer, Growth",GovDash,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/software-engineer-growth-at-govdash-4328953415?position=3&pageNum=0&refId=9qDt07Pze03mNCgXDg8z5A%3D%3D&trackingId=tjDXdtuwMOELNmIDkZAWrw%3D%3D,Growth Hacker
Social Media Coordinator,Savage X Fenty,"El Segundo, CA",https://www.linkedin.com/jobs/view/social-media-coordinator-at-savage-x-fenty-4322073361?position=4&pageNum=0&refId=9qDt07Pze03mNCgXDg8z5A%3D%3D&trackingId=wECBvJyatwbLYcJm58Lp6g%3D%3D,Growth Hacker
Don't see your dream job listed? Apply here!,Socium Media,"New York, NY",https://www.linkedin.com/jobs/view/don-t-see-your-dream-job-listed%3F-apply-here%21-at-socium-media-3644613417?position=5&pageNum=0&refId=9qDt07Pze03mNCgXDg8z5A%3D%3D&trackingId=JTX%2FhnQYucyo9SMGlg%2FE%2BA%3D%3D,Growth Hacker
Marketing - Dragonfly Portfolio,Dragonfly,United States,https://www.linkedin.com/jobs/view/marketing-dragonfly-portfolio-at-dragonfly-4252110532?position=6&pageNum=0&refId=9qDt07Pze03mNCgXDg8z5A%3D%3D&trackingId=9dkqKriwELpDAJHo1cQIQQ%3D%3D,Growth Hacker
Influencer Marketing Coordinator,Savage X Fenty,"El Segundo, CA",https://www.linkedin.com/jobs/view/influencer-marketing-coordinator-at-savage-x-fenty-4322205059?position=7&pageNum=0&refId=9qDt07Pze03mNCgXDg8z5A%3D%3D&trackingId=taZ%2FRQKGjGh4ZDbC1335VA%3D%3D,Growth Hacker
WPP Media – Expression of Interest: Future Opportunities Across All Job Families,WPP Media,"New York, United States",https://www.linkedin.com/jobs/view/wpp-media-%E2%80%93-expression-of-interest-future-opportunities-across-all-job-families-at-wpp-media-4344396760?position=8&pageNum=0&refId=9qDt07Pze03mNCgXDg8z5A%3D%3D&trackingId=9FC84BCZXgI8wOzZNkdX5Q%3D%3D,Growth Hacker
SEO Contractor,Foodhub,United States,https://www.linkedin.com/jobs/view/seo-contractor-at-foodhub-4345918117?position=9&pageNum=0&refId=9qDt07Pze03mNCgXDg8z5A%3D%3D&trackingId=38%2Br6NMn%2BKB6Tui1Zco5Zg%3D%3D,Growth Hacker
"Growth Marketing Manager, Paid Media",Google,"San Francisco, CA",https://www.linkedin.com/jobs/view/growth-marketing-manager-paid-media-at-google-4345887221?position=10&pageNum=0&refId=9qDt07Pze03mNCgXDg8z5A%3D%3D&trackingId=Nebr%2Bz3RRLFqP2lRJVXnbg%3D%3D,Growth Hacker
